,ELCC,latitude,longitude
0,8 ,46.0,-106.875
1,14 ,47.0,-116.875
2,16 ,45.0,-118.125
3,16 ,35.0,-119.375
4,13 ,46.0,-114.375
5,8 ,48.0,-109.375
6,11 ,37.0,-113.125
7,8 ,39.0,-110.625
8,11 ,41.0,-111.875
9,7 ,37.0,-108.125
10,8 ,45.0,-108.125
11,8 ,49.0,-109.375
12,16 ,36.0,-120.625
13,19 ,35.0,-121.875
14,8 ,39.0,-108.125
15,16 ,44.0,-118.125
16,14 ,48.0,-118.125
17,17 ,45.0,-121.875
18,17 ,39.0,-120.625
19,7 ,37.0,-106.875
20,8 ,40.0,-109.375
21,19 ,33.0,-124.375
22,7 ,35.0,-109.375
23,11 ,40.0,-111.875
24,8 ,47.0,-108.125
25,11 ,34.0,-114.375
26,11 ,44.0,-113.125
27,11 ,48.0,-113.125
28,11 ,44.0,-111.875
29,14 ,37.0,-118.125
30,7 ,32.0,-108.125
31,13 ,37.0,-115.625
32,19 ,42.0,-121.875
33,21 ,41.0,-124.375
34,7 ,35.0,-106.875
35,11 ,46.0,-113.125
36,16 ,41.0,-118.125
37,10 ,47.0,-111.875
38,17 ,35.0,-120.625
39,13 ,37.0,-114.375
40,16 ,43.0,-118.125
41,11 ,48.0,-114.375
42,8 ,38.0,-109.375
43,8 ,43.0,-108.125
44,13 ,39.0,-115.625
45,16 ,47.0,-119.375
46,13 ,36.0,-115.625
47,10 ,33.0,-111.875
48,21 ,38.0,-123.125
49,16 ,42.0,-118.125
50,19 ,41.0,-123.125
51,10 ,43.0,-109.375
52,11 ,43.0,-113.125
53,16 ,45.0,-119.375
54,13 ,43.0,-114.375
55,11 ,33.0,-114.375
56,17 ,42.0,-119.375
57,11 ,42.0,-113.125
58,17 ,45.0,-123.125
59,8 ,33.0,-110.625
60,10 ,49.0,-114.375
61,7 ,35.0,-108.125
62,10 ,36.0,-113.125
63,19 ,42.0,-123.125
64,17 ,33.0,-120.625
65,17 ,47.0,-123.125
66,8 ,41.0,-109.375
67,21 ,36.0,-124.375
68,8 ,46.0,-108.125
69,10 ,34.0,-113.125
70,17 ,46.0,-124.375
71,14 ,37.0,-116.875
72,7 ,41.0,-106.875
73,17 ,38.0,-119.375
74,13 ,48.0,-116.875
75,8 ,40.0,-110.625
76,8 ,38.0,-111.875
77,14 ,35.0,-118.125
78,17 ,44.0,-123.125
79,17 ,42.0,-120.625
80,7 ,49.0,-108.125
81,13 ,46.0,-115.625
82,17 ,48.0,-123.125
83,19 ,34.0,-121.875
84,10 ,47.0,-110.625
85,10 ,44.0,-110.625
86,8 ,38.0,-110.625
87,19 ,35.0,-123.125
88,11 ,49.0,-115.625
89,16 ,38.0,-118.125
90,10 ,35.0,-113.125
91,5 ,33.0,-108.125
92,10 ,46.0,-110.625
93,14 ,49.0,-120.625
94,8 ,34.0,-110.625
95,19 ,38.0,-121.875
96,10 ,48.0,-111.875
97,7 ,34.0,-108.125
98,7 ,36.0,-106.875
99,14 ,38.0,-116.875
100,8 ,37.0,-111.875
101,13 ,41.0,-114.375
102,19 ,44.0,-124.375
103,8 ,37.0,-110.625
104,13 ,49.0,-116.875
105,8 ,43.0,-106.875
106,19 ,39.0,-123.125
107,8 ,39.0,-109.375
108,13 ,33.0,-116.875
109,17 ,40.0,-120.625
110,17 ,32.0,-124.375
111,7 ,38.0,-106.875
112,17 ,43.0,-119.375
113,21 ,34.0,-124.375
114,8 ,44.0,-108.125
115,11 ,36.0,-114.375
116,10 ,45.0,-111.875
117,10 ,32.0,-115.625
118,17 ,37.0,-121.875
119,8 ,46.0,-109.375
