,ELCC,latitude,longitude
0,35 ,33.0,-115.625
1,35 ,37.0,-113.125
2,36 ,49.0,-121.875
3,39 ,38.0,-124.375
4,36 ,42.0,-118.125
5,33 ,39.0,-110.625
6,38 ,46.0,-120.625
7,38 ,39.0,-120.625
8,38 ,33.0,-119.375
9,33 ,32.0,-113.125
10,38 ,38.0,-121.875
11,33 ,44.0,-110.625
12,38 ,42.0,-120.625
13,36 ,45.0,-118.125
14,36 ,48.0,-120.625
15,38 ,33.0,-121.875
16,38 ,49.0,-124.375
17,38 ,45.0,-119.375
18,36 ,41.0,-118.125
19,33 ,44.0,-108.125
20,32 ,35.0,-108.125
21,35 ,44.0,-114.375
22,32 ,39.0,-106.875
23,35 ,41.0,-113.125
24,36 ,42.0,-116.875
25,38 ,48.0,-123.125
26,35 ,46.0,-113.125
27,35 ,33.0,-116.875
28,36 ,36.0,-120.625
29,33 ,42.0,-110.625
30,36 ,41.0,-115.625
31,35 ,44.0,-115.625
32,36 ,39.0,-115.625
33,33 ,33.0,-110.625
34,33 ,33.0,-113.125
35,35 ,45.0,-114.375
36,39 ,40.0,-124.375
37,33 ,49.0,-108.125
38,33 ,38.0,-110.625
39,33 ,35.0,-110.625
40,36 ,38.0,-116.875
41,33 ,32.0,-115.625
42,35 ,46.0,-114.375
43,36 ,48.0,-121.875
44,35 ,40.0,-115.625
45,36 ,36.0,-116.875
46,36 ,43.0,-118.125
47,33 ,45.0,-108.125
48,33 ,44.0,-106.875
49,36 ,46.0,-119.375
50,36 ,39.0,-116.875
51,36 ,34.0,-119.375
52,32 ,48.0,-106.875
53,38 ,45.0,-123.125
54,33 ,46.0,-109.375
55,36 ,34.0,-118.125
56,35 ,49.0,-116.875
57,39 ,35.0,-123.125
58,38 ,32.0,-124.375
59,35 ,35.0,-114.375
60,33 ,36.0,-113.125
61,32 ,32.0,-109.375
62,35 ,47.0,-113.125
63,36 ,47.0,-118.125
64,33 ,40.0,-109.375
65,38 ,41.0,-119.375
66,36 ,39.0,-118.125
67,33 ,47.0,-108.125
68,35 ,39.0,-113.125
69,38 ,40.0,-121.875
