,ELCC,latitude,longitude
0,3 ,41.0,-111.875
1,7 ,37.0,-118.125
2,2 ,34.0,-110.625
3,5 ,42.0,-118.125
4,2 ,38.0,-109.375
5,5 ,44.0,-115.625
6,2 ,47.0,-106.875
7,7 ,42.0,-119.375
8,5 ,49.0,-116.875
9,3 ,48.0,-109.375
10,3 ,36.0,-114.375
11,2 ,38.0,-111.875
12,5 ,34.0,-118.125
13,2 ,48.0,-106.875
14,7 ,47.0,-121.875
15,3 ,40.0,-113.125
16,7 ,47.0,-120.625
17,8 ,32.0,-121.875
18,2 ,37.0,-111.875
19,8 ,39.0,-121.875
20,8 ,40.0,-123.125
21,3 ,49.0,-110.625
22,2 ,43.0,-106.875
23,5 ,47.0,-114.375
24,3 ,42.0,-114.375
25,8 ,46.0,-124.375
26,5 ,49.0,-115.625
27,7 ,47.0,-119.375
28,5 ,45.0,-114.375
29,0 ,34.0,-108.125
30,3 ,39.0,-111.875
31,8 ,46.0,-121.875
32,5 ,33.0,-118.125
33,8 ,43.0,-123.125
34,5 ,45.0,-115.625
35,3 ,38.0,-114.375
36,8 ,45.0,-120.625
37,8 ,33.0,-121.875
38,2 ,37.0,-109.375
39,3 ,32.0,-116.875
40,2 ,34.0,-113.125
41,3 ,37.0,-113.125
42,3 ,39.0,-114.375
43,3 ,46.0,-111.875
44,2 ,46.0,-109.375
45,8 ,33.0,-124.375
46,2 ,37.0,-106.875
47,7 ,49.0,-119.375
48,10 ,38.0,-124.375
49,8 ,41.0,-123.125
50,3 ,43.0,-113.125
51,2 ,45.0,-108.125
52,3 ,49.0,-109.375
53,7 ,46.0,-120.625
54,2 ,42.0,-109.375
55,2 ,48.0,-108.125
56,7 ,40.0,-119.375
57,10 ,37.0,-124.375
58,7 ,46.0,-118.125
59,5 ,48.0,-115.625
60,7 ,44.0,-119.375
61,10 ,48.0,-124.375
62,8 ,34.0,-123.125
63,5 ,42.0,-115.625
64,3 ,43.0,-114.375
65,0 ,38.0,-106.875
66,10 ,36.0,-123.125
67,3 ,35.0,-115.625
68,3 ,45.0,-110.625
69,2 ,32.0,-111.875
70,3 ,44.0,-111.875
71,10 ,40.0,-124.375
72,3 ,49.0,-111.875
73,8 ,45.0,-121.875
74,7 ,45.0,-119.375
75,2 ,39.0,-108.125
76,5 ,49.0,-114.375
77,2 ,49.0,-106.875
78,3 ,46.0,-113.125
79,2 ,46.0,-106.875
80,7 ,35.0,-119.375
81,3 ,49.0,-113.125
82,5 ,49.0,-118.125
83,5 ,39.0,-118.125
84,3 ,46.0,-110.625
85,8 ,33.0,-123.125
86,7 ,35.0,-120.625
87,3 ,35.0,-114.375
88,2 ,38.0,-108.125
89,8 ,45.0,-124.375
90,7 ,34.0,-119.375
91,7 ,48.0,-120.625
92,7 ,46.0,-119.375
93,3 ,40.0,-114.375
94,3 ,44.0,-110.625
95,10 ,36.0,-124.375
96,10 ,41.0,-124.375
97,5 ,38.0,-115.625
98,5 ,38.0,-118.125
99,0 ,34.0,-106.875
100,8 ,32.0,-123.125
101,7 ,41.0,-119.375
102,2 ,40.0,-108.125
103,3 ,39.0,-113.125
104,8 ,43.0,-121.875
105,3 ,45.0,-111.875
106,5 ,44.0,-116.875
107,2 ,32.0,-113.125
108,2 ,35.0,-110.625
109,3 ,36.0,-115.625
110,2 ,35.0,-108.125
111,2 ,39.0,-109.375
112,5 ,40.0,-115.625
113,8 ,42.0,-123.125
114,7 ,47.0,-118.125
115,2 ,36.0,-110.625
116,8 ,45.0,-123.125
117,7 ,32.0,-120.625
118,5 ,35.0,-118.125
119,8 ,44.0,-120.625
120,2 ,36.0,-109.375
121,5 ,32.0,-118.125
122,2 ,35.0,-109.375
123,2 ,32.0,-109.375
124,8 ,49.0,-121.875
125,5 ,46.0,-114.375
126,0 ,36.0,-106.875
127,3 ,36.0,-113.125
128,2 ,37.0,-108.125
129,3 ,37.0,-115.625
130,5 ,43.0,-118.125
131,5 ,47.0,-116.875
132,3 ,34.0,-114.375
133,7 ,34.0,-120.625
134,10 ,44.0,-124.375
135,5 ,45.0,-116.875
136,8 ,44.0,-121.875
137,0 ,33.0,-109.375
138,3 ,43.0,-111.875
139,7 ,42.0,-120.625
140,5 ,35.0,-116.875
141,2 ,47.0,-108.125
142,2 ,44.0,-106.875
143,3 ,41.0,-114.375
144,10 ,39.0,-124.375
145,10 ,49.0,-124.375
146,8 ,38.0,-121.875
147,2 ,41.0,-108.125
148,5 ,39.0,-115.625
149,3 ,47.0,-111.875
150,7 ,36.0,-118.125
151,3 ,42.0,-111.875
152,3 ,48.0,-113.125
