,ELCC,latitude,longitude
0,10 ,45.0,-123.125
1,0 ,44.0,-109.375
2,8 ,42.0,-115.625
3,2 ,40.0,-123.125
4,2 ,34.0,-110.625
5,10 ,37.0,-114.375
6,5 ,49.0,-113.125
7,10 ,42.0,-121.875
8,38 ,32.0,-120.625
9,7 ,33.0,-115.625
10,10 ,48.0,-110.625
11,5 ,35.0,-109.375
12,5 ,32.0,-115.625
13,52 ,32.0,-123.125
14,7 ,41.0,-116.875
15,0 ,48.0,-114.375
16,5 ,34.0,-114.375
17,0 ,49.0,-123.125
18,5 ,35.0,-110.625
19,7 ,35.0,-114.375
20,13 ,42.0,-120.625
21,3 ,32.0,-111.875
22,2 ,46.0,-111.875
23,7 ,44.0,-111.875
24,8 ,45.0,-108.125
25,7 ,33.0,-106.875
26,14 ,36.0,-120.625
27,2 ,47.0,-118.125
28,5 ,37.0,-111.875
29,52 ,34.0,-123.125
30,2 ,38.0,-106.875
31,13 ,44.0,-119.375
32,2 ,33.0,-108.125
33,0 ,48.0,-123.125
34,13 ,34.0,-116.875
35,7 ,33.0,-109.375
36,10 ,32.0,-109.375
37,13 ,32.0,-116.875
38,0 ,48.0,-118.125
39,5 ,43.0,-118.125
40,51 ,35.0,-123.125
41,32 ,33.0,-119.375
42,22 ,39.0,-121.875
43,7 ,41.0,-118.125
44,0 ,49.0,-121.875
45,0 ,38.0,-111.875
46,19 ,36.0,-118.125
47,3 ,39.0,-114.375
48,0 ,47.0,-116.875
49,2 ,45.0,-109.375
50,2 ,43.0,-106.875
51,0 ,38.0,-108.125
52,32 ,41.0,-124.375
53,2 ,45.0,-116.875
54,11 ,33.0,-116.875
55,41 ,33.0,-120.625
56,52 ,33.0,-121.875
57,16 ,47.0,-108.125
58,47 ,36.0,-124.375
59,0 ,49.0,-115.625
60,3 ,40.0,-108.125
61,14 ,32.0,-114.375
62,13 ,40.0,-113.125
63,5 ,38.0,-119.375
64,10 ,41.0,-109.375
65,14 ,43.0,-113.125
66,0 ,42.0,-111.875
67,3 ,40.0,-111.875
68,13 ,43.0,-115.625
69,2 ,37.0,-119.375
70,14 ,38.0,-114.375
71,8 ,32.0,-106.875
72,11 ,43.0,-116.875
73,21 ,42.0,-119.375
74,0 ,46.0,-115.625
75,27 ,44.0,-120.625
76,5 ,34.0,-118.125
77,17 ,43.0,-119.375
78,2 ,44.0,-114.375
79,13 ,41.0,-120.625
80,42 ,37.0,-124.375
81,10 ,42.0,-116.875
82,8 ,49.0,-110.625
83,7 ,33.0,-111.875
84,3 ,47.0,-123.125
85,13 ,38.0,-113.125
86,16 ,41.0,-119.375
87,7 ,39.0,-113.125
88,0 ,46.0,-114.375
89,7 ,39.0,-109.375
90,7 ,49.0,-111.875
91,7 ,35.0,-115.625
92,2 ,41.0,-110.625
93,3 ,38.0,-109.375
94,5 ,48.0,-106.875
95,5 ,41.0,-121.875
96,2 ,45.0,-114.375
97,0 ,49.0,-114.375
98,3 ,47.0,-110.625
99,3 ,36.0,-111.875
100,16 ,43.0,-124.375
101,36 ,38.0,-121.875
102,41 ,38.0,-124.375
103,28 ,32.0,-119.375
104,2 ,44.0,-118.125
105,10 ,36.0,-106.875
106,14 ,46.0,-106.875
107,25 ,45.0,-120.625
108,25 ,42.0,-124.375
109,2 ,39.0,-108.125
110,11 ,39.0,-110.625
111,0 ,48.0,-119.375
112,5 ,44.0,-116.875
113,49 ,34.0,-121.875
114,0 ,45.0,-110.625
115,5 ,41.0,-115.625
116,5 ,34.0,-108.125
117,2 ,47.0,-113.125
118,50 ,32.0,-121.875
119,2 ,47.0,-111.875
120,13 ,45.0,-119.375
121,5 ,48.0,-109.375
122,5 ,46.0,-119.375
123,19 ,40.0,-121.875
124,2 ,40.0,-106.875
125,0 ,49.0,-124.375
126,10 ,38.0,-116.875
127,3 ,35.0,-113.125
128,2 ,43.0,-111.875
129,41 ,39.0,-124.375
130,13 ,46.0,-108.125
131,0 ,41.0,-111.875
132,8 ,44.0,-108.125
133,2 ,37.0,-110.625
134,33 ,35.0,-116.875
135,8 ,39.0,-115.625
136,8 ,49.0,-108.125
137,7 ,36.0,-108.125
138,2 ,46.0,-113.125
139,14 ,40.0,-119.375
140,46 ,40.0,-124.375
141,3 ,37.0,-118.125
142,8 ,45.0,-118.125
143,14 ,42.0,-108.125
144,3 ,43.0,-109.375
145,8 ,37.0,-106.875
146,50 ,35.0,-124.375
147,3 ,46.0,-118.125
148,0 ,34.0,-109.375
149,0 ,46.0,-110.625
150,8 ,40.0,-115.625
151,5 ,40.0,-114.375
152,13 ,39.0,-118.125
153,33 ,45.0,-124.375
154,14 ,36.0,-119.375
155,10 ,40.0,-120.625
156,10 ,46.0,-123.125
157,14 ,43.0,-120.625
158,3 ,34.0,-113.125
159,36 ,38.0,-123.125
160,16 ,45.0,-106.875
161,3 ,48.0,-124.375
162,0 ,39.0,-106.875
163,2 ,39.0,-111.875
164,10 ,47.0,-109.375
165,24 ,34.0,-119.375
166,38 ,34.0,-120.625
167,0 ,48.0,-115.625
168,3 ,45.0,-113.125
169,3 ,40.0,-118.125
170,13 ,38.0,-120.625
171,0 ,45.0,-115.625
172,21 ,42.0,-109.375
173,24 ,36.0,-116.875
174,5 ,39.0,-120.625
175,2 ,40.0,-109.375
176,5 ,42.0,-123.125
177,0 ,48.0,-120.625
178,3 ,35.0,-111.875
179,19 ,33.0,-118.125
180,32 ,47.0,-124.375
181,7 ,48.0,-111.875
182,11 ,37.0,-115.625
183,13 ,38.0,-115.625
184,7 ,35.0,-108.125
185,7 ,42.0,-118.125
186,7 ,34.0,-106.875
187,5 ,44.0,-123.125
188,0 ,47.0,-119.375
189,3 ,36.0,-109.375
190,25 ,32.0,-118.125
191,21 ,39.0,-119.375
192,13 ,46.0,-109.375
193,10 ,35.0,-119.375
194,2 ,41.0,-123.125
195,5 ,46.0,-121.875
196,3 ,42.0,-110.625
197,3 ,41.0,-114.375
198,46 ,33.0,-124.375
199,10 ,37.0,-109.375
200,47 ,34.0,-124.375
201,27 ,44.0,-124.375
202,5 ,47.0,-120.625
203,3 ,36.0,-113.125
204,2 ,43.0,-110.625
205,0 ,48.0,-121.875
206,8 ,37.0,-121.875
207,11 ,43.0,-123.125
208,8 ,49.0,-106.875
209,5 ,44.0,-121.875
210,16 ,35.0,-120.625
211,0 ,47.0,-115.625
212,24 ,35.0,-118.125
213,7 ,39.0,-123.125
214,10 ,43.0,-108.125
215,10 ,40.0,-116.875
216,5 ,40.0,-110.625
217,5 ,36.0,-110.625
218,8 ,47.0,-106.875
219,0 ,44.0,-110.625
220,0 ,48.0,-116.875
221,2 ,41.0,-106.875
222,10 ,42.0,-106.875
223,47 ,35.0,-121.875
224,46 ,32.0,-124.375
225,0 ,47.0,-114.375
226,16 ,36.0,-115.625
227,3 ,34.0,-111.875
228,8 ,39.0,-116.875
229,7 ,33.0,-110.625
230,7 ,38.0,-118.125
231,5 ,42.0,-113.125
232,7 ,38.0,-110.625
233,0 ,49.0,-118.125
234,8 ,35.0,-106.875
235,11 ,34.0,-115.625
236,3 ,32.0,-110.625
237,13 ,33.0,-114.375
238,8 ,43.0,-114.375
239,2 ,45.0,-111.875
240,32 ,46.0,-124.375
241,2 ,44.0,-106.875
242,7 ,37.0,-113.125
243,10 ,32.0,-108.125
244,0 ,49.0,-120.625
245,25 ,37.0,-120.625
246,16 ,37.0,-116.875
247,10 ,41.0,-108.125
248,5 ,45.0,-121.875
249,52 ,33.0,-123.125
250,36 ,37.0,-123.125
251,0 ,49.0,-116.875
252,5 ,48.0,-108.125
253,8 ,49.0,-109.375
254,0 ,49.0,-119.375
255,5 ,43.0,-121.875
256,11 ,32.0,-113.125
257,11 ,46.0,-120.625
258,2 ,46.0,-116.875
259,44 ,36.0,-123.125
260,5 ,42.0,-114.375
261,32 ,36.0,-121.875
262,5 ,33.0,-113.125
263,0 ,47.0,-121.875
264,0 ,44.0,-115.625
265,10 ,36.0,-114.375
266,3 ,44.0,-113.125
267,5 ,41.0,-113.125
268,7 ,37.0,-108.125
269,0 ,48.0,-113.125
