,ELCC,latitude,longitude
0,16 ,33.0,-119.375
1,8 ,41.0,-105.625
2,7 ,49.0,-103.125
3,13 ,37.0,-116.875
4,10 ,36.0,-111.875
5,10 ,44.0,-111.875
6,16 ,47.0,-121.875
7,13 ,45.0,-116.875
8,8 ,39.0,-106.875
9,8 ,46.0,-108.125
10,19 ,33.0,-124.375
11,10 ,36.0,-113.125
12,13 ,32.0,-116.875
13,7 ,34.0,-106.875
14,14 ,44.0,-118.125
15,7 ,46.0,-105.625
16,7 ,38.0,-106.875
17,11 ,49.0,-116.875
18,11 ,32.0,-114.375
19,13 ,36.0,-116.875
20,19 ,35.0,-123.125
21,8 ,49.0,-109.375
22,5 ,40.0,-101.875
23,5 ,32.0,-106.875
24,7 ,48.0,-105.625
25,7 ,40.0,-104.375
26,14 ,39.0,-119.375
27,13 ,36.0,-118.125
28,13 ,49.0,-119.375
29,10 ,40.0,-109.375
30,14 ,38.0,-120.625
31,5 ,36.0,-101.875
32,8 ,41.0,-106.875
33,16 ,42.0,-123.125
34,13 ,47.0,-115.625
35,13 ,40.0,-116.875
36,11 ,48.0,-114.375
37,8 ,48.0,-108.125
38,7 ,42.0,-104.375
39,5 ,39.0,-103.125
40,19 ,37.0,-123.125
41,10 ,32.0,-113.125
42,10 ,38.0,-110.625
43,8 ,38.0,-108.125
44,7 ,40.0,-105.625
45,5 ,46.0,-101.875
46,7 ,44.0,-103.125
47,7 ,47.0,-105.625
48,14 ,37.0,-119.375
49,10 ,49.0,-113.125
50,14 ,44.0,-119.375
51,19 ,43.0,-124.375
52,8 ,43.0,-106.875
53,11 ,32.0,-115.625
54,16 ,48.0,-123.125
55,10 ,49.0,-111.875
56,7 ,43.0,-105.625
57,7 ,32.0,-109.375
58,7 ,40.0,-103.125
59,7 ,33.0,-110.625
60,10 ,41.0,-109.375
61,19 ,42.0,-124.375
62,16 ,46.0,-120.625
63,7 ,41.0,-104.375
64,10 ,37.0,-110.625
65,10 ,38.0,-111.875
66,11 ,42.0,-114.375
67,13 ,40.0,-118.125
68,7 ,46.0,-104.375
69,7 ,44.0,-104.375
70,7 ,32.0,-108.125
71,7 ,36.0,-106.875
72,17 ,48.0,-124.375
73,11 ,33.0,-115.625
74,8 ,40.0,-106.875
75,7 ,43.0,-103.125
76,17 ,37.0,-121.875
77,13 ,37.0,-115.625
78,8 ,42.0,-105.625
79,7 ,48.0,-103.125
80,5 ,34.0,-105.625
81,7 ,34.0,-109.375
82,17 ,33.0,-123.125
83,7 ,35.0,-108.125
84,7 ,45.0,-105.625
85,7 ,49.0,-104.375
86,10 ,47.0,-110.625
87,14 ,40.0,-120.625
88,7 ,35.0,-106.875
89,17 ,35.0,-121.875
90,8 ,35.0,-109.375
91,10 ,48.0,-110.625
92,14 ,48.0,-120.625
93,13 ,49.0,-118.125
94,3 ,33.0,-101.875
95,7 ,45.0,-104.375
96,17 ,33.0,-120.625
97,5 ,39.0,-104.375
98,17 ,36.0,-121.875
99,11 ,41.0,-113.125
100,11 ,43.0,-111.875
101,17 ,49.0,-124.375
102,17 ,34.0,-123.125
103,14 ,39.0,-120.625
104,13 ,33.0,-116.875
105,13 ,35.0,-116.875
106,11 ,48.0,-115.625
107,13 ,39.0,-118.125
108,10 ,39.0,-111.875
109,7 ,39.0,-105.625
110,13 ,41.0,-115.625
111,11 ,41.0,-111.875
112,7 ,42.0,-103.125
113,19 ,37.0,-124.375
114,14 ,33.0,-118.125
115,16 ,34.0,-120.625
116,13 ,48.0,-118.125
117,13 ,37.0,-118.125
118,7 ,34.0,-110.625
119,11 ,47.0,-114.375
120,13 ,42.0,-115.625
121,5 ,35.0,-104.375
122,11 ,40.0,-115.625
123,14 ,41.0,-118.125
124,19 ,32.0,-124.375
125,5 ,37.0,-101.875
126,10 ,42.0,-110.625
127,10 ,33.0,-113.125
128,8 ,47.0,-106.875
129,19 ,36.0,-124.375
130,11 ,34.0,-116.875
131,16 ,38.0,-121.875
132,19 ,36.0,-123.125
133,17 ,39.0,-123.125
134,19 ,35.0,-124.375
135,13 ,36.0,-115.625
136,16 ,44.0,-123.125
137,7 ,44.0,-105.625
138,11 ,39.0,-115.625
139,16 ,46.0,-121.875
140,11 ,38.0,-114.375
141,11 ,34.0,-115.625
142,10 ,37.0,-111.875
143,10 ,38.0,-109.375
144,5 ,33.0,-106.875
145,7 ,37.0,-106.875
146,11 ,41.0,-114.375
147,14 ,34.0,-118.125
148,5 ,37.0,-104.375
149,13 ,38.0,-116.875
150,10 ,46.0,-111.875
151,5 ,35.0,-103.125
152,5 ,32.0,-105.625
153,13 ,39.0,-116.875
154,7 ,47.0,-103.125
155,7 ,37.0,-108.125
156,10 ,34.0,-113.125
157,11 ,46.0,-114.375
158,19 ,32.0,-123.125
159,5 ,38.0,-101.875
160,10 ,48.0,-111.875
161,16 ,43.0,-120.625
162,7 ,34.0,-108.125
163,8 ,34.0,-111.875
164,7 ,43.0,-104.375
165,13 ,42.0,-116.875
166,8 ,49.0,-108.125
167,11 ,46.0,-115.625
168,8 ,41.0,-108.125
169,11 ,39.0,-114.375
170,16 ,42.0,-121.875
171,7 ,46.0,-103.125
172,19 ,39.0,-124.375
173,5 ,37.0,-105.625
174,10 ,45.0,-110.625
175,13 ,47.0,-116.875
176,16 ,42.0,-120.625
177,14 ,32.0,-118.125
178,14 ,41.0,-119.375
179,10 ,44.0,-110.625
180,13 ,43.0,-116.875
181,14 ,49.0,-121.875
182,17 ,46.0,-123.125
183,8 ,48.0,-109.375
184,5 ,33.0,-105.625
185,11 ,44.0,-114.375
186,5 ,33.0,-109.375
187,8 ,33.0,-111.875
188,16 ,40.0,-121.875
189,13 ,48.0,-116.875
190,11 ,45.0,-114.375
191,14 ,34.0,-119.375
192,8 ,40.0,-108.125
193,8 ,32.0,-111.875
194,5 ,35.0,-101.875
195,7 ,41.0,-103.125
196,19 ,41.0,-124.375
197,17 ,32.0,-121.875
198,5 ,34.0,-104.375
199,10 ,41.0,-110.625
200,16 ,44.0,-120.625
201,8 ,35.0,-111.875
202,5 ,47.0,-101.875
203,8 ,42.0,-106.875
204,19 ,47.0,-124.375
205,19 ,46.0,-124.375
206,11 ,39.0,-113.125
207,14 ,36.0,-120.625
208,5 ,33.0,-108.125
209,14 ,48.0,-121.875
210,16 ,49.0,-123.125
211,19 ,34.0,-124.375
212,5 ,36.0,-104.375
213,14 ,37.0,-120.625
214,7 ,48.0,-104.375
215,11 ,36.0,-114.375
216,16 ,39.0,-121.875
217,14 ,40.0,-119.375
218,10 ,49.0,-110.625
219,16 ,47.0,-123.125
220,17 ,40.0,-123.125
221,8 ,48.0,-106.875
222,14 ,46.0,-119.375
223,14 ,42.0,-119.375
224,10 ,40.0,-110.625
225,19 ,38.0,-123.125
226,10 ,39.0,-110.625
227,10 ,42.0,-111.875
228,17 ,45.0,-123.125
229,8 ,42.0,-108.125
230,5 ,39.0,-101.875
231,14 ,38.0,-118.125
232,19 ,44.0,-124.375
233,11 ,40.0,-113.125
234,16 ,41.0,-121.875
235,13 ,47.0,-118.125
236,13 ,46.0,-118.125
237,11 ,35.0,-115.625
238,7 ,45.0,-103.125
239,7 ,44.0,-106.875
240,10 ,43.0,-109.375
241,17 ,34.0,-121.875
242,11 ,40.0,-114.375
243,16 ,43.0,-123.125
244,10 ,44.0,-113.125
245,5 ,37.0,-103.125
246,5 ,34.0,-103.125
247,16 ,45.0,-120.625
248,5 ,33.0,-103.125
249,17 ,33.0,-121.875
250,13 ,41.0,-116.875
251,10 ,46.0,-110.625
252,10 ,47.0,-113.125
253,13 ,45.0,-115.625
254,11 ,40.0,-111.875
255,5 ,34.0,-101.875
256,14 ,43.0,-121.875
257,8 ,45.0,-106.875
258,11 ,49.0,-114.375
259,11 ,42.0,-113.125
260,14 ,43.0,-119.375
261,7 ,49.0,-105.625
262,8 ,49.0,-106.875
263,16 ,45.0,-121.875
264,7 ,42.0,-101.875
265,11 ,37.0,-114.375
266,11 ,45.0,-113.125
267,13 ,44.0,-116.875
268,10 ,47.0,-111.875
269,10 ,37.0,-113.125
270,16 ,32.0,-119.375
271,7 ,41.0,-101.875
272,8 ,35.0,-113.125
273,5 ,35.0,-105.625
274,13 ,43.0,-115.625
275,8 ,37.0,-109.375
276,5 ,49.0,-101.875
277,16 ,44.0,-121.875
278,10 ,39.0,-109.375
279,10 ,35.0,-114.375
280,8 ,35.0,-110.625
281,19 ,40.0,-124.375
282,8 ,44.0,-108.125
283,13 ,44.0,-115.625
284,10 ,42.0,-109.375
285,11 ,49.0,-115.625
286,8 ,39.0,-108.125
287,7 ,43.0,-101.875
288,16 ,35.0,-120.625
289,7 ,47.0,-104.375
290,5 ,33.0,-104.375
291,14 ,49.0,-120.625
292,10 ,36.0,-110.625
293,17 ,41.0,-123.125
294,5 ,45.0,-101.875
295,8 ,36.0,-109.375
296,14 ,47.0,-119.375
297,8 ,43.0,-108.125
298,10 ,43.0,-110.625
299,7 ,48.0,-101.875
300,14 ,36.0,-119.375
301,14 ,47.0,-120.625
302,8 ,46.0,-106.875
303,5 ,44.0,-101.875
304,13 ,48.0,-119.375
305,8 ,47.0,-109.375
306,11 ,43.0,-113.125
307,14 ,41.0,-120.625
308,5 ,36.0,-103.125
309,11 ,38.0,-115.625
310,8 ,47.0,-108.125
311,13 ,45.0,-118.125
312,8 ,46.0,-109.375
313,14 ,45.0,-119.375
314,13 ,35.0,-118.125
315,17 ,32.0,-120.625
316,3 ,32.0,-103.125
317,7 ,38.0,-105.625
318,8 ,45.0,-108.125
319,5 ,38.0,-103.125
320,14 ,38.0,-119.375
321,10 ,34.0,-114.375
322,13 ,46.0,-116.875
323,5 ,36.0,-105.625
324,3 ,32.0,-101.875
325,11 ,48.0,-113.125
326,11 ,33.0,-114.375
327,8 ,36.0,-108.125
328,19 ,38.0,-124.375
329,5 ,32.0,-104.375
330,14 ,35.0,-119.375
331,14 ,42.0,-118.125
332,11 ,43.0,-114.375
333,19 ,45.0,-124.375
334,7 ,32.0,-110.625
335,8 ,45.0,-109.375
336,14 ,43.0,-118.125
337,10 ,45.0,-111.875
338,10 ,38.0,-113.125
339,11 ,46.0,-113.125
340,8 ,44.0,-109.375
341,5 ,38.0,-104.375
