,ELCC,latitude,longitude
0,55 ,34.0,-121.875
1,33 ,48.0,-111.875
2,35 ,43.0,-123.125
3,30 ,40.0,-118.125
4,32 ,33.0,-110.625
5,39 ,36.0,-103.125
6,39 ,49.0,-106.875
7,33 ,41.0,-124.375
8,39 ,32.0,-118.125
9,32 ,37.0,-109.375
10,30 ,40.0,-120.625
11,30 ,45.0,-113.125
12,33 ,49.0,-109.375
13,28 ,49.0,-118.125
14,32 ,46.0,-119.375
15,28 ,46.0,-114.375
16,41 ,45.0,-101.875
17,35 ,39.0,-124.375
18,28 ,46.0,-115.625
19,42 ,49.0,-103.125
20,41 ,48.0,-108.125
21,28 ,45.0,-111.875
22,30 ,36.0,-113.125
23,32 ,47.0,-119.375
24,52 ,32.0,-120.625
25,32 ,38.0,-114.375
26,47 ,47.0,-104.375
27,30 ,39.0,-123.125
28,42 ,34.0,-124.375
29,35 ,35.0,-101.875
30,32 ,36.0,-118.125
31,32 ,37.0,-106.875
32,32 ,36.0,-105.625
33,30 ,41.0,-118.125
34,41 ,37.0,-120.625
35,39 ,32.0,-103.125
36,38 ,41.0,-103.125
37,33 ,35.0,-108.125
38,30 ,32.0,-109.375
39,32 ,42.0,-110.625
40,38 ,49.0,-108.125
41,32 ,32.0,-113.125
42,50 ,48.0,-105.625
43,35 ,41.0,-108.125
44,33 ,33.0,-114.375
45,46 ,47.0,-103.125
46,28 ,49.0,-123.125
47,41 ,44.0,-120.625
48,42 ,43.0,-103.125
49,28 ,44.0,-110.625
50,41 ,45.0,-104.375
51,28 ,49.0,-121.875
52,35 ,33.0,-118.125
53,30 ,38.0,-109.375
54,38 ,37.0,-124.375
55,28 ,49.0,-124.375
56,35 ,42.0,-106.875
57,39 ,49.0,-101.875
58,35 ,38.0,-104.375
59,30 ,35.0,-110.625
60,30 ,41.0,-114.375
61,33 ,32.0,-115.625
62,28 ,49.0,-114.375
63,55 ,33.0,-120.625
64,33 ,35.0,-106.875
65,39 ,48.0,-101.875
66,28 ,48.0,-120.625
67,30 ,48.0,-119.375
68,28 ,48.0,-121.875
69,32 ,43.0,-113.125
70,28 ,41.0,-123.125
71,39 ,42.0,-103.125
72,30 ,45.0,-114.375
73,30 ,37.0,-121.875
74,55 ,35.0,-121.875
75,38 ,32.0,-124.375
76,33 ,46.0,-123.125
77,30 ,42.0,-113.125
78,32 ,34.0,-114.375
79,30 ,39.0,-115.625
80,38 ,32.0,-105.625
81,32 ,35.0,-114.375
