,ELCC,latitude,longitude
0,3 ,33.0,-109.375
1,5 ,42.0,-110.625
2,0 ,48.0,-114.375
3,8 ,40.0,-113.125
4,3 ,41.0,-119.375
5,3 ,46.0,-110.625
6,5 ,49.0,-110.625
7,5 ,42.0,-118.125
8,3 ,38.0,-119.375
9,3 ,48.0,-119.375
10,10 ,32.0,-114.375
11,8 ,44.0,-119.375
12,0 ,49.0,-120.625
13,7 ,40.0,-108.125
14,2 ,45.0,-114.375
15,14 ,33.0,-118.125
16,7 ,48.0,-110.625
17,33 ,32.0,-119.375
18,0 ,49.0,-118.125
19,3 ,46.0,-118.125
20,21 ,37.0,-124.375
21,3 ,38.0,-115.625
22,10 ,36.0,-110.625
23,3 ,47.0,-111.875
24,8 ,37.0,-116.875
25,2 ,43.0,-121.875
26,3 ,39.0,-114.375
27,3 ,47.0,-110.625
28,0 ,49.0,-116.875
29,14 ,49.0,-108.125
30,7 ,36.0,-109.375
31,2 ,39.0,-108.125
32,2 ,39.0,-111.875
33,2 ,48.0,-124.375
34,3 ,35.0,-110.625
35,3 ,43.0,-118.125
36,30 ,34.0,-123.125
37,3 ,44.0,-123.125
38,7 ,35.0,-108.125
39,0 ,49.0,-123.125
40,3 ,38.0,-109.375
41,14 ,39.0,-124.375
42,8 ,46.0,-123.125
43,27 ,45.0,-124.375
44,24 ,35.0,-124.375
45,3 ,37.0,-110.625
46,27 ,32.0,-123.125
47,7 ,32.0,-113.125
48,2 ,44.0,-114.375
49,2 ,45.0,-113.125
50,7 ,36.0,-115.625
51,5 ,41.0,-121.875
52,3 ,39.0,-123.125
53,7 ,40.0,-115.625
54,8 ,43.0,-114.375
55,5 ,40.0,-116.875
56,11 ,39.0,-121.875
57,0 ,45.0,-110.625
58,5 ,33.0,-110.625
59,8 ,33.0,-114.375
60,5 ,41.0,-118.125
61,2 ,38.0,-108.125
62,10 ,48.0,-111.875
63,8 ,33.0,-115.625
64,0 ,49.0,-124.375
65,2 ,45.0,-116.875
66,17 ,38.0,-124.375
67,3 ,38.0,-118.125
68,24 ,37.0,-123.125
69,7 ,35.0,-114.375
70,7 ,34.0,-108.125
71,8 ,42.0,-115.625
72,2 ,48.0,-118.125
73,5 ,44.0,-106.875
74,3 ,43.0,-109.375
75,5 ,37.0,-115.625
76,14 ,44.0,-108.125
77,2 ,48.0,-113.125
78,7 ,49.0,-111.875
79,2 ,38.0,-110.625
80,8 ,32.0,-108.125
81,28 ,36.0,-121.875
82,16 ,35.0,-120.625
83,2 ,46.0,-116.875
84,5 ,47.0,-119.375
85,7 ,46.0,-120.625
86,7 ,42.0,-123.125
87,3 ,47.0,-120.625
88,5 ,40.0,-114.375
89,46 ,34.0,-120.625
90,8 ,43.0,-123.125
91,21 ,34.0,-119.375
92,14 ,46.0,-106.875
93,5 ,42.0,-114.375
94,32 ,35.0,-123.125
95,7 ,37.0,-121.875
96,7 ,34.0,-115.625
97,3 ,36.0,-106.875
98,10 ,40.0,-121.875
99,38 ,32.0,-121.875
100,7 ,41.0,-116.875
101,19 ,37.0,-120.625
102,0 ,45.0,-115.625
103,7 ,41.0,-120.625
104,2 ,41.0,-114.375
105,7 ,42.0,-120.625
106,0 ,47.0,-115.625
107,3 ,39.0,-120.625
108,7 ,43.0,-116.875
109,0 ,47.0,-114.375
110,28 ,36.0,-123.125
111,3 ,40.0,-109.375
112,8 ,35.0,-115.625
113,10 ,35.0,-119.375
114,13 ,36.0,-119.375
115,2 ,37.0,-119.375
116,2 ,33.0,-108.125
117,2 ,34.0,-110.625
118,3 ,35.0,-111.875
119,3 ,36.0,-108.125
120,7 ,36.0,-116.875
121,5 ,36.0,-120.625
122,0 ,48.0,-120.625
123,0 ,47.0,-121.875
124,5 ,39.0,-119.375
125,7 ,49.0,-109.375
126,24 ,36.0,-124.375
127,3 ,45.0,-121.875
128,3 ,44.0,-121.875
129,11 ,43.0,-115.625
130,16 ,45.0,-120.625
131,5 ,37.0,-109.375
132,7 ,43.0,-119.375
133,8 ,39.0,-113.125
134,3 ,46.0,-111.875
135,44 ,33.0,-120.625
136,3 ,36.0,-114.375
137,3 ,39.0,-110.625
138,3 ,39.0,-115.625
