,ELCC,latitude,longitude
0,8 ,35.0,-106.875
1,3 ,49.0,-114.375
2,10 ,36.0,-116.875
3,10 ,33.0,-115.625
4,16 ,34.0,-103.125
5,10 ,46.0,-119.375
6,5 ,36.0,-115.625
7,8 ,37.0,-106.875
8,0 ,41.0,-111.875
9,0 ,48.0,-123.125
10,3 ,46.0,-111.875
11,0 ,49.0,-116.875
12,28 ,35.0,-120.625
13,11 ,45.0,-105.625
14,3 ,34.0,-109.375
15,7 ,38.0,-114.375
16,17 ,45.0,-120.625
17,13 ,43.0,-101.875
18,14 ,42.0,-103.125
19,19 ,42.0,-109.375
20,17 ,35.0,-118.125
21,2 ,44.0,-123.125
22,16 ,48.0,-105.625
23,5 ,39.0,-105.625
24,57 ,36.0,-124.375
25,10 ,49.0,-113.125
26,8 ,49.0,-110.625
27,17 ,35.0,-104.375
28,21 ,38.0,-104.375
29,10 ,43.0,-106.875
30,5 ,39.0,-109.375
31,5 ,43.0,-121.875
32,42 ,38.0,-121.875
33,19 ,33.0,-119.375
34,2 ,48.0,-124.375
35,10 ,34.0,-114.375
36,0 ,49.0,-124.375
37,10 ,42.0,-120.625
38,10 ,42.0,-105.625
39,44 ,33.0,-120.625
40,14 ,33.0,-104.375
41,52 ,33.0,-124.375
42,7 ,33.0,-116.875
43,7 ,35.0,-115.625
44,2 ,46.0,-116.875
45,21 ,45.0,-101.875
46,11 ,33.0,-109.375
47,16 ,34.0,-101.875
48,7 ,38.0,-113.125
49,19 ,47.0,-103.125
50,5 ,38.0,-119.375
51,19 ,32.0,-103.125
52,5 ,42.0,-123.125
53,17 ,36.0,-120.625
54,7 ,48.0,-119.375
55,55 ,34.0,-124.375
56,11 ,42.0,-115.625
57,5 ,40.0,-114.375
58,16 ,33.0,-113.125
59,8 ,41.0,-114.375
60,10 ,44.0,-103.125
61,21 ,47.0,-101.875
62,55 ,35.0,-124.375
63,7 ,41.0,-110.625
64,22 ,48.0,-101.875
65,10 ,44.0,-108.125
66,3 ,44.0,-114.375
67,7 ,36.0,-109.375
68,7 ,40.0,-121.875
69,10 ,39.0,-111.875
70,16 ,49.0,-106.875
71,0 ,37.0,-118.125
72,21 ,41.0,-103.125
73,17 ,48.0,-104.375
74,2 ,40.0,-105.625
75,2 ,38.0,-118.125
76,11 ,43.0,-104.375
77,8 ,39.0,-123.125
78,7 ,34.0,-111.875
79,14 ,35.0,-101.875
80,5 ,40.0,-113.125
81,17 ,32.0,-101.875
82,3 ,40.0,-123.125
83,10 ,34.0,-106.875
84,3 ,39.0,-118.125
85,17 ,49.0,-103.125
86,8 ,43.0,-116.875
87,2 ,46.0,-113.125
88,60 ,37.0,-124.375
89,13 ,42.0,-114.375
