,ELCC,latitude,longitude
0,38 ,41.0,-124.375
1,14 ,39.0,-113.125
2,13 ,48.0,-111.875
3,22 ,42.0,-106.875
4,2 ,34.0,-118.125
5,2 ,40.0,-114.375
6,10 ,44.0,-106.875
7,11 ,45.0,-119.375
8,2 ,46.0,-114.375
9,4 ,32.0,-116.875
10,0 ,43.0,-110.625
11,4 ,49.0,-108.125
12,2 ,39.0,-123.125
13,13 ,44.0,-118.125
14,3 ,36.0,-109.375
15,0 ,35.0,-111.875
16,53 ,36.0,-124.375
17,35 ,32.0,-119.375
18,5 ,42.0,-113.125
19,46 ,39.0,-124.375
20,7 ,35.0,-115.625
21,21 ,37.0,-123.125
22,11 ,47.0,-111.875
23,0 ,48.0,-123.125
24,4 ,36.0,-114.375
25,3 ,48.0,-114.375
26,2 ,37.0,-121.875
27,28 ,36.0,-123.125
28,0 ,41.0,-111.875
29,5 ,42.0,-120.625
30,11 ,34.0,-116.875
31,10 ,48.0,-109.375
32,0 ,47.0,-123.125
33,14 ,41.0,-120.625
34,35 ,42.0,-109.375
35,10 ,34.0,-114.375
36,7 ,36.0,-118.125
37,8 ,36.0,-106.875
38,11 ,36.0,-115.625
39,16 ,37.0,-110.625
40,3 ,32.0,-115.625
41,0 ,49.0,-119.375
42,0 ,46.0,-115.625
43,5 ,41.0,-119.375
44,11 ,36.0,-121.875
45,0 ,49.0,-116.875
46,41 ,47.0,-124.375
47,0 ,37.0,-118.125
48,0 ,40.0,-106.875
49,7 ,44.0,-111.875
50,5 ,33.0,-118.125
51,22 ,33.0,-114.375
52,27 ,33.0,-123.125
53,0 ,44.0,-109.375
54,13 ,35.0,-114.375
55,0 ,40.0,-118.125
56,14 ,44.0,-116.875
57,11 ,45.0,-120.625
58,39 ,33.0,-119.375
59,8 ,37.0,-114.375
60,21 ,33.0,-115.625
61,10 ,33.0,-109.375
62,28 ,43.0,-108.125
63,5 ,36.0,-113.125
64,5 ,46.0,-120.625
65,22 ,33.0,-124.375
66,10 ,38.0,-116.875
67,11 ,43.0,-123.125
68,11 ,45.0,-123.125
69,17 ,42.0,-116.875
70,13 ,36.0,-119.375
71,50 ,38.0,-124.375
72,10 ,45.0,-118.125
73,0 ,49.0,-118.125
74,22 ,32.0,-123.125
75,22 ,37.0,-108.125
76,17 ,45.0,-108.125
77,3 ,44.0,-115.625
78,8 ,40.0,-119.375
79,0 ,48.0,-118.125
