,ELCC,latitude,longitude
0,2 ,45.0,-113.125
1,5 ,33.0,-123.125
2,2 ,38.0,-113.125
3,0 ,44.0,-108.125
4,0 ,36.0,-110.625
5,2 ,47.0,-113.125
6,5 ,47.0,-120.625
7,5 ,48.0,-120.625
8,0 ,39.0,-109.375
9,0 ,41.0,-109.375
10,7 ,41.0,-124.375
11,7 ,38.0,-124.375
12,2 ,42.0,-113.125
13,2 ,37.0,-114.375
14,0 ,41.0,-106.875
15,2 ,49.0,-113.125
16,7 ,34.0,-124.375
17,2 ,48.0,-111.875
18,7 ,33.0,-124.375
19,5 ,39.0,-120.625
20,5 ,45.0,-120.625
21,7 ,35.0,-123.125
22,3 ,44.0,-118.125
23,0 ,48.0,-106.875
24,3 ,45.0,-116.875
25,0 ,45.0,-106.875
26,0 ,32.0,-111.875
27,2 ,40.0,-111.875
28,3 ,32.0,-119.375
29,7 ,35.0,-124.375
30,0 ,34.0,-106.875
31,0 ,35.0,-106.875
32,2 ,46.0,-109.375
33,2 ,40.0,-115.625
34,3 ,36.0,-121.875
35,3 ,37.0,-119.375
36,2 ,38.0,-115.625
37,0 ,43.0,-109.375
38,7 ,47.0,-124.375
39,5 ,46.0,-121.875
40,3 ,48.0,-116.875
41,7 ,32.0,-123.125
42,7 ,48.0,-124.375
43,5 ,32.0,-120.625
44,0 ,39.0,-108.125
45,3 ,33.0,-119.375
46,4 ,45.0,-118.125
47,2 ,46.0,-111.875
48,3 ,43.0,-115.625
49,2 ,49.0,-114.375
50,2 ,43.0,-114.375
51,2 ,47.0,-109.375
52,0 ,38.0,-111.875
53,2 ,43.0,-110.625
54,3 ,47.0,-118.125
55,5 ,42.0,-121.875
56,2 ,32.0,-118.125
57,2 ,49.0,-111.875
58,2 ,34.0,-115.625
59,0 ,38.0,-108.125
60,5 ,34.0,-120.625
61,3 ,46.0,-118.125
62,7 ,36.0,-123.125
63,5 ,37.0,-121.875
64,3 ,42.0,-115.625
65,0 ,35.0,-111.875
66,2 ,36.0,-114.375
67,0 ,32.0,-115.625
68,3 ,36.0,-120.625
69,0 ,39.0,-106.875
70,2 ,45.0,-111.875
71,2 ,33.0,-114.375
72,3 ,37.0,-118.125
73,0 ,32.0,-109.375
74,5 ,42.0,-120.625
75,3 ,41.0,-116.875
76,0 ,33.0,-106.875
77,3 ,46.0,-115.625
78,0 ,35.0,-109.375
79,0 ,37.0,-109.375
80,0 ,32.0,-113.125
81,5 ,49.0,-119.375
82,2 ,49.0,-115.625
83,2 ,48.0,-109.375
84,2 ,34.0,-114.375
85,0 ,37.0,-111.875
86,5 ,32.0,-121.875
87,3 ,44.0,-116.875
88,5 ,42.0,-119.375
89,3 ,45.0,-115.625
90,0 ,42.0,-109.375
91,0 ,36.0,-108.125
92,3 ,49.0,-116.875
93,7 ,42.0,-123.125
94,3 ,40.0,-119.375
95,6 ,47.0,-121.875
96,5 ,44.0,-121.875
97,2 ,36.0,-116.875
98,5 ,40.0,-120.625
99,0 ,32.0,-106.875
100,0 ,41.0,-110.625
101,3 ,39.0,-116.875
102,2 ,32.0,-116.875
103,0 ,49.0,-106.875
104,7 ,41.0,-123.125
105,0 ,38.0,-109.375
106,0 ,40.0,-109.375
107,2 ,45.0,-110.625
108,0 ,36.0,-111.875
109,0 ,43.0,-108.125
110,3 ,46.0,-116.875
111,7 ,48.0,-123.125
112,0 ,37.0,-106.875
113,5 ,40.0,-121.875
114,2 ,42.0,-110.625
115,3 ,35.0,-118.125
116,0 ,47.0,-108.125
117,2 ,43.0,-113.125
118,0 ,42.0,-106.875
119,2 ,44.0,-115.625
120,7 ,36.0,-124.375
121,0 ,33.0,-113.125
122,2 ,37.0,-115.625
123,3 ,38.0,-118.125
124,3 ,41.0,-115.625
125,5 ,44.0,-119.375
126,0 ,45.0,-108.125
127,3 ,37.0,-120.625
128,0 ,39.0,-110.625
129,0 ,32.0,-108.125
130,5 ,45.0,-121.875
131,3 ,48.0,-118.125
132,2 ,49.0,-110.625
133,7 ,49.0,-124.375
134,3 ,33.0,-120.625
135,2 ,33.0,-115.625
136,2 ,40.0,-114.375
137,2 ,41.0,-113.125
138,7 ,43.0,-124.375
139,0 ,34.0,-113.125
140,5 ,43.0,-120.625
141,0 ,39.0,-111.875
142,2 ,35.0,-114.375
143,0 ,40.0,-110.625
144,3 ,46.0,-114.375
145,2 ,48.0,-114.375
146,0 ,33.0,-109.375
147,7 ,40.0,-123.125
148,0 ,37.0,-110.625
149,0 ,34.0,-108.125
150,7 ,42.0,-124.375
151,7 ,37.0,-124.375
152,5 ,41.0,-120.625
153,2 ,47.0,-110.625
154,2 ,46.0,-113.125
155,2 ,39.0,-113.125
156,7 ,38.0,-123.125
157,0 ,41.0,-108.125
158,7 ,44.0,-124.375
159,2 ,48.0,-110.625
160,7 ,46.0,-124.375
161,2 ,47.0,-111.875
162,2 ,40.0,-113.125
163,3 ,47.0,-115.625
164,7 ,45.0,-123.125
165,2 ,44.0,-114.375
166,7 ,37.0,-123.125
167,3 ,39.0,-119.375
168,0 ,40.0,-108.125
169,0 ,32.0,-110.625
170,3 ,45.0,-114.375
171,3 ,36.0,-119.375
172,0 ,47.0,-106.875
173,2 ,37.0,-116.875
174,5 ,45.0,-119.375
175,0 ,42.0,-108.125
176,3 ,36.0,-118.125
177,0 ,35.0,-108.125
178,7 ,43.0,-123.125
179,2 ,35.0,-115.625
180,0 ,48.0,-108.125
181,2 ,47.0,-114.375
182,2 ,35.0,-116.875
183,5 ,43.0,-121.875
184,0 ,33.0,-110.625
185,0 ,44.0,-109.375
186,2 ,34.0,-118.125
187,0 ,36.0,-106.875
188,2 ,43.0,-111.875
189,5 ,35.0,-120.625
190,3 ,38.0,-119.375
191,2 ,38.0,-114.375
192,5 ,41.0,-119.375
193,0 ,34.0,-110.625
194,3 ,41.0,-118.125
195,5 ,39.0,-123.125
196,7 ,49.0,-123.125
197,3 ,48.0,-115.625
198,2 ,44.0,-113.125
199,5 ,38.0,-120.625
200,0 ,49.0,-108.125
201,3 ,43.0,-116.875
202,0 ,46.0,-108.125
203,0 ,35.0,-110.625
204,5 ,48.0,-121.875
205,5 ,38.0,-121.875
206,5 ,35.0,-121.875
207,2 ,39.0,-115.625
208,2 ,49.0,-109.375
209,5 ,46.0,-119.375
210,2 ,36.0,-115.625
211,3 ,35.0,-119.375
212,3 ,49.0,-118.125
213,0 ,44.0,-106.875
214,0 ,46.0,-106.875
215,2 ,42.0,-114.375
216,5 ,48.0,-119.375
217,3 ,47.0,-116.875
218,2 ,33.0,-118.125
219,5 ,34.0,-121.875
220,5 ,39.0,-121.875
221,2 ,34.0,-116.875
222,0 ,34.0,-111.875
223,2 ,44.0,-110.625
224,5 ,47.0,-119.375
225,2 ,41.0,-114.375
226,0 ,35.0,-113.125
227,0 ,38.0,-106.875
228,2 ,36.0,-113.125
229,3 ,34.0,-119.375
230,7 ,44.0,-123.125
231,2 ,44.0,-111.875
232,0 ,43.0,-106.875
233,7 ,47.0,-123.125
234,5 ,46.0,-120.625
235,5 ,43.0,-119.375
236,2 ,38.0,-116.875
237,7 ,32.0,-124.375
238,5 ,41.0,-121.875
239,2 ,37.0,-113.125
240,7 ,40.0,-124.375
241,5 ,44.0,-120.625
242,2 ,39.0,-114.375
243,0 ,40.0,-106.875
244,0 ,36.0,-109.375
245,7 ,45.0,-124.375
246,3 ,42.0,-118.125
247,0 ,45.0,-109.375
248,2 ,41.0,-111.875
249,5 ,33.0,-121.875
250,0 ,37.0,-108.125
251,0 ,32.0,-114.375
252,0 ,33.0,-111.875
253,0 ,33.0,-108.125
254,5 ,49.0,-121.875
255,0 ,38.0,-110.625
256,3 ,40.0,-118.125
257,5 ,49.0,-120.625
258,2 ,33.0,-116.875
259,7 ,34.0,-123.125
260,3 ,39.0,-118.125
261,7 ,46.0,-123.125
262,0 ,34.0,-109.375
263,3 ,40.0,-116.875
264,2 ,42.0,-111.875
265,2 ,46.0,-110.625
266,3 ,43.0,-118.125
267,3 ,42.0,-116.875
268,2 ,48.0,-113.125
269,7 ,39.0,-124.375
