,ELCC,latitude,longitude
0,10 ,38.0,-109.375
1,16 ,32.0,-118.125
2,0 ,35.0,-111.875
3,32 ,42.0,-109.375
4,8 ,40.0,-113.125
5,2 ,32.0,-108.125
6,21 ,38.0,-123.125
7,2 ,46.0,-119.375
8,2 ,43.0,-109.375
9,8 ,47.0,-120.625
10,5 ,38.0,-106.875
11,19 ,33.0,-115.625
12,5 ,34.0,-108.125
13,0 ,48.0,-115.625
14,10 ,45.0,-119.375
15,8 ,48.0,-106.875
16,0 ,49.0,-123.125
17,25 ,43.0,-108.125
18,11 ,45.0,-123.125
19,5 ,35.0,-115.625
20,21 ,32.0,-123.125
21,11 ,43.0,-123.125
22,5 ,36.0,-118.125
23,0 ,48.0,-120.625
24,10 ,45.0,-118.125
25,2 ,48.0,-123.125
26,7 ,35.0,-109.375
27,14 ,39.0,-113.125
28,7 ,48.0,-108.125
29,5 ,45.0,-113.125
30,2 ,38.0,-119.375
31,21 ,33.0,-111.875
32,2 ,46.0,-116.875
33,11 ,35.0,-114.375
34,0 ,45.0,-111.875
35,7 ,39.0,-119.375
36,0 ,46.0,-118.125
37,5 ,35.0,-120.625
38,10 ,41.0,-114.375
39,8 ,37.0,-114.375
40,5 ,44.0,-114.375
41,16 ,32.0,-106.875
42,35 ,43.0,-124.375
43,7 ,33.0,-118.125
44,2 ,49.0,-111.875
45,30 ,41.0,-108.125
46,5 ,41.0,-119.375
47,16 ,43.0,-119.375
48,2 ,38.0,-113.125
49,24 ,35.0,-121.875
50,0 ,47.0,-116.875
51,2 ,38.0,-115.625
52,0 ,47.0,-118.125
53,21 ,46.0,-106.875
54,36 ,33.0,-119.375
55,13 ,35.0,-118.125
56,10 ,36.0,-121.875
57,11 ,36.0,-115.625
58,0 ,45.0,-110.625
59,13 ,37.0,-113.125
60,32 ,32.0,-119.375
61,0 ,47.0,-119.375
62,52 ,40.0,-124.375
63,2 ,35.0,-108.125
64,0 ,39.0,-116.875
65,2 ,41.0,-106.875
66,0 ,45.0,-121.875
67,10 ,33.0,-109.375
68,3 ,38.0,-114.375
69,0 ,32.0,-109.375
70,3 ,43.0,-121.875
71,8 ,42.0,-110.625
72,2 ,33.0,-108.125
73,11 ,43.0,-118.125
74,36 ,33.0,-120.625
75,0 ,47.0,-114.375
76,19 ,47.0,-106.875
77,0 ,40.0,-106.875
78,27 ,42.0,-115.625
79,24 ,39.0,-121.875
80,19 ,42.0,-116.875
81,3 ,36.0,-111.875
82,7 ,45.0,-116.875
83,2 ,39.0,-118.125
84,14 ,44.0,-116.875
85,7 ,45.0,-114.375
86,47 ,35.0,-124.375
87,11 ,40.0,-108.125
88,39 ,34.0,-120.625
89,5 ,38.0,-110.625
90,33 ,43.0,-114.375
91,14 ,41.0,-116.875
92,38 ,41.0,-124.375
93,0 ,49.0,-121.875
94,0 ,47.0,-115.625
95,10 ,46.0,-110.625
96,67 ,45.0,-124.375
97,21 ,45.0,-106.875
98,0 ,49.0,-120.625
99,7 ,40.0,-111.875
100,0 ,46.0,-115.625
101,2 ,48.0,-114.375
102,3 ,36.0,-109.375
103,0 ,49.0,-116.875
104,21 ,40.0,-109.375
105,11 ,35.0,-119.375
106,7 ,36.0,-116.875
107,0 ,40.0,-123.125
108,0 ,41.0,-123.125
109,7 ,49.0,-109.375
110,2 ,33.0,-106.875
111,11 ,44.0,-118.125
112,16 ,44.0,-119.375
113,8 ,40.0,-120.625
114,7 ,40.0,-115.625
115,16 ,38.0,-120.625
116,2 ,46.0,-120.625
117,0 ,43.0,-111.875
118,11 ,39.0,-111.875
119,36 ,38.0,-121.875
120,2 ,37.0,-119.375
121,21 ,33.0,-124.375
122,35 ,32.0,-120.625
123,10 ,38.0,-116.875
124,42 ,41.0,-109.375
125,5 ,42.0,-121.875
126,0 ,48.0,-119.375
127,0 ,49.0,-119.375
128,55 ,42.0,-124.375
129,0 ,41.0,-111.875
130,53 ,38.0,-124.375
131,5 ,36.0,-110.625
132,25 ,46.0,-108.125
133,0 ,48.0,-118.125
134,47 ,32.0,-114.375
135,50 ,39.0,-124.375
136,11 ,40.0,-116.875
137,3 ,45.0,-115.625
138,0 ,43.0,-110.625
139,0 ,44.0,-110.625
140,2 ,34.0,-110.625
141,8 ,37.0,-116.875
142,10 ,42.0,-118.125
143,2 ,32.0,-110.625
144,3 ,38.0,-118.125
145,2 ,34.0,-118.125
146,5 ,40.0,-121.875
147,3 ,32.0,-116.875
148,28 ,42.0,-108.125
149,13 ,37.0,-115.625
150,14 ,48.0,-110.625
151,5 ,36.0,-108.125
152,3 ,34.0,-109.375
153,27 ,33.0,-121.875
154,58 ,44.0,-124.375
155,0 ,47.0,-123.125
156,2 ,46.0,-113.125
157,11 ,43.0,-116.875
158,10 ,44.0,-106.875
159,10 ,48.0,-109.375
160,16 ,34.0,-119.375
161,44 ,37.0,-120.625
162,2 ,39.0,-106.875
163,5 ,44.0,-123.125
164,5 ,38.0,-111.875
165,0 ,46.0,-114.375
166,5 ,44.0,-113.125
167,3 ,49.0,-106.875
168,0 ,49.0,-124.375
169,7 ,44.0,-111.875
170,5 ,43.0,-120.625
171,2 ,41.0,-113.125
172,10 ,35.0,-116.875
173,2 ,38.0,-108.125
174,0 ,44.0,-109.375
175,8 ,33.0,-110.625
176,2 ,39.0,-123.125
177,14 ,48.0,-111.875
178,22 ,33.0,-114.375
179,0 ,49.0,-118.125
180,5 ,47.0,-110.625
181,13 ,41.0,-120.625
182,5 ,37.0,-109.375
183,11 ,37.0,-110.625
184,19 ,45.0,-108.125
185,14 ,34.0,-111.875
186,13 ,33.0,-116.875
187,7 ,40.0,-119.375
188,27 ,34.0,-123.125
189,19 ,40.0,-110.625
190,57 ,37.0,-124.375
191,27 ,46.0,-109.375
192,47 ,46.0,-124.375
193,32 ,34.0,-124.375
194,2 ,37.0,-121.875
195,0 ,48.0,-124.375
196,16 ,42.0,-119.375
197,8 ,46.0,-123.125
198,11 ,34.0,-116.875
199,3 ,37.0,-106.875
200,0 ,48.0,-121.875
201,3 ,36.0,-113.125
202,10 ,34.0,-114.375
203,5 ,42.0,-113.125
204,7 ,34.0,-106.875
205,25 ,42.0,-114.375
206,0 ,39.0,-114.375
207,16 ,32.0,-124.375
208,3 ,44.0,-115.625
209,17 ,44.0,-108.125
210,0 ,49.0,-115.625
211,22 ,37.0,-108.125
212,13 ,41.0,-115.625
213,13 ,36.0,-119.375
214,25 ,33.0,-123.125
215,0 ,49.0,-113.125
216,3 ,42.0,-123.125
217,10 ,37.0,-111.875
218,24 ,43.0,-113.125
219,25 ,32.0,-121.875
220,2 ,49.0,-110.625
221,5 ,35.0,-110.625
222,35 ,44.0,-120.625
223,16 ,32.0,-111.875
224,8 ,46.0,-111.875
225,3 ,46.0,-121.875
226,0 ,40.0,-118.125
227,2 ,32.0,-115.625
228,2 ,47.0,-113.125
229,28 ,36.0,-123.125
230,11 ,47.0,-109.375
231,5 ,34.0,-115.625
232,27 ,34.0,-121.875
233,3 ,49.0,-108.125
234,0 ,47.0,-121.875
235,7 ,41.0,-110.625
236,0 ,49.0,-114.375
237,14 ,36.0,-120.625
238,25 ,32.0,-113.125
239,10 ,35.0,-106.875
240,7 ,36.0,-106.875
241,0 ,37.0,-118.125
242,22 ,37.0,-123.125
243,28 ,33.0,-113.125
244,2 ,48.0,-113.125
245,5 ,39.0,-108.125
246,21 ,47.0,-108.125
247,11 ,47.0,-111.875
248,39 ,43.0,-115.625
249,17 ,39.0,-110.625
250,13 ,35.0,-113.125
251,0 ,48.0,-116.875
252,3 ,36.0,-114.375
253,0 ,42.0,-111.875
254,3 ,44.0,-121.875
255,11 ,39.0,-109.375
256,36 ,43.0,-106.875
257,13 ,39.0,-115.625
258,2 ,40.0,-114.375
259,10 ,45.0,-120.625
260,17 ,34.0,-113.125
261,2 ,41.0,-118.125
262,3 ,42.0,-120.625
263,39 ,47.0,-124.375
264,55 ,36.0,-124.375
265,2 ,41.0,-121.875
266,28 ,35.0,-123.125
267,0 ,39.0,-120.625
268,24 ,42.0,-106.875
269,3 ,45.0,-109.375
