,ELCC,latitude,longitude
0,44 ,41.0,-109.375
1,7 ,40.0,-115.625
2,3 ,46.0,-121.875
3,27 ,32.0,-113.125
4,0 ,49.0,-123.125
5,35 ,32.0,-119.375
6,0 ,48.0,-121.875
7,10 ,43.0,-118.125
8,3 ,44.0,-121.875
9,11 ,45.0,-123.125
10,0 ,41.0,-111.875
11,14 ,34.0,-111.875
12,8 ,40.0,-113.125
13,2 ,43.0,-109.375
14,7 ,41.0,-110.625
15,5 ,34.0,-115.625
16,5 ,40.0,-121.875
17,11 ,40.0,-108.125
18,17 ,47.0,-106.875
19,0 ,39.0,-114.375
20,17 ,32.0,-124.375
21,5 ,35.0,-115.625
22,7 ,46.0,-111.875
23,0 ,40.0,-106.875
24,0 ,47.0,-123.125
25,16 ,34.0,-113.125
26,13 ,35.0,-113.125
27,5 ,37.0,-109.375
28,10 ,35.0,-119.375
29,8 ,34.0,-114.375
30,41 ,43.0,-106.875
31,10 ,35.0,-116.875
32,1 ,34.0,-118.125
33,0 ,43.0,-111.875
34,19 ,44.0,-108.125
35,5 ,43.0,-120.625
36,19 ,33.0,-115.625
37,32 ,33.0,-121.875
38,0 ,45.0,-111.875
39,7 ,35.0,-109.375
40,19 ,46.0,-106.875
41,10 ,46.0,-110.625
42,22 ,42.0,-114.375
43,5 ,42.0,-121.875
44,8 ,33.0,-110.625
45,2 ,49.0,-111.875
46,11 ,45.0,-120.625
47,49 ,40.0,-124.375
48,33 ,43.0,-124.375
49,0 ,42.0,-111.875
50,14 ,44.0,-119.375
51,2 ,46.0,-113.125
52,11 ,44.0,-118.125
53,0 ,44.0,-109.375
54,28 ,43.0,-113.125
55,3 ,43.0,-121.875
56,0 ,49.0,-115.625
57,0 ,48.0,-116.875
58,8 ,46.0,-123.125
59,22 ,37.0,-108.125
60,8 ,48.0,-106.875
61,2 ,49.0,-106.875
62,22 ,32.0,-123.125
63,0 ,49.0,-121.875
64,7 ,36.0,-106.875
65,28 ,43.0,-108.125
66,11 ,41.0,-115.625
67,3 ,34.0,-109.375
68,2 ,36.0,-111.875
69,2 ,47.0,-113.125
70,5 ,44.0,-123.125
71,5 ,42.0,-113.125
72,3 ,45.0,-113.125
73,2 ,32.0,-115.625
74,19 ,47.0,-108.125
75,33 ,42.0,-109.375
76,11 ,39.0,-111.875
77,13 ,41.0,-116.875
78,2 ,46.0,-116.875
79,32 ,41.0,-108.125
80,0 ,49.0,-116.875
