,ELCC,latitude,longitude
0,14 ,46.0,-118.125
1,5 ,48.0,-106.875
2,17 ,36.0,-120.625
3,16 ,40.0,-119.375
4,16 ,46.0,-119.375
5,16 ,35.0,-119.375
6,13 ,39.0,-113.125
7,16 ,44.0,-118.125
8,17 ,32.0,-118.125
9,14 ,33.0,-115.625
10,19 ,47.0,-123.125
11,19 ,45.0,-123.125
12,13 ,35.0,-114.375
13,14 ,44.0,-116.875
14,11 ,43.0,-113.125
15,8 ,41.0,-108.125
16,8 ,32.0,-106.875
17,16 ,33.0,-116.875
18,5 ,48.0,-110.625
19,13 ,43.0,-123.125
20,7 ,39.0,-106.875
21,13 ,47.0,-118.125
22,22 ,48.0,-124.375
23,10 ,32.0,-109.375
24,10 ,36.0,-109.375
25,14 ,32.0,-115.625
26,13 ,40.0,-114.375
27,20 ,41.0,-120.625
28,8 ,33.0,-108.125
29,7 ,33.0,-109.375
30,15 ,36.0,-115.625
31,10 ,49.0,-114.375
32,11 ,45.0,-113.125
33,24 ,32.0,-124.375
34,11 ,43.0,-111.875
35,14 ,44.0,-120.625
36,19 ,37.0,-121.875
37,21 ,35.0,-121.875
38,11 ,49.0,-115.625
39,11 ,35.0,-111.875
40,21 ,41.0,-124.375
41,14 ,38.0,-115.625
42,12 ,36.0,-118.125
43,17 ,35.0,-120.625
44,17 ,40.0,-121.875
45,16 ,44.0,-119.375
46,22 ,44.0,-124.375
47,14 ,38.0,-118.125
48,24 ,37.0,-124.375
49,8 ,35.0,-108.125
50,13 ,48.0,-118.125
51,7 ,47.0,-113.125
52,14 ,48.0,-120.625
53,12 ,41.0,-111.875
54,13 ,40.0,-115.625
55,7 ,49.0,-110.625
56,6 ,49.0,-106.875
57,8 ,45.0,-114.375
58,14 ,49.0,-120.625
59,10 ,46.0,-115.625
60,10 ,35.0,-113.125
61,10 ,36.0,-110.625
62,11 ,42.0,-110.625
63,16 ,35.0,-116.875
64,13 ,41.0,-115.625
65,24 ,35.0,-124.375
66,5 ,47.0,-106.875
67,13 ,33.0,-114.375
68,20 ,46.0,-123.125
69,7 ,42.0,-106.875
70,16 ,42.0,-116.875
71,7 ,49.0,-111.875
72,11 ,40.0,-113.125
73,8 ,37.0,-108.125
74,17 ,45.0,-119.375
75,11 ,41.0,-113.125
76,22 ,45.0,-124.375
77,13 ,32.0,-114.375
78,7 ,48.0,-109.375
79,5 ,46.0,-108.125
80,10 ,45.0,-115.625
81,13 ,43.0,-114.375
82,7 ,44.0,-108.125
83,10 ,48.0,-115.625
84,8 ,34.0,-106.875
85,8 ,46.0,-109.375
86,22 ,46.0,-124.375
87,11 ,48.0,-114.375
88,8 ,44.0,-109.375
89,13 ,45.0,-116.875
90,10 ,32.0,-113.125
91,17 ,40.0,-120.625
92,10 ,37.0,-109.375
93,14 ,36.0,-116.875
94,13 ,47.0,-120.625
95,10 ,34.0,-111.875
96,10 ,40.0,-109.375
97,10 ,48.0,-113.125
98,14 ,41.0,-118.125
99,10 ,39.0,-110.625
100,17 ,43.0,-119.375
101,14 ,45.0,-120.625
102,22 ,32.0,-123.125
103,13 ,38.0,-114.375
104,23 ,33.0,-124.375
105,13 ,44.0,-115.625
106,14 ,37.0,-118.125
107,17 ,39.0,-119.375
108,10 ,38.0,-109.375
109,15 ,37.0,-116.875
110,24 ,38.0,-124.375
111,14 ,47.0,-119.375
112,14 ,43.0,-115.625
113,5 ,46.0,-106.875
114,8 ,32.0,-111.875
115,21 ,36.0,-121.875
116,11 ,47.0,-114.375
117,7 ,49.0,-108.125
118,11 ,42.0,-113.125
119,8 ,32.0,-108.125
120,14 ,37.0,-119.375
121,7 ,49.0,-109.375
122,16 ,39.0,-121.875
123,8 ,38.0,-108.125
124,17 ,42.0,-118.125
125,16 ,42.0,-124.375
126,11 ,33.0,-113.125
127,19 ,42.0,-121.875
128,11 ,45.0,-111.875
129,10 ,43.0,-110.625
130,5 ,44.0,-106.875
131,7 ,43.0,-108.125
132,10 ,45.0,-110.625
133,21 ,49.0,-124.375
134,14 ,43.0,-116.875
135,14 ,34.0,-115.625
136,7 ,38.0,-106.875
137,14 ,37.0,-115.625
138,7 ,40.0,-106.875
139,13 ,41.0,-114.375
140,11 ,39.0,-114.375
141,9 ,36.0,-108.125
142,8 ,45.0,-109.375
143,8 ,34.0,-108.125
144,17 ,46.0,-121.875
145,19 ,34.0,-120.625
146,13 ,48.0,-119.375
147,14 ,37.0,-120.625
148,16 ,32.0,-116.875
149,13 ,43.0,-121.875
150,8 ,49.0,-113.125
151,19 ,40.0,-123.125
152,13 ,39.0,-115.625
153,8 ,33.0,-106.875
154,11 ,44.0,-113.125
155,16 ,35.0,-118.125
156,8 ,35.0,-106.875
157,11 ,42.0,-111.875
158,13 ,37.0,-114.375
159,13 ,44.0,-114.375
160,17 ,39.0,-120.625
161,7 ,45.0,-108.125
162,22 ,37.0,-123.125
163,21 ,32.0,-120.625
164,7 ,47.0,-109.375
165,7 ,48.0,-111.875
166,16 ,38.0,-120.625
167,16 ,43.0,-118.125
168,11 ,40.0,-111.875
169,11 ,48.0,-116.875
170,10 ,46.0,-110.625
