,ELCC,latitude,longitude
0,5 ,37.0,-109.375
1,11 ,40.0,-119.375
2,11 ,42.0,-118.125
3,13 ,39.0,-120.625
4,8 ,44.0,-121.875
5,7 ,37.0,-113.125
6,11 ,44.0,-119.375
7,11 ,47.0,-121.875
8,3 ,45.0,-108.125
9,10 ,42.0,-115.625
10,14 ,34.0,-121.875
11,13 ,34.0,-119.375
12,5 ,39.0,-109.375
13,5 ,46.0,-113.125
14,14 ,32.0,-120.625
15,14 ,33.0,-120.625
16,14 ,48.0,-123.125
17,5 ,32.0,-108.125
18,5 ,34.0,-110.625
19,11 ,41.0,-123.125
20,7 ,37.0,-110.625
21,5 ,48.0,-115.625
22,5 ,41.0,-109.375
23,7 ,46.0,-114.375
24,8 ,39.0,-115.625
25,16 ,45.0,-124.375
26,8 ,33.0,-114.375
27,10 ,45.0,-120.625
28,8 ,49.0,-118.125
29,16 ,32.0,-123.125
30,8 ,36.0,-114.375
31,3 ,47.0,-113.125
32,16 ,37.0,-123.125
33,7 ,42.0,-110.625
34,13 ,37.0,-121.875
35,8 ,49.0,-116.875
36,3 ,44.0,-108.125
37,16 ,44.0,-124.375
38,3 ,48.0,-109.375
39,8 ,38.0,-113.125
40,11 ,38.0,-120.625
41,8 ,49.0,-115.625
42,5 ,32.0,-109.375
43,10 ,38.0,-116.875
44,7 ,44.0,-110.625
45,8 ,45.0,-116.875
46,11 ,48.0,-121.875
47,3 ,42.0,-106.875
48,5 ,45.0,-114.375
49,10 ,46.0,-118.125
50,5 ,34.0,-108.125
51,3 ,45.0,-106.875
52,10 ,35.0,-118.125
53,11 ,33.0,-118.125
54,16 ,39.0,-124.375
55,3 ,38.0,-106.875
56,5 ,39.0,-108.125
57,11 ,43.0,-120.625
58,5 ,33.0,-110.625
59,11 ,41.0,-118.125
60,13 ,40.0,-121.875
61,8 ,35.0,-114.375
62,3 ,44.0,-106.875
63,10 ,43.0,-116.875
64,10 ,38.0,-118.125
65,8 ,41.0,-111.875
66,3 ,40.0,-106.875
67,10 ,49.0,-120.625
68,3 ,47.0,-108.125
69,10 ,36.0,-119.375
70,16 ,49.0,-124.375
71,14 ,40.0,-123.125
72,6 ,46.0,-110.625
73,8 ,42.0,-114.375
74,5 ,36.0,-109.375
75,10 ,47.0,-118.125
76,14 ,41.0,-124.375
77,10 ,37.0,-119.375
78,11 ,46.0,-120.625
79,3 ,41.0,-106.875
80,17 ,38.0,-124.375
81,7 ,33.0,-113.125
82,11 ,39.0,-119.375
83,7 ,40.0,-113.125
84,5 ,47.0,-111.875
85,3 ,43.0,-108.125
86,7 ,38.0,-111.875
87,7 ,43.0,-110.625
88,11 ,45.0,-118.125
89,5 ,40.0,-108.125
90,13 ,42.0,-124.375
91,10 ,41.0,-116.875
92,14 ,39.0,-123.125
93,3 ,37.0,-106.875
94,13 ,42.0,-121.875
95,11 ,40.0,-118.125
96,11 ,38.0,-119.375
97,7 ,40.0,-114.375
98,8 ,34.0,-114.375
99,10 ,34.0,-116.875
100,5 ,40.0,-109.375
101,8 ,41.0,-114.375
102,10 ,32.0,-116.875
103,10 ,39.0,-118.125
104,8 ,34.0,-115.625
105,10 ,48.0,-119.375
106,3 ,48.0,-106.875
107,10 ,48.0,-120.625
108,10 ,35.0,-116.875
109,10 ,43.0,-118.125
110,5 ,37.0,-108.125
111,8 ,47.0,-115.625
112,13 ,41.0,-119.375
113,10 ,36.0,-115.625
114,16 ,48.0,-124.375
115,5 ,38.0,-108.125
116,8 ,37.0,-114.375
117,7 ,33.0,-111.875
118,10 ,47.0,-119.375
119,4 ,42.0,-108.125
120,8 ,48.0,-114.375
121,17 ,37.0,-124.375
122,16 ,33.0,-123.125
123,10 ,39.0,-116.875
124,5 ,35.0,-108.125
125,11 ,35.0,-119.375
126,8 ,41.0,-113.125
127,8 ,34.0,-113.125
128,3 ,35.0,-106.875
129,10 ,46.0,-119.375
130,5 ,45.0,-115.625
131,7 ,36.0,-111.875
132,7 ,48.0,-113.125
133,3 ,33.0,-109.375
134,8 ,39.0,-114.375
135,3 ,49.0,-108.125
136,3 ,47.0,-109.375
137,7 ,46.0,-111.875
138,8 ,46.0,-116.875
139,10 ,43.0,-115.625
140,11 ,45.0,-119.375
141,11 ,39.0,-121.875
142,13 ,45.0,-123.125
143,11 ,42.0,-119.375
144,11 ,44.0,-123.125
145,7 ,48.0,-116.875
146,14 ,49.0,-123.125
147,7 ,45.0,-110.625
148,16 ,34.0,-123.125
149,14 ,46.0,-123.125
150,7 ,46.0,-115.625
151,10 ,45.0,-121.875
152,3 ,39.0,-106.875
153,7 ,43.0,-113.125
154,13 ,47.0,-123.125
155,10 ,43.0,-121.875
156,7 ,36.0,-110.625
157,3 ,33.0,-106.875
158,8 ,35.0,-115.625
159,5 ,45.0,-109.375
160,8 ,38.0,-114.375
161,13 ,41.0,-120.625
162,8 ,39.0,-113.125
163,8 ,43.0,-123.125
164,13 ,41.0,-121.875
165,16 ,36.0,-123.125
166,7 ,47.0,-114.375
167,11 ,44.0,-120.625
168,8 ,36.0,-118.125
169,7 ,42.0,-113.125
170,8 ,43.0,-114.375
