,ELCC,latitude,longitude
0,30 ,41.0,-119.375
1,33 ,33.0,-109.375
2,30 ,46.0,-113.125
3,35 ,49.0,-114.375
4,28 ,44.0,-111.875
5,38 ,32.0,-110.625
6,28 ,45.0,-114.375
7,38 ,32.0,-108.125
8,28 ,44.0,-116.875
9,32 ,45.0,-119.375
10,32 ,40.0,-120.625
11,38 ,47.0,-124.375
12,36 ,48.0,-113.125
13,58 ,35.0,-121.875
14,39 ,36.0,-121.875
15,28 ,44.0,-118.125
16,28 ,37.0,-106.875
17,28 ,34.0,-111.875
18,28 ,33.0,-113.125
19,32 ,48.0,-114.375
20,28 ,42.0,-111.875
21,47 ,32.0,-121.875
22,46 ,33.0,-123.125
23,28 ,47.0,-120.625
24,35 ,47.0,-110.625
25,28 ,43.0,-118.125
26,49 ,49.0,-113.125
27,30 ,41.0,-108.125
28,30 ,43.0,-110.625
29,47 ,39.0,-124.375
30,28 ,44.0,-110.625
31,28 ,49.0,-118.125
32,30 ,40.0,-116.875
33,46 ,32.0,-124.375
34,30 ,47.0,-115.625
35,41 ,35.0,-124.375
36,28 ,46.0,-106.875
37,28 ,49.0,-124.375
38,30 ,35.0,-114.375
39,28 ,39.0,-118.125
40,30 ,47.0,-116.875
41,32 ,48.0,-109.375
42,30 ,40.0,-118.125
43,38 ,39.0,-111.875
44,28 ,44.0,-121.875
45,28 ,39.0,-106.875
46,28 ,49.0,-119.375
47,30 ,47.0,-114.375
48,28 ,49.0,-121.875
49,32 ,37.0,-109.375
50,36 ,34.0,-108.125
51,30 ,46.0,-123.125
52,30 ,42.0,-115.625
53,32 ,41.0,-118.125
54,28 ,40.0,-110.625
55,44 ,32.0,-118.125
56,32 ,42.0,-116.875
57,30 ,32.0,-114.375
58,28 ,34.0,-114.375
59,28 ,46.0,-120.625
60,28 ,35.0,-113.125
61,33 ,40.0,-111.875
62,35 ,45.0,-123.125
63,30 ,46.0,-111.875
64,32 ,47.0,-118.125
65,30 ,44.0,-123.125
66,28 ,34.0,-113.125
67,30 ,48.0,-115.625
68,46 ,33.0,-118.125
69,28 ,48.0,-123.125
70,30 ,38.0,-118.125
71,32 ,41.0,-124.375
72,30 ,44.0,-115.625
73,30 ,43.0,-115.625
74,28 ,47.0,-121.875
75,29 ,46.0,-114.375
76,35 ,47.0,-109.375
77,33 ,46.0,-109.375
78,29 ,49.0,-120.625
79,28 ,43.0,-119.375
80,32 ,37.0,-110.625
81,44 ,48.0,-111.875
82,28 ,44.0,-114.375
83,28 ,43.0,-109.375
84,30 ,38.0,-115.625
85,28 ,49.0,-108.125
86,28 ,44.0,-120.625
87,28 ,44.0,-106.875
88,33 ,42.0,-110.625
89,32 ,35.0,-116.875
90,28 ,46.0,-115.625
91,30 ,48.0,-116.875
92,35 ,35.0,-106.875
93,35 ,38.0,-120.625
94,33 ,39.0,-121.875
95,28 ,41.0,-111.875
96,49 ,38.0,-123.125
97,28 ,37.0,-113.125
98,28 ,40.0,-114.375
99,30 ,48.0,-106.875
100,38 ,36.0,-119.375
101,28 ,39.0,-114.375
102,33 ,49.0,-110.625
103,30 ,41.0,-113.125
104,30 ,41.0,-110.625
105,28 ,41.0,-115.625
106,32 ,43.0,-123.125
107,52 ,45.0,-124.375
108,28 ,46.0,-116.875
109,28 ,45.0,-121.875
110,30 ,48.0,-118.125
111,28 ,49.0,-116.875
112,35 ,45.0,-120.625
113,28 ,37.0,-108.125
114,28 ,36.0,-118.125
115,33 ,32.0,-111.875
116,30 ,33.0,-116.875
117,50 ,34.0,-121.875
118,41 ,34.0,-124.375
119,28 ,32.0,-116.875
120,28 ,45.0,-109.375
121,33 ,38.0,-109.375
122,28 ,40.0,-109.375
123,28 ,43.0,-120.625
124,30 ,38.0,-119.375
125,44 ,40.0,-124.375
126,28 ,36.0,-115.625
127,30 ,40.0,-115.625
128,46 ,38.0,-124.375
129,33 ,41.0,-109.375
130,35 ,32.0,-106.875
131,28 ,42.0,-121.875
132,30 ,39.0,-116.875
133,30 ,33.0,-114.375
134,30 ,48.0,-124.375
135,33 ,46.0,-118.125
136,28 ,44.0,-119.375
137,33 ,37.0,-116.875
138,33 ,33.0,-108.125
139,36 ,43.0,-124.375
140,50 ,33.0,-120.625
141,33 ,43.0,-106.875
142,46 ,34.0,-123.125
143,28 ,36.0,-114.375
144,28 ,38.0,-111.875
145,28 ,41.0,-114.375
146,30 ,35.0,-109.375
147,30 ,41.0,-121.875
148,32 ,39.0,-109.375
149,30 ,46.0,-108.125
150,30 ,36.0,-111.875
151,47 ,44.0,-124.375
152,28 ,45.0,-110.625
153,39 ,38.0,-113.125
154,30 ,46.0,-110.625
155,36 ,43.0,-108.125
156,28 ,39.0,-110.625
157,32 ,39.0,-108.125
158,36 ,35.0,-120.625
159,32 ,35.0,-111.875
160,36 ,32.0,-115.625
161,30 ,49.0,-115.625
162,28 ,45.0,-115.625
163,33 ,33.0,-110.625
164,28 ,39.0,-123.125
165,49 ,32.0,-119.375
166,42 ,36.0,-124.375
167,30 ,36.0,-116.875
168,28 ,46.0,-121.875
169,36 ,42.0,-109.375
170,30 ,47.0,-108.125
171,30 ,42.0,-106.875
172,28 ,34.0,-118.125
173,46 ,36.0,-123.125
174,30 ,39.0,-120.625
175,28 ,34.0,-110.625
176,33 ,40.0,-121.875
177,28 ,33.0,-111.875
178,30 ,38.0,-110.625
179,44 ,37.0,-123.125
180,28 ,48.0,-121.875
181,32 ,35.0,-119.375
182,41 ,49.0,-111.875
183,30 ,37.0,-114.375
184,28 ,47.0,-123.125
185,32 ,37.0,-121.875
186,30 ,48.0,-119.375
187,32 ,40.0,-108.125
188,28 ,35.0,-115.625
189,47 ,32.0,-120.625
190,28 ,45.0,-113.125
191,28 ,45.0,-116.875
192,28 ,43.0,-121.875
193,28 ,45.0,-118.125
194,28 ,34.0,-109.375
195,32 ,40.0,-119.375
196,42 ,37.0,-124.375
197,30 ,41.0,-106.875
198,32 ,36.0,-109.375
199,35 ,39.0,-113.125
200,30 ,42.0,-120.625
201,52 ,33.0,-119.375
202,30 ,40.0,-106.875
203,30 ,42.0,-123.125
204,30 ,44.0,-108.125
205,32 ,41.0,-116.875
206,30 ,34.0,-116.875
207,30 ,48.0,-108.125
208,49 ,32.0,-123.125
209,32 ,46.0,-119.375
210,33 ,45.0,-106.875
211,30 ,43.0,-116.875
212,28 ,44.0,-113.125
213,33 ,42.0,-118.125
214,30 ,32.0,-113.125
215,28 ,41.0,-123.125
216,49 ,33.0,-121.875
217,33 ,47.0,-111.875
218,30 ,42.0,-113.125
219,28 ,42.0,-124.375
220,28 ,43.0,-111.875
221,30 ,33.0,-115.625
222,38 ,34.0,-106.875
223,28 ,44.0,-109.375
224,32 ,35.0,-110.625
225,32 ,42.0,-119.375
226,41 ,34.0,-119.375
227,28 ,38.0,-106.875
228,28 ,47.0,-106.875
229,28 ,49.0,-106.875
230,28 ,37.0,-119.375
231,28 ,45.0,-108.125
232,30 ,49.0,-109.375
233,28 ,39.0,-115.625
234,28 ,48.0,-120.625
235,33 ,39.0,-119.375
236,44 ,38.0,-121.875
237,47 ,35.0,-123.125
238,39 ,33.0,-106.875
239,28 ,36.0,-108.125
240,57 ,34.0,-120.625
241,30 ,37.0,-115.625
242,28 ,45.0,-111.875
243,30 ,40.0,-113.125
244,32 ,41.0,-120.625
245,30 ,37.0,-120.625
246,35 ,48.0,-110.625
247,30 ,43.0,-113.125
248,28 ,36.0,-113.125
249,46 ,46.0,-124.375
250,32 ,37.0,-111.875
251,28 ,47.0,-119.375
252,28 ,40.0,-123.125
253,28 ,42.0,-108.125
254,42 ,32.0,-109.375
255,30 ,42.0,-114.375
256,35 ,38.0,-114.375
257,35 ,36.0,-110.625
258,28 ,38.0,-116.875
259,28 ,43.0,-114.375
260,36 ,35.0,-118.125
261,28 ,34.0,-115.625
262,30 ,35.0,-108.125
263,32 ,47.0,-113.125
264,28 ,37.0,-118.125
265,28 ,49.0,-123.125
266,30 ,36.0,-120.625
267,44 ,33.0,-124.375
268,30 ,38.0,-108.125
269,28 ,36.0,-106.875
