,ELCC,latitude,longitude
0,11 ,40.0,-116.875
1,10 ,40.0,-113.125
2,10 ,39.0,-114.375
3,11 ,33.0,-114.375
4,5 ,41.0,-106.875
5,10 ,44.0,-113.125
6,7 ,49.0,-113.125
7,3 ,47.0,-104.375
8,7 ,34.0,-110.625
9,13 ,46.0,-119.375
10,5 ,48.0,-108.125
11,3 ,49.0,-104.375
12,8 ,42.0,-109.375
13,11 ,37.0,-115.625
14,3 ,46.0,-106.875
15,10 ,42.0,-111.875
16,3 ,34.0,-103.125
17,21 ,36.0,-124.375
18,13 ,47.0,-119.375
19,11 ,40.0,-115.625
20,13 ,41.0,-123.125
21,10 ,41.0,-113.125
22,5 ,48.0,-109.375
23,13 ,43.0,-116.875
24,3 ,49.0,-103.125
25,5 ,43.0,-105.625
26,16 ,37.0,-121.875
27,7 ,36.0,-108.125
28,8 ,46.0,-114.375
29,10 ,34.0,-113.125
30,16 ,47.0,-123.125
31,5 ,33.0,-109.375
32,7 ,33.0,-108.125
33,10 ,49.0,-115.625
34,11 ,45.0,-116.875
35,8 ,45.0,-115.625
36,16 ,45.0,-123.125
37,14 ,39.0,-119.375
38,5 ,47.0,-109.375
39,19 ,36.0,-123.125
40,5 ,44.0,-106.875
41,3 ,32.0,-104.375
42,10 ,47.0,-115.625
43,11 ,37.0,-118.125
44,13 ,36.0,-119.375
45,8 ,41.0,-109.375
46,13 ,47.0,-118.125
47,2 ,43.0,-101.875
48,5 ,41.0,-105.625
49,11 ,42.0,-114.375
50,17 ,34.0,-121.875
51,11 ,48.0,-119.375
52,16 ,49.0,-121.875
53,10 ,43.0,-113.125
54,13 ,45.0,-118.125
55,7 ,49.0,-110.625
56,11 ,47.0,-120.625
57,10 ,39.0,-113.125
58,19 ,35.0,-123.125
59,5 ,38.0,-104.375
60,5 ,40.0,-105.625
61,13 ,42.0,-116.875
62,16 ,41.0,-120.625
63,19 ,32.0,-123.125
64,3 ,44.0,-103.125
65,7 ,34.0,-109.375
66,8 ,41.0,-110.625
67,13 ,37.0,-120.625
68,11 ,36.0,-115.625
69,10 ,49.0,-118.125
70,11 ,39.0,-115.625
71,3 ,37.0,-104.375
72,14 ,44.0,-118.125
73,7 ,38.0,-108.125
74,8 ,37.0,-110.625
75,8 ,40.0,-110.625
76,19 ,37.0,-123.125
77,11 ,43.0,-115.625
78,14 ,35.0,-119.375
79,7 ,39.0,-108.125
80,11 ,43.0,-121.875
81,13 ,41.0,-116.875
82,5 ,47.0,-110.625
83,21 ,45.0,-124.375
84,3 ,42.0,-104.375
85,10 ,36.0,-111.875
86,13 ,34.0,-116.875
87,16 ,41.0,-121.875
88,16 ,42.0,-119.375
89,10 ,40.0,-114.375
90,5 ,48.0,-111.875
91,10 ,48.0,-116.875
92,3 ,47.0,-101.875
93,13 ,37.0,-116.875
94,8 ,32.0,-113.125
95,14 ,36.0,-120.625
96,19 ,47.0,-124.375
97,8 ,44.0,-111.875
98,7 ,40.0,-108.125
99,19 ,48.0,-124.375
100,14 ,38.0,-119.375
101,2 ,46.0,-101.875
102,13 ,37.0,-119.375
103,3 ,45.0,-106.875
104,10 ,40.0,-111.875
105,13 ,39.0,-116.875
106,8 ,39.0,-109.375
107,3 ,40.0,-103.125
108,13 ,49.0,-120.625
109,8 ,36.0,-109.375
110,3 ,39.0,-101.875
111,7 ,35.0,-108.125
112,8 ,38.0,-111.875
113,7 ,35.0,-109.375
114,13 ,41.0,-118.125
115,8 ,42.0,-123.125
116,17 ,43.0,-124.375
117,21 ,35.0,-124.375
118,16 ,42.0,-121.875
119,21 ,38.0,-124.375
120,16 ,40.0,-120.625
121,5 ,45.0,-108.125
122,5 ,47.0,-113.125
123,7 ,49.0,-111.875
124,5 ,34.0,-105.625
125,7 ,37.0,-108.125
126,8 ,46.0,-113.125
127,19 ,44.0,-124.375
128,11 ,42.0,-115.625
129,5 ,39.0,-105.625
130,3 ,49.0,-105.625
131,3 ,36.0,-104.375
132,8 ,45.0,-114.375
133,8 ,46.0,-111.875
134,5 ,40.0,-106.875
135,21 ,37.0,-124.375
136,3 ,46.0,-104.375
137,3 ,48.0,-105.625
138,17 ,48.0,-123.125
139,3 ,35.0,-101.875
140,3 ,46.0,-103.125
141,3 ,34.0,-104.375
142,10 ,42.0,-113.125
143,3 ,35.0,-104.375
144,3 ,35.0,-103.125
145,8 ,48.0,-115.625
146,8 ,32.0,-109.375
147,10 ,45.0,-113.125
148,11 ,43.0,-123.125
149,8 ,46.0,-110.625
150,2 ,37.0,-103.125
151,8 ,45.0,-110.625
152,2 ,36.0,-103.125
153,13 ,38.0,-118.125
154,7 ,34.0,-108.125
155,11 ,35.0,-115.625
156,19 ,33.0,-121.875
157,5 ,44.0,-108.125
158,13 ,40.0,-118.125
159,3 ,41.0,-104.375
160,3 ,41.0,-103.125
161,3 ,48.0,-103.125
162,7 ,47.0,-111.875
163,8 ,42.0,-110.625
164,19 ,33.0,-123.125
165,14 ,43.0,-119.375
166,19 ,49.0,-124.375
167,3 ,45.0,-105.625
168,11 ,48.0,-118.125
169,14 ,48.0,-121.875
170,3 ,48.0,-104.375
171,5 ,32.0,-105.625
172,17 ,32.0,-120.625
173,5 ,35.0,-105.625
174,16 ,38.0,-121.875
175,14 ,39.0,-121.875
176,2 ,42.0,-101.875
177,17 ,41.0,-124.375
178,10 ,44.0,-114.375
179,10 ,46.0,-115.625
180,3 ,38.0,-101.875
181,7 ,33.0,-106.875
182,3 ,44.0,-105.625
183,5 ,37.0,-105.625
184,14 ,43.0,-120.625
185,11 ,36.0,-114.375
186,7 ,44.0,-109.375
187,3 ,40.0,-101.875
188,7 ,34.0,-106.875
189,3 ,46.0,-108.125
190,10 ,39.0,-111.875
191,14 ,40.0,-119.375
192,19 ,34.0,-123.125
193,13 ,33.0,-116.875
194,16 ,39.0,-120.625
195,13 ,32.0,-115.625
196,8 ,44.0,-110.625
197,10 ,48.0,-114.375
198,3 ,36.0,-105.625
199,3 ,34.0,-101.875
200,19 ,38.0,-123.125
201,11 ,45.0,-121.875
202,14 ,33.0,-118.125
203,11 ,37.0,-114.375
204,11 ,47.0,-116.875
205,8 ,37.0,-109.375
206,10 ,32.0,-114.375
207,13 ,44.0,-116.875
208,17 ,40.0,-123.125
209,5 ,43.0,-106.875
210,2 ,45.0,-101.875
211,19 ,46.0,-124.375
212,17 ,46.0,-123.125
213,7 ,35.0,-106.875
214,7 ,32.0,-110.625
215,16 ,42.0,-120.625
216,7 ,42.0,-108.125
217,14 ,46.0,-120.625
218,13 ,48.0,-120.625
219,10 ,43.0,-114.375
220,2 ,41.0,-101.875
221,22 ,32.0,-124.375
222,11 ,49.0,-116.875
223,3 ,38.0,-103.125
224,17 ,33.0,-120.625
225,10 ,38.0,-114.375
226,3 ,49.0,-101.875
227,10 ,49.0,-119.375
228,8 ,49.0,-114.375
229,11 ,35.0,-114.375
230,5 ,36.0,-106.875
231,21 ,33.0,-124.375
232,2 ,36.0,-101.875
233,8 ,38.0,-110.625
234,17 ,36.0,-121.875
235,3 ,33.0,-101.875
236,16 ,40.0,-121.875
237,14 ,44.0,-123.125
238,11 ,41.0,-115.625
239,14 ,42.0,-118.125
240,5 ,32.0,-106.875
241,5 ,33.0,-105.625
242,13 ,43.0,-118.125
243,3 ,47.0,-106.875
244,3 ,32.0,-101.875
245,21 ,39.0,-124.375
246,3 ,46.0,-105.625
247,3 ,39.0,-103.125
248,13 ,38.0,-116.875
249,5 ,43.0,-108.125
250,13 ,46.0,-118.125
251,14 ,32.0,-118.125
252,5 ,49.0,-109.375
253,16 ,32.0,-119.375
254,3 ,40.0,-104.375
255,5 ,38.0,-105.625
256,10 ,44.0,-121.875
257,7 ,46.0,-109.375
258,11 ,36.0,-118.125
259,8 ,32.0,-111.875
260,3 ,33.0,-103.125
261,5 ,42.0,-105.625
262,3 ,47.0,-103.125
263,14 ,42.0,-124.375
264,5 ,49.0,-106.875
265,17 ,34.0,-120.625
266,11 ,38.0,-113.125
267,8 ,43.0,-110.625
268,13 ,45.0,-120.625
269,8 ,35.0,-110.625
270,3 ,43.0,-103.125
271,2 ,44.0,-101.875
272,3 ,48.0,-106.875
273,5 ,48.0,-110.625
274,21 ,34.0,-124.375
275,5 ,37.0,-106.875
276,14 ,41.0,-119.375
277,17 ,49.0,-123.125
278,16 ,33.0,-119.375
279,8 ,35.0,-111.875
280,8 ,40.0,-109.375
281,8 ,38.0,-109.375
282,11 ,46.0,-116.875
283,13 ,34.0,-118.125
284,3 ,45.0,-103.125
285,13 ,44.0,-120.625
286,8 ,36.0,-110.625
287,14 ,45.0,-119.375
288,10 ,33.0,-113.125
289,8 ,34.0,-111.875
290,16 ,46.0,-121.875
291,13 ,32.0,-116.875
292,5 ,49.0,-108.125
293,11 ,41.0,-114.375
294,19 ,40.0,-124.375
295,10 ,34.0,-114.375
296,3 ,33.0,-104.375
297,16 ,34.0,-119.375
298,13 ,36.0,-116.875
299,7 ,43.0,-109.375
300,8 ,35.0,-113.125
301,3 ,42.0,-103.125
302,19 ,32.0,-121.875
303,8 ,48.0,-113.125
304,3 ,43.0,-104.375
305,5 ,39.0,-104.375
306,11 ,38.0,-115.625
307,13 ,35.0,-118.125
308,11 ,33.0,-115.625
309,7 ,45.0,-109.375
310,8 ,39.0,-110.625
311,3 ,45.0,-104.375
312,2 ,48.0,-101.875
313,11 ,34.0,-115.625
314,17 ,39.0,-123.125
315,5 ,47.0,-108.125
316,10 ,36.0,-113.125
317,17 ,35.0,-121.875
318,7 ,33.0,-110.625
319,13 ,35.0,-116.875
320,13 ,39.0,-118.125
321,3 ,32.0,-103.125
322,7 ,32.0,-108.125
323,16 ,35.0,-120.625
324,8 ,33.0,-111.875
325,14 ,47.0,-121.875
326,5 ,38.0,-106.875
327,2 ,37.0,-101.875
328,10 ,41.0,-111.875
329,5 ,39.0,-106.875
330,7 ,41.0,-108.125
331,14 ,44.0,-119.375
332,10 ,43.0,-111.875
333,8 ,37.0,-111.875
334,10 ,37.0,-113.125
335,5 ,42.0,-106.875
336,3 ,44.0,-104.375
337,10 ,45.0,-111.875
338,3 ,47.0,-105.625
339,14 ,38.0,-120.625
340,10 ,44.0,-115.625
341,10 ,47.0,-114.375
