,ELCC,latitude,longitude
0,27 ,38.0,-113.125
1,27 ,48.0,-109.375
2,33 ,48.0,-123.125
3,27 ,43.0,-108.125
4,25 ,38.0,-104.375
5,28 ,34.0,-116.875
6,27 ,43.0,-110.625
7,24 ,35.0,-101.875
8,28 ,46.0,-113.125
9,27 ,40.0,-109.375
10,30 ,40.0,-116.875
11,25 ,39.0,-105.625
12,27 ,47.0,-105.625
13,27 ,46.0,-106.875
14,33 ,47.0,-123.125
15,25 ,38.0,-106.875
16,32 ,38.0,-120.625
17,28 ,44.0,-113.125
18,30 ,42.0,-116.875
19,30 ,33.0,-118.125
20,25 ,43.0,-101.875
21,25 ,45.0,-101.875
22,28 ,33.0,-115.625
23,30 ,34.0,-120.625
24,30 ,36.0,-120.625
25,32 ,35.0,-121.875
26,28 ,48.0,-113.125
27,27 ,38.0,-109.375
28,27 ,44.0,-109.375
29,25 ,37.0,-106.875
30,25 ,40.0,-103.125
31,30 ,32.0,-118.125
32,30 ,45.0,-118.125
33,32 ,47.0,-120.625
34,30 ,42.0,-118.125
35,32 ,40.0,-120.625
36,27 ,49.0,-108.125
37,30 ,42.0,-119.375
38,30 ,37.0,-119.375
39,28 ,41.0,-121.875
40,33 ,39.0,-123.125
41,33 ,41.0,-124.375
42,25 ,34.0,-104.375
43,32 ,43.0,-121.875
44,25 ,42.0,-101.875
45,28 ,39.0,-114.375
46,33 ,35.0,-123.125
47,30 ,47.0,-116.875
48,32 ,39.0,-121.875
49,27 ,47.0,-108.125
50,30 ,43.0,-116.875
51,32 ,40.0,-121.875
52,27 ,35.0,-110.625
53,28 ,42.0,-115.625
54,25 ,41.0,-101.875
55,27 ,32.0,-113.125
56,25 ,49.0,-101.875
57,30 ,42.0,-123.125
58,27 ,42.0,-114.375
59,32 ,44.0,-123.125
60,25 ,32.0,-104.375
61,30 ,43.0,-118.125
62,24 ,36.0,-103.125
63,32 ,48.0,-119.375
64,28 ,43.0,-113.125
65,25 ,35.0,-108.125
66,25 ,45.0,-105.625
67,24 ,37.0,-104.375
68,27 ,36.0,-109.375
69,35 ,37.0,-124.375
70,25 ,48.0,-103.125
71,25 ,34.0,-108.125
72,32 ,45.0,-121.875
73,27 ,35.0,-106.875
74,27 ,42.0,-108.125
75,32 ,40.0,-119.375
76,28 ,49.0,-113.125
77,30 ,41.0,-118.125
78,27 ,46.0,-110.625
79,25 ,46.0,-103.125
80,28 ,38.0,-114.375
81,27 ,46.0,-109.375
82,28 ,46.0,-111.875
83,32 ,45.0,-119.375
84,28 ,36.0,-113.125
85,27 ,40.0,-106.875
86,28 ,34.0,-115.625
87,28 ,41.0,-114.375
88,27 ,44.0,-105.625
89,28 ,44.0,-115.625
90,28 ,38.0,-115.625
91,32 ,41.0,-120.625
92,32 ,49.0,-119.375
93,32 ,44.0,-121.875
94,27 ,34.0,-110.625
95,27 ,42.0,-113.125
96,32 ,49.0,-121.875
97,25 ,33.0,-109.375
98,28 ,40.0,-115.625
99,30 ,47.0,-118.125
100,30 ,40.0,-118.125
101,30 ,39.0,-119.375
102,33 ,40.0,-124.375
103,27 ,41.0,-108.125
104,27 ,35.0,-111.875
105,33 ,36.0,-123.125
106,32 ,32.0,-119.375
107,30 ,34.0,-119.375
108,27 ,36.0,-106.875
109,30 ,35.0,-118.125
110,35 ,47.0,-124.375
111,27 ,45.0,-111.875
112,27 ,33.0,-111.875
113,28 ,39.0,-113.125
114,27 ,44.0,-106.875
115,28 ,39.0,-111.875
116,33 ,40.0,-123.125
117,33 ,48.0,-124.375
118,25 ,34.0,-106.875
119,32 ,46.0,-119.375
120,24 ,38.0,-101.875
121,33 ,38.0,-123.125
122,27 ,48.0,-104.375
123,25 ,43.0,-103.125
124,25 ,42.0,-103.125
125,24 ,38.0,-103.125
126,32 ,41.0,-123.125
127,30 ,46.0,-116.875
128,30 ,37.0,-120.625
129,30 ,43.0,-120.625
130,28 ,47.0,-114.375
131,27 ,33.0,-110.625
132,25 ,32.0,-109.375
133,28 ,48.0,-114.375
134,27 ,45.0,-108.125
135,35 ,38.0,-124.375
136,28 ,33.0,-113.125
137,27 ,34.0,-111.875
138,30 ,44.0,-116.875
139,28 ,37.0,-113.125
140,30 ,49.0,-116.875
141,25 ,48.0,-101.875
142,27 ,38.0,-111.875
143,33 ,45.0,-124.375
144,32 ,47.0,-119.375
145,27 ,39.0,-110.625
146,28 ,44.0,-111.875
147,27 ,41.0,-106.875
148,30 ,37.0,-116.875
149,30 ,35.0,-119.375
150,28 ,36.0,-114.375
151,33 ,44.0,-124.375
152,32 ,34.0,-121.875
153,30 ,44.0,-119.375
154,27 ,34.0,-113.125
155,27 ,37.0,-110.625
156,27 ,48.0,-106.875
157,30 ,45.0,-115.625
158,33 ,42.0,-124.375
159,27 ,37.0,-108.125
160,33 ,33.0,-124.375
161,33 ,47.0,-121.875
