,ELCC,latitude,longitude
0,3 ,43.0,-119.375
1,25 ,44.0,-108.125
2,13 ,32.0,-113.125
3,33 ,45.0,-124.375
4,0 ,47.0,-121.875
5,8 ,39.0,-123.125
6,3 ,46.0,-121.875
7,5 ,36.0,-111.875
8,38 ,32.0,-114.375
9,14 ,35.0,-110.625
10,16 ,49.0,-108.125
11,7 ,37.0,-113.125
12,2 ,37.0,-119.375
13,3 ,45.0,-114.375
14,7 ,40.0,-113.125
15,22 ,37.0,-110.625
16,5 ,43.0,-109.375
17,3 ,41.0,-106.875
18,5 ,46.0,-123.125
19,3 ,47.0,-111.875
20,74 ,33.0,-121.875
21,5 ,42.0,-123.125
22,0 ,46.0,-118.125
23,5 ,41.0,-124.375
24,2 ,40.0,-123.125
25,75 ,35.0,-123.125
26,16 ,48.0,-106.875
27,0 ,47.0,-113.125
28,35 ,32.0,-108.125
29,8 ,49.0,-110.625
30,3 ,44.0,-114.375
31,11 ,39.0,-121.875
32,0 ,46.0,-119.375
33,2 ,34.0,-118.125
34,47 ,38.0,-124.375
35,0 ,49.0,-114.375
36,0 ,47.0,-114.375
37,2 ,39.0,-115.625
38,3 ,38.0,-111.875
39,0 ,40.0,-119.375
40,10 ,37.0,-109.375
41,8 ,44.0,-118.125
42,7 ,33.0,-115.625
43,2 ,44.0,-123.125
44,22 ,34.0,-106.875
45,3 ,43.0,-121.875
46,8 ,43.0,-120.625
47,0 ,40.0,-121.875
48,60 ,35.0,-124.375
49,2 ,45.0,-109.375
50,3 ,35.0,-116.875
51,7 ,36.0,-113.125
52,13 ,32.0,-118.125
53,0 ,49.0,-119.375
54,3 ,40.0,-109.375
55,7 ,47.0,-120.625
56,0 ,41.0,-113.125
57,0 ,45.0,-111.875
58,27 ,33.0,-109.375
59,46 ,32.0,-119.375
60,14 ,47.0,-124.375
61,19 ,46.0,-124.375
62,21 ,42.0,-113.125
63,3 ,37.0,-106.875
64,11 ,41.0,-108.125
65,0 ,39.0,-118.125
66,0 ,43.0,-118.125
67,2 ,38.0,-114.375
68,0 ,45.0,-115.625
69,3 ,43.0,-111.875
70,2 ,42.0,-111.875
71,8 ,35.0,-111.875
72,0 ,49.0,-124.375
73,5 ,46.0,-108.125
74,17 ,34.0,-108.125
75,10 ,37.0,-121.875
76,13 ,45.0,-120.625
77,28 ,33.0,-113.125
78,19 ,49.0,-106.875
79,2 ,42.0,-116.875
80,75 ,34.0,-121.875
81,0 ,47.0,-123.125
82,28 ,44.0,-120.625
83,2 ,36.0,-106.875
84,13 ,45.0,-108.125
85,2 ,43.0,-116.875
86,71 ,33.0,-120.625
87,55 ,37.0,-124.375
88,5 ,36.0,-109.375
89,0 ,39.0,-116.875
90,2 ,42.0,-124.375
91,8 ,44.0,-116.875
92,21 ,35.0,-118.125
93,14 ,42.0,-109.375
94,2 ,40.0,-108.125
95,10 ,45.0,-119.375
96,22 ,38.0,-109.375
97,0 ,41.0,-111.875
98,0 ,39.0,-114.375
99,21 ,39.0,-109.375
100,67 ,32.0,-120.625
101,5 ,32.0,-116.875
102,13 ,38.0,-115.625
103,17 ,32.0,-109.375
104,7 ,43.0,-108.125
105,3 ,41.0,-121.875
106,0 ,46.0,-113.125
107,19 ,34.0,-114.375
108,21 ,37.0,-111.875
109,14 ,34.0,-111.875
110,0 ,49.0,-121.875
111,3 ,41.0,-119.375
112,72 ,33.0,-123.125
113,19 ,38.0,-120.625
114,7 ,37.0,-108.125
115,2 ,43.0,-106.875
116,0 ,44.0,-109.375
117,5 ,36.0,-108.125
118,0 ,48.0,-124.375
119,5 ,34.0,-110.625
120,5 ,38.0,-116.875
121,3 ,47.0,-110.625
122,7 ,43.0,-124.375
123,0 ,48.0,-118.125
124,19 ,33.0,-114.375
125,61 ,37.0,-123.125
126,11 ,45.0,-106.875
127,8 ,33.0,-108.125
128,22 ,40.0,-124.375
129,10 ,47.0,-109.375
130,28 ,39.0,-110.625
131,0 ,46.0,-115.625
132,0 ,49.0,-123.125
133,0 ,40.0,-106.875
134,2 ,40.0,-116.875
135,27 ,36.0,-120.625
136,11 ,41.0,-120.625
137,5 ,48.0,-110.625
138,5 ,41.0,-110.625
139,7 ,42.0,-108.125
140,0 ,39.0,-106.875
141,2 ,46.0,-116.875
142,5 ,45.0,-123.125
143,72 ,32.0,-121.875
144,0 ,49.0,-115.625
145,5 ,45.0,-118.125
146,2 ,34.0,-109.375
147,55 ,33.0,-124.375
148,3 ,38.0,-108.125
149,2 ,37.0,-114.375
150,0 ,40.0,-118.125
151,0 ,38.0,-119.375
152,0 ,47.0,-116.875
153,0 ,48.0,-120.625
154,60 ,34.0,-124.375
155,2 ,49.0,-118.125
156,0 ,45.0,-110.625
157,10 ,48.0,-109.375
158,3 ,39.0,-108.125
159,19 ,33.0,-110.625
160,13 ,32.0,-110.625
161,0 ,36.0,-116.875
162,0 ,48.0,-113.125
163,3 ,39.0,-119.375
164,5 ,42.0,-119.375
165,11 ,49.0,-109.375
166,0 ,48.0,-121.875
167,8 ,43.0,-123.125
168,0 ,48.0,-116.875
169,2 ,45.0,-113.125
170,50 ,38.0,-121.875
171,13 ,32.0,-115.625
172,71 ,34.0,-120.625
173,44 ,35.0,-120.625
174,32 ,33.0,-111.875
