,ELCC,latitude,longitude
0,0 ,35.0,-108.125
1,2 ,45.0,-110.625
2,2 ,43.0,-113.125
3,7 ,38.0,-123.125
4,7 ,43.0,-123.125
5,5 ,48.0,-118.125
6,3 ,46.0,-115.625
7,5 ,43.0,-120.625
8,2 ,45.0,-111.875
9,2 ,36.0,-109.375
10,5 ,38.0,-120.625
11,7 ,46.0,-121.875
12,0 ,49.0,-106.875
13,2 ,40.0,-110.625
14,3 ,46.0,-116.875
15,2 ,41.0,-111.875
16,2 ,38.0,-115.625
17,5 ,33.0,-121.875
18,2 ,35.0,-109.375
19,2 ,40.0,-108.125
20,2 ,41.0,-109.375
21,0 ,45.0,-106.875
22,0 ,37.0,-106.875
23,7 ,48.0,-123.125
24,2 ,35.0,-115.625
25,2 ,48.0,-111.875
26,2 ,48.0,-110.625
27,0 ,38.0,-106.875
28,0 ,44.0,-106.875
29,8 ,47.0,-124.375
30,2 ,46.0,-108.125
31,2 ,46.0,-110.625
32,2 ,44.0,-108.125
33,3 ,33.0,-119.375
34,2 ,36.0,-114.375
35,2 ,39.0,-113.125
36,0 ,48.0,-106.875
37,3 ,38.0,-116.875
38,5 ,40.0,-119.375
39,3 ,45.0,-114.375
40,2 ,33.0,-113.125
41,2 ,32.0,-116.875
42,3 ,35.0,-116.875
43,7 ,48.0,-121.875
44,2 ,44.0,-109.375
45,2 ,34.0,-116.875
46,2 ,41.0,-110.625
47,3 ,36.0,-116.875
48,3 ,46.0,-113.125
49,5 ,46.0,-120.625
50,5 ,39.0,-121.875
51,2 ,43.0,-110.625
52,7 ,34.0,-124.375
53,2 ,44.0,-113.125
54,3 ,35.0,-118.125
55,0 ,35.0,-106.875
56,2 ,49.0,-114.375
57,5 ,35.0,-120.625
58,2 ,32.0,-113.125
59,2 ,41.0,-113.125
60,5 ,40.0,-121.875
61,3 ,40.0,-115.625
62,5 ,42.0,-119.375
63,3 ,34.0,-119.375
64,8 ,40.0,-124.375
65,3 ,44.0,-115.625
66,7 ,46.0,-123.125
67,2 ,38.0,-109.375
68,2 ,39.0,-108.125
69,2 ,33.0,-114.375
70,0 ,43.0,-106.875
71,7 ,45.0,-121.875
72,7 ,49.0,-124.375
73,7 ,43.0,-121.875
74,0 ,41.0,-106.875
75,2 ,38.0,-110.625
76,2 ,33.0,-115.625
77,0 ,34.0,-106.875
78,0 ,33.0,-110.625
79,7 ,42.0,-123.125
80,3 ,32.0,-118.125
81,2 ,33.0,-111.875
82,7 ,37.0,-123.125
83,3 ,45.0,-116.875
84,3 ,37.0,-118.125
85,5 ,47.0,-120.625
86,2 ,37.0,-114.375
87,2 ,49.0,-111.875
88,8 ,45.0,-124.375
89,5 ,42.0,-120.625
90,5 ,32.0,-121.875
91,0 ,36.0,-108.125
92,0 ,47.0,-106.875
93,2 ,38.0,-114.375
94,5 ,41.0,-119.375
95,0 ,32.0,-109.375
96,7 ,49.0,-121.875
97,2 ,35.0,-113.125
98,2 ,40.0,-111.875
99,3 ,46.0,-114.375
100,5 ,42.0,-118.125
101,2 ,43.0,-109.375
102,2 ,37.0,-109.375
103,3 ,39.0,-118.125
104,3 ,36.0,-121.875
105,5 ,45.0,-119.375
106,5 ,49.0,-120.625
107,2 ,45.0,-108.125
108,2 ,49.0,-109.375
109,2 ,37.0,-111.875
110,2 ,45.0,-109.375
111,0 ,46.0,-106.875
112,3 ,42.0,-114.375
113,7 ,42.0,-121.875
114,5 ,49.0,-118.125
115,2 ,36.0,-115.625
116,7 ,37.0,-124.375
117,2 ,42.0,-110.625
118,2 ,40.0,-114.375
119,7 ,34.0,-123.125
120,5 ,32.0,-120.625
121,3 ,48.0,-114.375
122,0 ,33.0,-108.125
123,2 ,39.0,-111.875
124,7 ,38.0,-124.375
125,2 ,42.0,-109.375
126,8 ,41.0,-124.375
127,5 ,45.0,-120.625
128,5 ,39.0,-120.625
129,2 ,37.0,-113.125
130,5 ,40.0,-120.625
131,5 ,43.0,-119.375
132,3 ,42.0,-115.625
133,7 ,47.0,-123.125
134,2 ,32.0,-114.375
135,3 ,39.0,-119.375
136,5 ,49.0,-119.375
137,3 ,48.0,-115.625
138,3 ,35.0,-119.375
139,2 ,36.0,-113.125
140,7 ,48.0,-124.375
141,3 ,45.0,-115.625
142,7 ,33.0,-124.375
143,2 ,41.0,-108.125
144,0 ,37.0,-108.125
145,7 ,44.0,-121.875
146,2 ,42.0,-108.125
147,5 ,37.0,-121.875
148,2 ,40.0,-109.375
149,3 ,40.0,-118.125
150,2 ,39.0,-115.625
151,2 ,47.0,-113.125
152,5 ,34.0,-121.875
153,5 ,41.0,-118.125
154,5 ,48.0,-120.625
155,2 ,36.0,-110.625
156,5 ,47.0,-119.375
157,2 ,43.0,-108.125
158,2 ,49.0,-110.625
159,3 ,48.0,-113.125
160,7 ,44.0,-123.125
161,2 ,32.0,-111.875
162,2 ,34.0,-115.625
163,7 ,43.0,-124.375
164,0 ,32.0,-106.875
165,7 ,40.0,-123.125
166,3 ,34.0,-118.125
167,5 ,44.0,-120.625
168,2 ,33.0,-116.875
169,3 ,41.0,-115.625
170,7 ,47.0,-121.875
171,3 ,32.0,-119.375
172,8 ,44.0,-124.375
173,2 ,49.0,-108.125
174,3 ,37.0,-119.375
175,2 ,39.0,-114.375
176,2 ,37.0,-110.625
177,8 ,46.0,-124.375
178,5 ,38.0,-119.375
179,5 ,33.0,-120.625
180,3 ,43.0,-116.875
181,0 ,32.0,-110.625
182,2 ,34.0,-111.875
183,0 ,34.0,-108.125
184,2 ,47.0,-108.125
185,7 ,35.0,-123.125
186,0 ,33.0,-109.375
187,2 ,36.0,-111.875
188,7 ,45.0,-123.125
189,2 ,44.0,-110.625
190,0 ,34.0,-110.625
191,7 ,39.0,-123.125
192,2 ,45.0,-113.125
193,5 ,34.0,-120.625
194,2 ,46.0,-109.375
195,3 ,42.0,-116.875
196,3 ,38.0,-118.125
197,3 ,40.0,-116.875
198,7 ,32.0,-123.125
199,2 ,38.0,-113.125
200,0 ,33.0,-106.875
201,8 ,42.0,-124.375
202,2 ,40.0,-113.125
203,3 ,43.0,-115.625
204,2 ,41.0,-114.375
205,2 ,49.0,-113.125
206,5 ,38.0,-121.875
207,7 ,36.0,-123.125
208,7 ,49.0,-123.125
209,2 ,44.0,-111.875
210,7 ,32.0,-124.375
211,5 ,45.0,-118.125
212,3 ,44.0,-116.875
213,0 ,36.0,-106.875
214,5 ,35.0,-121.875
215,2 ,33.0,-118.125
216,0 ,39.0,-106.875
217,3 ,47.0,-115.625
218,8 ,39.0,-124.375
219,2 ,46.0,-111.875
220,7 ,36.0,-124.375
221,5 ,41.0,-121.875
222,5 ,46.0,-119.375
223,0 ,42.0,-106.875
224,5 ,43.0,-118.125
225,3 ,36.0,-120.625
226,3 ,36.0,-118.125
227,3 ,39.0,-116.875
228,2 ,37.0,-115.625
229,5 ,46.0,-118.125
230,2 ,48.0,-108.125
231,0 ,40.0,-106.875
232,3 ,49.0,-115.625
233,2 ,39.0,-109.375
234,2 ,35.0,-114.375
235,2 ,48.0,-109.375
236,2 ,39.0,-110.625
237,5 ,41.0,-120.625
238,2 ,42.0,-113.125
239,5 ,33.0,-123.125
240,2 ,47.0,-110.625
241,3 ,44.0,-114.375
242,2 ,38.0,-108.125
243,3 ,36.0,-119.375
244,5 ,44.0,-119.375
245,2 ,35.0,-111.875
246,3 ,48.0,-116.875
247,2 ,34.0,-113.125
248,2 ,43.0,-111.875
249,5 ,48.0,-119.375
250,3 ,37.0,-116.875
251,3 ,47.0,-114.375
252,3 ,37.0,-120.625
253,2 ,35.0,-110.625
254,7 ,35.0,-124.375
255,0 ,32.0,-115.625
256,2 ,42.0,-111.875
257,0 ,32.0,-108.125
258,2 ,47.0,-109.375
259,2 ,38.0,-111.875
260,3 ,43.0,-114.375
261,0 ,34.0,-109.375
262,2 ,34.0,-114.375
263,3 ,47.0,-116.875
264,3 ,41.0,-116.875
265,4 ,49.0,-116.875
266,5 ,44.0,-118.125
267,5 ,47.0,-118.125
268,2 ,47.0,-111.875
269,7 ,41.0,-123.125
