,ELCC,latitude,longitude
0,28 ,45.0,-121.875
1,22 ,46.0,-111.875
2,32 ,35.0,-121.875
3,14 ,35.0,-106.875
4,17 ,45.0,-106.875
5,28 ,42.0,-119.375
6,27 ,36.0,-118.125
7,21 ,49.0,-110.625
8,30 ,33.0,-120.625
9,21 ,49.0,-114.375
10,24 ,35.0,-115.625
11,17 ,47.0,-106.875
12,27 ,37.0,-120.625
13,16 ,34.0,-111.875
14,14 ,35.0,-110.625
15,27 ,39.0,-118.125
16,28 ,44.0,-119.375
17,16 ,38.0,-111.875
18,24 ,43.0,-113.125
19,22 ,34.0,-114.375
20,14 ,38.0,-109.375
21,11 ,34.0,-109.375
22,22 ,32.0,-114.375
23,21 ,42.0,-109.375
24,24 ,47.0,-121.875
25,24 ,43.0,-114.375
26,21 ,49.0,-113.125
27,13 ,36.0,-109.375
28,17 ,41.0,-109.375
29,30 ,42.0,-120.625
30,28 ,34.0,-119.375
31,25 ,47.0,-116.875
32,27 ,35.0,-118.125
33,24 ,47.0,-115.625
34,25 ,45.0,-115.625
35,13 ,32.0,-109.375
36,24 ,43.0,-111.875
37,24 ,49.0,-116.875
38,33 ,36.0,-124.375
39,25 ,40.0,-115.625
40,28 ,45.0,-119.375
41,27 ,32.0,-119.375
42,21 ,47.0,-109.375
43,17 ,35.0,-113.125
44,19 ,49.0,-111.875
45,30 ,42.0,-121.875
46,21 ,47.0,-110.625
47,21 ,46.0,-109.375
48,21 ,48.0,-110.625
49,28 ,41.0,-119.375
50,19 ,42.0,-108.125
51,24 ,49.0,-121.875
52,13 ,35.0,-109.375
53,14 ,33.0,-109.375
54,33 ,38.0,-123.125
55,25 ,37.0,-116.875
56,27 ,45.0,-118.125
57,19 ,43.0,-108.125
58,19 ,39.0,-111.875
59,21 ,48.0,-111.875
60,27 ,37.0,-118.125
61,14 ,35.0,-111.875
62,32 ,32.0,-121.875
63,30 ,41.0,-120.625
64,24 ,42.0,-113.125
65,30 ,42.0,-123.125
66,27 ,36.0,-119.375
67,28 ,35.0,-119.375
68,27 ,46.0,-119.375
69,24 ,45.0,-114.375
70,32 ,34.0,-124.375
71,14 ,37.0,-108.125
72,16 ,41.0,-106.875
73,27 ,47.0,-119.375
74,32 ,33.0,-121.875
75,24 ,48.0,-116.875
76,27 ,41.0,-118.125
77,22 ,45.0,-110.625
78,22 ,42.0,-110.625
79,22 ,44.0,-115.625
80,13 ,38.0,-108.125
81,30 ,44.0,-120.625
82,30 ,43.0,-124.375
83,30 ,47.0,-124.375
84,21 ,44.0,-109.375
85,27 ,46.0,-121.875
86,30 ,40.0,-120.625
87,24 ,40.0,-114.375
88,30 ,40.0,-121.875
89,27 ,48.0,-123.125
90,22 ,46.0,-110.625
91,28 ,39.0,-119.375
92,22 ,38.0,-114.375
93,13 ,34.0,-108.125
94,22 ,33.0,-115.625
95,19 ,45.0,-108.125
96,19 ,47.0,-108.125
97,25 ,46.0,-116.875
98,19 ,37.0,-113.125
99,21 ,45.0,-109.375
100,27 ,42.0,-118.125
101,19 ,34.0,-113.125
102,19 ,44.0,-106.875
103,19 ,48.0,-108.125
104,22 ,40.0,-111.875
105,27 ,33.0,-118.125
106,14 ,34.0,-110.625
107,32 ,35.0,-123.125
108,17 ,39.0,-110.625
109,17 ,49.0,-106.875
110,22 ,44.0,-110.625
111,27 ,44.0,-118.125
112,30 ,44.0,-124.375
113,19 ,32.0,-113.125
114,27 ,46.0,-123.125
115,27 ,40.0,-118.125
116,25 ,44.0,-116.875
117,30 ,35.0,-120.625
118,27 ,38.0,-116.875
119,17 ,40.0,-108.125
120,28 ,45.0,-123.125
121,32 ,33.0,-124.375
122,35 ,40.0,-124.375
123,17 ,40.0,-110.625
124,30 ,43.0,-121.875
125,14 ,36.0,-108.125
126,21 ,32.0,-115.625
127,17 ,49.0,-108.125
128,24 ,36.0,-115.625
129,30 ,32.0,-120.625
130,17 ,33.0,-111.875
131,14 ,40.0,-106.875
132,28 ,47.0,-120.625
133,30 ,38.0,-119.375
134,17 ,40.0,-109.375
135,28 ,33.0,-119.375
136,30 ,35.0,-124.375
137,33 ,42.0,-124.375
138,28 ,43.0,-119.375
139,24 ,49.0,-119.375
140,16 ,39.0,-108.125
141,24 ,40.0,-113.125
142,24 ,46.0,-115.625
143,25 ,39.0,-115.625
144,32 ,32.0,-123.125
145,21 ,48.0,-109.375
146,27 ,43.0,-116.875
147,22 ,44.0,-111.875
148,25 ,35.0,-116.875
149,16 ,36.0,-113.125
150,28 ,45.0,-124.375
151,28 ,46.0,-120.625
152,19 ,46.0,-108.125
153,14 ,36.0,-111.875
154,30 ,37.0,-121.875
155,22 ,48.0,-114.375
156,33 ,41.0,-124.375
157,24 ,48.0,-115.625
158,27 ,49.0,-124.375
159,30 ,34.0,-120.625
160,14 ,37.0,-106.875
161,28 ,44.0,-123.125
162,21 ,43.0,-109.375
163,24 ,47.0,-114.375
164,14 ,34.0,-106.875
165,27 ,47.0,-118.125
166,25 ,41.0,-115.625
167,30 ,41.0,-121.875
168,11 ,38.0,-106.875
169,27 ,42.0,-116.875
170,22 ,45.0,-111.875
171,21 ,43.0,-110.625
172,21 ,38.0,-113.125
173,17 ,42.0,-106.875
174,25 ,36.0,-116.875
175,13 ,35.0,-108.125
176,24 ,45.0,-113.125
177,16 ,38.0,-110.625
178,22 ,49.0,-118.125
179,25 ,48.0,-118.125
180,32 ,39.0,-123.125
181,24 ,32.0,-116.875
182,21 ,41.0,-110.625
183,27 ,36.0,-120.625
184,27 ,49.0,-123.125
185,27 ,45.0,-116.875
186,16 ,33.0,-110.625
187,22 ,39.0,-113.125
188,14 ,32.0,-106.875
189,27 ,38.0,-118.125
190,24 ,44.0,-113.125
191,32 ,33.0,-123.125
192,17 ,43.0,-106.875
193,16 ,36.0,-110.625
194,32 ,34.0,-121.875
195,27 ,48.0,-119.375
196,27 ,39.0,-116.875
197,22 ,48.0,-113.125
198,25 ,43.0,-115.625
199,17 ,46.0,-106.875
200,22 ,42.0,-111.875
201,11 ,33.0,-108.125
202,30 ,43.0,-123.125
203,25 ,48.0,-121.875
204,28 ,45.0,-120.625
205,24 ,46.0,-114.375
206,13 ,39.0,-106.875
207,28 ,37.0,-119.375
208,28 ,48.0,-124.375
209,22 ,37.0,-114.375
210,17 ,48.0,-106.875
211,35 ,38.0,-124.375
212,19 ,49.0,-109.375
213,17 ,41.0,-108.125
214,27 ,47.0,-123.125
215,22 ,47.0,-113.125
216,24 ,34.0,-115.625
217,25 ,44.0,-114.375
218,22 ,33.0,-114.375
219,22 ,47.0,-111.875
220,24 ,41.0,-113.125
221,22 ,41.0,-111.875
222,16 ,32.0,-111.875
223,33 ,34.0,-123.125
224,30 ,39.0,-120.625
225,14 ,36.0,-106.875
226,33 ,37.0,-123.125
227,22 ,49.0,-115.625
228,33 ,37.0,-124.375
229,24 ,33.0,-116.875
230,27 ,41.0,-116.875
231,25 ,42.0,-115.625
232,14 ,37.0,-110.625
233,27 ,46.0,-118.125
234,16 ,37.0,-109.375
235,19 ,44.0,-108.125
236,14 ,33.0,-106.875
237,30 ,38.0,-121.875
238,24 ,39.0,-114.375
239,13 ,32.0,-110.625
240,28 ,38.0,-120.625
241,17 ,39.0,-109.375
242,28 ,46.0,-124.375
243,21 ,35.0,-114.375
244,27 ,34.0,-118.125
245,25 ,48.0,-120.625
246,28 ,36.0,-121.875
247,35 ,39.0,-124.375
248,22 ,36.0,-114.375
249,32 ,32.0,-124.375
250,27 ,32.0,-118.125
251,27 ,40.0,-116.875
252,30 ,40.0,-123.125
253,25 ,42.0,-114.375
254,30 ,44.0,-121.875
255,16 ,37.0,-111.875
256,25 ,49.0,-120.625
257,24 ,34.0,-116.875
258,14 ,32.0,-108.125
259,28 ,40.0,-119.375
260,32 ,41.0,-123.125
261,30 ,39.0,-121.875
262,30 ,43.0,-120.625
263,25 ,38.0,-115.625
264,24 ,41.0,-114.375
265,24 ,37.0,-115.625
266,32 ,36.0,-123.125
267,21 ,33.0,-113.125
268,24 ,46.0,-113.125
269,27 ,43.0,-118.125
