,ELCC,latitude,longitude
0,33 ,37.0,-111.875
1,42 ,35.0,-119.375
2,42 ,40.0,-118.125
3,47 ,38.0,-121.875
4,33 ,36.0,-115.625
5,33 ,46.0,-110.625
6,41 ,42.0,-116.875
7,28 ,45.0,-109.375
8,30 ,38.0,-103.125
9,39 ,43.0,-114.375
10,38 ,32.0,-114.375
11,28 ,32.0,-106.875
12,46 ,43.0,-123.125
13,35 ,40.0,-114.375
14,42 ,41.0,-118.125
15,35 ,37.0,-115.625
16,42 ,47.0,-119.375
17,42 ,46.0,-119.375
18,33 ,42.0,-109.375
19,49 ,32.0,-121.875
20,32 ,37.0,-109.375
21,27 ,33.0,-109.375
22,44 ,44.0,-123.125
23,50 ,35.0,-121.875
24,25 ,34.0,-110.625
25,28 ,41.0,-106.875
26,41 ,46.0,-116.875
27,30 ,36.0,-104.375
28,47 ,32.0,-120.625
29,41 ,38.0,-116.875
30,32 ,47.0,-108.125
31,33 ,35.0,-115.625
32,27 ,32.0,-110.625
33,41 ,44.0,-114.375
34,30 ,32.0,-111.875
35,46 ,44.0,-120.625
36,52 ,38.0,-123.125
37,28 ,49.0,-101.875
38,32 ,35.0,-104.375
39,30 ,35.0,-103.125
40,27 ,39.0,-111.875
41,36 ,43.0,-110.625
42,52 ,37.0,-123.125
43,39 ,43.0,-115.625
44,46 ,43.0,-120.625
45,28 ,35.0,-113.125
46,28 ,37.0,-101.875
47,41 ,47.0,-115.625
48,28 ,35.0,-109.375
49,30 ,41.0,-103.125
50,28 ,47.0,-101.875
51,32 ,40.0,-111.875
52,32 ,40.0,-108.125
53,30 ,36.0,-103.125
54,25 ,38.0,-108.125
55,39 ,36.0,-116.875
56,38 ,41.0,-113.125
57,27 ,41.0,-109.375
58,49 ,45.0,-124.375
59,44 ,38.0,-120.625
60,28 ,41.0,-104.375
61,44 ,48.0,-123.125
62,30 ,34.0,-111.875
63,28 ,34.0,-108.125
64,46 ,42.0,-120.625
65,41 ,43.0,-116.875
66,36 ,46.0,-113.125
67,28 ,42.0,-101.875
68,44 ,37.0,-120.625
69,35 ,39.0,-115.625
70,47 ,37.0,-121.875
71,33 ,49.0,-108.125
72,44 ,33.0,-118.125
73,30 ,33.0,-103.125
74,44 ,45.0,-121.875
75,46 ,46.0,-120.625
76,28 ,48.0,-101.875
77,46 ,46.0,-123.125
78,30 ,45.0,-106.875
79,32 ,39.0,-103.125
80,30 ,39.0,-108.125
81,33 ,35.0,-106.875
82,30 ,33.0,-111.875
83,39 ,44.0,-113.125
84,28 ,46.0,-103.125
85,44 ,32.0,-118.125
86,39 ,49.0,-118.125
87,52 ,34.0,-124.375
88,36 ,42.0,-113.125
89,27 ,44.0,-101.875
90,32 ,33.0,-106.875
91,30 ,39.0,-110.625
92,28 ,32.0,-103.125
93,44 ,44.0,-119.375
94,46 ,33.0,-119.375
95,30 ,32.0,-108.125
96,27 ,45.0,-101.875
97,38 ,49.0,-111.875
98,53 ,39.0,-124.375
99,28 ,35.0,-101.875
100,46 ,45.0,-123.125
101,30 ,47.0,-105.625
102,44 ,39.0,-120.625
103,38 ,45.0,-114.375
104,46 ,40.0,-121.875
105,42 ,49.0,-119.375
106,28 ,41.0,-101.875
107,30 ,39.0,-109.375
108,33 ,35.0,-114.375
109,39 ,49.0,-113.125
110,35 ,48.0,-110.625
111,39 ,36.0,-118.125
112,46 ,35.0,-120.625
113,52 ,36.0,-123.125
114,50 ,32.0,-123.125
115,25 ,38.0,-106.875
116,27 ,32.0,-101.875
117,28 ,32.0,-104.375
118,44 ,48.0,-124.375
119,33 ,45.0,-111.875
120,30 ,40.0,-106.875
121,30 ,33.0,-104.375
122,50 ,34.0,-121.875
123,32 ,34.0,-106.875
124,27 ,33.0,-105.625
125,39 ,48.0,-116.875
126,42 ,49.0,-120.625
127,25 ,33.0,-108.125
128,30 ,44.0,-105.625
129,35 ,41.0,-111.875
130,47 ,34.0,-120.625
131,44 ,36.0,-120.625
132,32 ,36.0,-114.375
133,42 ,46.0,-118.125
134,42 ,48.0,-120.625
135,30 ,46.0,-104.375
136,42 ,49.0,-124.375
137,30 ,40.0,-109.375
138,35 ,49.0,-109.375
139,38 ,49.0,-121.875
140,30 ,40.0,-104.375
141,30 ,46.0,-106.875
142,35 ,38.0,-115.625
143,30 ,34.0,-113.125
144,38 ,46.0,-114.375
145,30 ,35.0,-108.125
146,30 ,41.0,-108.125
147,28 ,32.0,-109.375
148,49 ,44.0,-124.375
149,47 ,47.0,-124.375
150,32 ,49.0,-105.625
151,28 ,32.0,-105.625
152,41 ,35.0,-118.125
153,36 ,47.0,-113.125
154,52 ,36.0,-124.375
155,30 ,42.0,-106.875
156,39 ,49.0,-116.875
157,32 ,34.0,-104.375
158,42 ,48.0,-119.375
159,38 ,40.0,-115.625
160,30 ,47.0,-106.875
161,41 ,37.0,-116.875
162,38 ,49.0,-114.375
163,28 ,42.0,-104.375
164,41 ,49.0,-123.125
165,28 ,36.0,-109.375
166,41 ,37.0,-118.125
167,33 ,47.0,-110.625
168,29 ,38.0,-101.875
169,27 ,46.0,-101.875
170,41 ,48.0,-115.625
171,44 ,45.0,-119.375
172,39 ,39.0,-119.375
173,46 ,43.0,-121.875
174,28 ,37.0,-106.875
175,27 ,35.0,-111.875
176,47 ,42.0,-121.875
177,25 ,39.0,-106.875
178,30 ,36.0,-106.875
179,39 ,48.0,-113.125
180,32 ,47.0,-109.375
181,42 ,44.0,-118.125
182,45 ,41.0,-121.875
183,28 ,34.0,-101.875
184,46 ,34.0,-119.375
185,38 ,42.0,-114.375
186,33 ,42.0,-110.625
187,30 ,47.0,-104.375
188,35 ,47.0,-111.875
189,44 ,44.0,-121.875
190,30 ,45.0,-103.125
191,32 ,42.0,-108.125
192,39 ,44.0,-115.625
193,33 ,49.0,-106.875
194,30 ,33.0,-110.625
195,33 ,37.0,-114.375
196,39 ,48.0,-114.375
197,46 ,41.0,-120.625
198,42 ,47.0,-123.125
199,35 ,34.0,-116.875
200,50 ,32.0,-124.375
201,33 ,39.0,-114.375
202,33 ,48.0,-108.125
203,38 ,47.0,-114.375
204,38 ,35.0,-116.875
205,30 ,36.0,-111.875
206,41 ,38.0,-118.125
207,49 ,33.0,-120.625
208,35 ,32.0,-113.125
209,41 ,41.0,-115.625
210,28 ,41.0,-110.625
211,30 ,38.0,-113.125
212,30 ,48.0,-104.375
213,41 ,45.0,-118.125
214,28 ,36.0,-105.625
215,28 ,40.0,-101.875
216,41 ,47.0,-116.875
217,25 ,40.0,-105.625
218,30 ,39.0,-101.875
219,50 ,42.0,-124.375
220,32 ,49.0,-104.375
221,30 ,43.0,-104.375
222,28 ,36.0,-101.875
223,46 ,40.0,-123.125
224,44 ,47.0,-120.625
225,35 ,34.0,-115.625
226,33 ,34.0,-114.375
227,32 ,36.0,-113.125
228,49 ,43.0,-124.375
229,30 ,40.0,-103.125
230,30 ,45.0,-104.375
231,46 ,41.0,-119.375
232,28 ,48.0,-103.125
233,33 ,39.0,-113.125
234,36 ,49.0,-110.625
235,32 ,46.0,-111.875
236,35 ,33.0,-113.125
237,30 ,45.0,-108.125
238,30 ,37.0,-105.625
239,32 ,43.0,-108.125
240,32 ,38.0,-104.375
241,27 ,44.0,-103.125
242,32 ,37.0,-113.125
243,27 ,38.0,-111.875
244,42 ,40.0,-119.375
245,30 ,39.0,-104.375
246,30 ,44.0,-106.875
247,30 ,47.0,-103.125
248,41 ,36.0,-119.375
249,44 ,42.0,-118.125
250,41 ,48.0,-121.875
251,41 ,44.0,-116.875
252,42 ,39.0,-118.125
253,50 ,34.0,-123.125
254,36 ,45.0,-113.125
255,30 ,42.0,-103.125
256,38 ,32.0,-116.875
257,30 ,34.0,-103.125
258,30 ,37.0,-103.125
259,38 ,43.0,-111.875
260,52 ,40.0,-124.375
261,52 ,37.0,-124.375
262,25 ,39.0,-105.625
263,39 ,43.0,-113.125
264,28 ,44.0,-104.375
265,42 ,43.0,-118.125
266,52 ,38.0,-124.375
267,41 ,42.0,-115.625
268,46 ,39.0,-123.125
269,27 ,33.0,-101.875
270,35 ,33.0,-115.625
271,30 ,43.0,-105.625
272,28 ,49.0,-103.125
273,39 ,46.0,-115.625
274,39 ,41.0,-114.375
275,32 ,37.0,-110.625
276,27 ,43.0,-101.875
277,28 ,40.0,-110.625
278,42 ,37.0,-119.375
279,42 ,34.0,-118.125
280,30 ,35.0,-110.625
281,30 ,35.0,-105.625
282,28 ,42.0,-105.625
283,25 ,34.0,-109.375
284,32 ,48.0,-105.625
285,32 ,48.0,-106.875
286,30 ,37.0,-108.125
287,30 ,43.0,-106.875
288,32 ,46.0,-109.375
289,28 ,38.0,-105.625
290,30 ,36.0,-110.625
291,36 ,44.0,-110.625
292,52 ,41.0,-124.375
293,39 ,39.0,-116.875
294,30 ,34.0,-105.625
295,44 ,47.0,-121.875
296,49 ,46.0,-124.375
297,42 ,47.0,-118.125
298,30 ,37.0,-104.375
299,36 ,48.0,-111.875
300,32 ,45.0,-110.625
301,38 ,44.0,-111.875
302,32 ,38.0,-110.625
303,28 ,38.0,-109.375
304,41 ,38.0,-119.375
305,35 ,38.0,-114.375
306,46 ,32.0,-119.375
307,36 ,42.0,-111.875
308,32 ,43.0,-109.375
309,51 ,35.0,-123.125
310,32 ,32.0,-115.625
311,42 ,41.0,-116.875
312,46 ,42.0,-123.125
313,36 ,33.0,-116.875
314,35 ,48.0,-109.375
315,41 ,40.0,-116.875
316,41 ,48.0,-118.125
317,38 ,49.0,-115.625
318,50 ,36.0,-121.875
319,30 ,46.0,-108.125
320,45 ,40.0,-120.625
321,30 ,44.0,-108.125
322,33 ,40.0,-113.125
323,36 ,33.0,-114.375
324,44 ,43.0,-119.375
325,50 ,33.0,-123.125
326,46 ,39.0,-121.875
327,32 ,36.0,-108.125
328,33 ,44.0,-109.375
329,50 ,33.0,-121.875
330,44 ,46.0,-121.875
331,28 ,43.0,-103.125
332,42 ,45.0,-116.875
333,46 ,45.0,-120.625
334,52 ,35.0,-124.375
335,46 ,42.0,-119.375
336,41 ,45.0,-115.625
337,27 ,41.0,-105.625
338,30 ,45.0,-105.625
339,52 ,33.0,-124.375
340,46 ,41.0,-123.125
341,30 ,46.0,-105.625
