,ELCC,latitude,longitude
0,8 ,36.0,-119.375
1,10 ,35.0,-116.875
2,50 ,38.0,-123.125
3,3 ,37.0,-108.125
4,19 ,49.0,-105.625
5,22 ,48.0,-104.375
6,14 ,44.0,-103.125
7,5 ,33.0,-111.875
8,8 ,36.0,-114.375
9,8 ,35.0,-114.375
10,19 ,48.0,-103.125
11,3 ,35.0,-110.625
12,50 ,32.0,-123.125
13,5 ,45.0,-123.125
14,2 ,40.0,-123.125
15,11 ,47.0,-110.625
16,11 ,41.0,-121.875
17,5 ,41.0,-114.375
18,16 ,34.0,-104.375
19,2 ,37.0,-106.875
20,3 ,33.0,-116.875
21,7 ,36.0,-120.625
22,16 ,33.0,-103.125
23,5 ,45.0,-114.375
24,2 ,37.0,-109.375
25,8 ,42.0,-113.125
26,2 ,49.0,-116.875
27,5 ,39.0,-123.125
28,7 ,45.0,-106.875
29,10 ,32.0,-118.125
30,3 ,49.0,-119.375
31,2 ,38.0,-109.375
32,19 ,33.0,-119.375
33,5 ,37.0,-119.375
34,5 ,42.0,-101.875
35,3 ,43.0,-104.375
36,8 ,41.0,-115.625
37,5 ,46.0,-106.875
38,14 ,37.0,-120.625
39,8 ,35.0,-105.625
40,3 ,48.0,-116.875
41,14 ,34.0,-101.875
42,11 ,47.0,-118.125
43,28 ,43.0,-113.125
44,9 ,43.0,-106.875
45,55 ,33.0,-124.375
46,22 ,36.0,-101.875
47,8 ,33.0,-113.125
48,8 ,37.0,-113.125
49,10 ,33.0,-105.625
50,25 ,45.0,-124.375
51,11 ,36.0,-116.875
52,3 ,47.0,-114.375
53,8 ,39.0,-120.625
54,5 ,41.0,-109.375
55,7 ,44.0,-105.625
56,2 ,35.0,-106.875
57,2 ,38.0,-110.625
58,10 ,41.0,-101.875
59,2 ,41.0,-111.875
60,8 ,44.0,-114.375
61,21 ,49.0,-109.375
62,13 ,46.0,-105.625
63,3 ,41.0,-110.625
64,2 ,39.0,-108.125
65,5 ,46.0,-113.125
66,0 ,49.0,-124.375
67,2 ,39.0,-106.875
68,8 ,44.0,-118.125
69,21 ,36.0,-104.375
70,10 ,39.0,-116.875
71,3 ,47.0,-116.875
72,2 ,35.0,-111.875
73,2 ,38.0,-106.875
74,7 ,45.0,-119.375
75,0 ,33.0,-115.625
76,19 ,49.0,-113.125
77,3 ,39.0,-110.625
78,3 ,42.0,-103.125
79,5 ,33.0,-118.125
80,2 ,37.0,-110.625
81,13 ,32.0,-105.625
82,57 ,34.0,-121.875
83,3 ,36.0,-110.625
84,19 ,44.0,-111.875
