,ELCC,latitude,longitude
0,3 ,45.0,-110.625
1,5 ,33.0,-118.125
2,10 ,36.0,-119.375
3,5 ,45.0,-119.375
4,2 ,41.0,-110.625
5,2 ,46.0,-116.875
6,5 ,45.0,-123.125
7,0 ,38.0,-106.875
8,8 ,42.0,-108.125
9,0 ,46.0,-115.625
10,43 ,32.0,-123.125
11,3 ,47.0,-113.125
12,3 ,46.0,-106.875
13,3 ,37.0,-108.125
14,0 ,47.0,-120.625
15,11 ,43.0,-114.375
16,3 ,43.0,-116.875
17,7 ,44.0,-108.125
18,7 ,35.0,-115.625
19,8 ,35.0,-119.375
20,8 ,38.0,-119.375
21,14 ,39.0,-115.625
22,10 ,32.0,-108.125
23,53 ,36.0,-124.375
24,7 ,32.0,-113.125
25,5 ,40.0,-114.375
26,16 ,38.0,-116.875
27,46 ,38.0,-124.375
28,2 ,36.0,-111.875
29,5 ,47.0,-119.375
30,2 ,37.0,-118.125
31,11 ,36.0,-116.875
32,2 ,49.0,-114.375
33,10 ,32.0,-106.875
34,2 ,35.0,-109.375
35,7 ,43.0,-108.125
36,46 ,35.0,-123.125
37,55 ,35.0,-124.375
38,2 ,39.0,-108.125
39,2 ,49.0,-119.375
40,2 ,34.0,-109.375
41,41 ,32.0,-124.375
42,2 ,42.0,-111.875
43,3 ,41.0,-113.125
44,2 ,36.0,-109.375
45,3 ,37.0,-113.125
46,19 ,42.0,-124.375
47,8 ,47.0,-108.125
48,2 ,40.0,-123.125
49,13 ,39.0,-113.125
50,10 ,37.0,-115.625
51,46 ,34.0,-123.125
52,19 ,33.0,-119.375
53,3 ,34.0,-111.875
54,41 ,38.0,-123.125
55,2 ,38.0,-110.625
56,5 ,32.0,-109.375
57,5 ,32.0,-115.625
58,3 ,46.0,-118.125
59,13 ,42.0,-120.625
60,3 ,46.0,-108.125
61,8 ,42.0,-116.875
62,11 ,44.0,-120.625
63,3 ,47.0,-109.375
64,8 ,41.0,-119.375
65,3 ,44.0,-118.125
66,2 ,41.0,-106.875
67,7 ,40.0,-119.375
68,5 ,41.0,-108.125
69,33 ,34.0,-120.625
70,2 ,44.0,-123.125
71,5 ,36.0,-113.125
72,2 ,46.0,-113.125
73,2 ,44.0,-116.875
74,8 ,43.0,-123.125
75,7 ,48.0,-109.375
76,8 ,40.0,-113.125
77,0 ,47.0,-115.625
78,5 ,44.0,-121.875
79,3 ,37.0,-119.375
80,0 ,41.0,-111.875
81,3 ,43.0,-121.875
82,2 ,47.0,-123.125
83,3 ,45.0,-121.875
84,7 ,43.0,-111.875
