,ELCC,latitude,longitude
0,5 ,39.0,-123.125
1,5 ,34.0,-111.875
2,5 ,33.0,-118.125
3,10 ,44.0,-113.125
4,10 ,49.0,-106.875
5,52 ,34.0,-124.375
6,8 ,43.0,-109.375
7,0 ,37.0,-109.375
8,5 ,32.0,-115.625
9,2 ,34.0,-109.375
10,3 ,45.0,-111.875
11,8 ,42.0,-116.875
12,7 ,40.0,-119.375
13,49 ,35.0,-121.875
14,5 ,44.0,-114.375
15,52 ,36.0,-124.375
16,8 ,40.0,-120.625
17,2 ,33.0,-111.875
18,14 ,38.0,-114.375
19,7 ,48.0,-110.625
20,5 ,35.0,-108.125
21,3 ,44.0,-106.875
22,3 ,35.0,-110.625
23,36 ,34.0,-120.625
24,3 ,41.0,-108.125
25,3 ,36.0,-110.625
26,0 ,41.0,-111.875
27,13 ,39.0,-115.625
28,0 ,49.0,-118.125
29,2 ,40.0,-108.125
30,8 ,43.0,-123.125
31,16 ,35.0,-118.125
32,0 ,48.0,-116.875
33,16 ,45.0,-124.375
34,2 ,39.0,-110.625
35,5 ,44.0,-121.875
36,2 ,45.0,-121.875
37,3 ,46.0,-106.875
38,5 ,47.0,-119.375
39,8 ,39.0,-116.875
40,7 ,42.0,-110.625
41,44 ,32.0,-123.125
42,2 ,45.0,-109.375
43,10 ,36.0,-118.125
44,2 ,47.0,-120.625
45,3 ,34.0,-115.625
46,3 ,43.0,-121.875
47,3 ,41.0,-123.125
48,2 ,41.0,-113.125
49,3 ,48.0,-119.375
50,3 ,46.0,-110.625
51,21 ,33.0,-119.375
52,2 ,45.0,-115.625
53,2 ,40.0,-110.625
54,3 ,37.0,-111.875
55,47 ,33.0,-123.125
56,2 ,37.0,-118.125
57,3 ,43.0,-106.875
58,3 ,49.0,-114.375
59,3 ,33.0,-108.125
60,5 ,35.0,-114.375
61,2 ,42.0,-111.875
62,3 ,47.0,-113.125
63,7 ,44.0,-119.375
64,3 ,34.0,-116.875
65,5 ,44.0,-109.375
66,5 ,32.0,-111.875
67,7 ,36.0,-120.625
68,8 ,40.0,-118.125
69,13 ,43.0,-113.125
70,17 ,40.0,-121.875
71,3 ,46.0,-111.875
72,0 ,48.0,-121.875
73,5 ,34.0,-114.375
74,7 ,41.0,-118.125
75,22 ,32.0,-119.375
76,3 ,38.0,-118.125
77,8 ,39.0,-114.375
78,3 ,41.0,-109.375
79,7 ,35.0,-119.375
80,5 ,41.0,-115.625
81,3 ,42.0,-113.125
82,0 ,39.0,-106.875
83,13 ,42.0,-106.875
84,11 ,38.0,-115.625
85,46 ,33.0,-121.875
86,13 ,39.0,-121.875
87,0 ,49.0,-120.625
88,7 ,48.0,-109.375
89,0 ,45.0,-116.875
90,8 ,42.0,-121.875
91,41 ,32.0,-124.375
92,2 ,32.0,-116.875
93,2 ,36.0,-111.875
94,5 ,47.0,-110.625
95,41 ,40.0,-124.375
96,8 ,38.0,-113.125
97,8 ,33.0,-106.875
98,11 ,44.0,-120.625
99,44 ,36.0,-123.125
100,10 ,36.0,-116.875
101,0 ,47.0,-115.625
102,3 ,32.0,-110.625
103,13 ,49.0,-108.125
104,2 ,38.0,-111.875
105,5 ,40.0,-111.875
106,0 ,48.0,-120.625
107,13 ,37.0,-120.625
108,11 ,40.0,-116.875
109,13 ,48.0,-111.875
110,3 ,37.0,-119.375
111,2 ,36.0,-106.875
112,5 ,45.0,-119.375
113,2 ,40.0,-109.375
114,10 ,49.0,-109.375
115,8 ,37.0,-115.625
116,5 ,47.0,-109.375
117,11 ,42.0,-119.375
118,2 ,41.0,-106.875
119,2 ,47.0,-114.375
120,5 ,47.0,-111.875
121,13 ,39.0,-113.125
122,8 ,34.0,-119.375
123,2 ,33.0,-115.625
124,7 ,42.0,-118.125
125,2 ,47.0,-123.125
126,5 ,42.0,-114.375
127,5 ,32.0,-109.375
128,3 ,39.0,-111.875
129,46 ,34.0,-121.875
130,32 ,38.0,-121.875
131,2 ,35.0,-109.375
132,8 ,34.0,-106.875
133,44 ,38.0,-124.375
134,10 ,49.0,-113.125
135,2 ,44.0,-116.875
136,0 ,46.0,-115.625
137,2 ,45.0,-118.125
138,2 ,48.0,-114.375
139,5 ,45.0,-123.125
140,13 ,48.0,-106.875
141,0 ,48.0,-123.125
142,3 ,46.0,-123.125
143,7 ,46.0,-119.375
144,8 ,43.0,-120.625
145,2 ,36.0,-109.375
146,8 ,41.0,-116.875
147,53 ,35.0,-124.375
148,39 ,36.0,-121.875
149,3 ,45.0,-113.125
150,3 ,41.0,-114.375
151,0 ,49.0,-116.875
152,3 ,46.0,-118.125
153,47 ,33.0,-124.375
154,2 ,48.0,-118.125
155,2 ,49.0,-115.625
156,5 ,40.0,-115.625
157,42 ,32.0,-121.875
158,3 ,43.0,-110.625
159,3 ,33.0,-109.375
160,7 ,32.0,-113.125
161,19 ,35.0,-120.625
162,2 ,48.0,-124.375
163,13 ,37.0,-116.875
164,2 ,44.0,-123.125
165,8 ,36.0,-115.625
166,5 ,45.0,-106.875
167,10 ,39.0,-118.125
168,7 ,34.0,-108.125
169,8 ,35.0,-113.125
170,8 ,32.0,-106.875
171,5 ,33.0,-113.125
172,2 ,38.0,-110.625
173,2 ,39.0,-108.125
174,2 ,36.0,-108.125
175,8 ,46.0,-120.625
