,ELCC,latitude,longitude
0,30 ,34.0,-116.875
1,30 ,44.0,-110.625
2,42 ,35.0,-124.375
3,36 ,42.0,-123.125
4,36 ,40.0,-119.375
5,22 ,34.0,-103.125
6,25 ,46.0,-106.875
7,22 ,33.0,-103.125
8,28 ,46.0,-111.875
9,25 ,42.0,-104.375
10,19 ,32.0,-110.625
11,32 ,41.0,-114.375
12,30 ,49.0,-111.875
13,22 ,32.0,-104.375
14,35 ,40.0,-118.125
15,32 ,43.0,-111.875
16,24 ,32.0,-106.875
17,32 ,41.0,-113.125
18,27 ,47.0,-108.125
19,41 ,34.0,-121.875
20,21 ,38.0,-114.375
21,19 ,36.0,-109.375
22,35 ,47.0,-116.875
23,27 ,46.0,-109.375
24,32 ,44.0,-111.875
25,28 ,38.0,-118.125
26,35 ,42.0,-116.875
27,33 ,44.0,-113.125
28,27 ,41.0,-108.125
29,30 ,45.0,-111.875
30,33 ,33.0,-116.875
31,24 ,48.0,-104.375
32,36 ,39.0,-123.125
33,21 ,36.0,-106.875
34,28 ,34.0,-113.125
35,38 ,42.0,-121.875
36,41 ,33.0,-124.375
37,32 ,49.0,-121.875
38,33 ,44.0,-115.625
39,38 ,32.0,-121.875
40,22 ,33.0,-108.125
41,39 ,40.0,-124.375
42,41 ,35.0,-123.125
43,27 ,37.0,-118.125
44,38 ,37.0,-121.875
45,35 ,36.0,-119.375
46,38 ,34.0,-119.375
47,32 ,47.0,-113.125
48,25 ,35.0,-113.125
49,27 ,33.0,-113.125
50,24 ,44.0,-103.125
51,36 ,40.0,-120.625
52,22 ,35.0,-105.625
53,30 ,37.0,-116.875
54,35 ,32.0,-116.875
55,22 ,41.0,-101.875
56,39 ,46.0,-121.875
57,28 ,44.0,-106.875
58,30 ,35.0,-114.375
59,24 ,40.0,-104.375
60,25 ,49.0,-105.625
61,21 ,34.0,-101.875
62,21 ,34.0,-108.125
63,19 ,39.0,-111.875
64,22 ,35.0,-103.125
65,36 ,37.0,-120.625
66,27 ,48.0,-108.125
67,36 ,40.0,-121.875
68,24 ,39.0,-103.125
69,38 ,48.0,-120.625
70,36 ,43.0,-121.875
71,35 ,43.0,-118.125
72,21 ,36.0,-108.125
73,36 ,39.0,-120.625
74,38 ,33.0,-119.375
75,19 ,35.0,-108.125
76,30 ,39.0,-118.125
77,39 ,32.0,-124.375
78,38 ,49.0,-120.625
79,25 ,32.0,-113.125
80,41 ,37.0,-124.375
81,22 ,43.0,-101.875
82,35 ,49.0,-118.125
83,24 ,40.0,-103.125
84,36 ,48.0,-118.125
85,25 ,35.0,-110.625
86,36 ,45.0,-124.375
87,28 ,36.0,-114.375
88,24 ,45.0,-103.125
89,32 ,46.0,-113.125
90,35 ,37.0,-119.375
91,22 ,38.0,-109.375
92,36 ,32.0,-120.625
93,28 ,45.0,-110.625
94,24 ,46.0,-104.375
95,35 ,43.0,-119.375
96,22 ,46.0,-103.125
97,32 ,41.0,-115.625
98,27 ,49.0,-108.125
99,25 ,37.0,-115.625
100,35 ,43.0,-115.625
101,25 ,40.0,-111.875
102,19 ,36.0,-101.875
103,28 ,41.0,-111.875
104,36 ,41.0,-118.125
105,25 ,46.0,-105.625
106,25 ,33.0,-111.875
107,25 ,39.0,-115.625
108,25 ,40.0,-109.375
109,30 ,47.0,-111.875
110,21 ,34.0,-105.625
111,32 ,42.0,-111.875
112,21 ,37.0,-105.625
113,35 ,43.0,-116.875
114,41 ,36.0,-123.125
115,22 ,35.0,-109.375
116,21 ,49.0,-103.125
117,22 ,32.0,-105.625
118,44 ,41.0,-124.375
119,24 ,34.0,-110.625
120,33 ,44.0,-116.875
121,22 ,36.0,-110.625
122,21 ,38.0,-111.875
123,32 ,33.0,-115.625
124,36 ,46.0,-119.375
125,41 ,45.0,-123.125
126,30 ,48.0,-110.625
127,36 ,44.0,-118.125
128,24 ,37.0,-109.375
129,27 ,43.0,-105.625
130,36 ,43.0,-123.125
131,21 ,38.0,-108.125
132,39 ,44.0,-121.875
133,30 ,43.0,-109.375
134,21 ,48.0,-101.875
135,21 ,39.0,-101.875
136,21 ,32.0,-111.875
137,35 ,45.0,-115.625
138,41 ,36.0,-121.875
139,33 ,42.0,-118.125
140,22 ,38.0,-110.625
