,ELCC,latitude,longitude
0,38 ,36.0,-114.375
1,39 ,49.0,-110.625
2,36 ,35.0,-106.875
3,38 ,41.0,-109.375
4,36 ,38.0,-106.875
5,44 ,41.0,-123.125
6,36 ,38.0,-109.375
7,38 ,46.0,-109.375
8,47 ,36.0,-124.375
9,38 ,49.0,-106.875
10,38 ,43.0,-110.625
11,46 ,35.0,-123.125
12,39 ,36.0,-115.625
13,36 ,41.0,-106.875
14,38 ,35.0,-114.375
15,44 ,32.0,-124.375
16,36 ,46.0,-106.875
17,36 ,39.0,-113.125
18,41 ,49.0,-124.375
19,41 ,39.0,-118.125
20,46 ,39.0,-123.125
21,38 ,34.0,-114.375
22,41 ,49.0,-114.375
23,42 ,34.0,-119.375
24,36 ,47.0,-108.125
25,36 ,42.0,-106.875
26,36 ,37.0,-113.125
27,36 ,34.0,-106.875
28,47 ,38.0,-124.375
29,38 ,39.0,-110.625
30,47 ,35.0,-124.375
31,42 ,48.0,-118.125
32,42 ,41.0,-118.125
33,36 ,34.0,-111.875
34,41 ,41.0,-113.125
35,38 ,32.0,-113.125
36,44 ,34.0,-123.125
37,44 ,48.0,-123.125
38,44 ,45.0,-120.625
39,47 ,44.0,-124.375
40,44 ,38.0,-121.875
41,44 ,46.0,-121.875
42,42 ,32.0,-119.375
43,41 ,32.0,-116.875
44,44 ,42.0,-123.125
45,41 ,46.0,-114.375
46,38 ,44.0,-108.125
47,47 ,43.0,-124.375
48,44 ,42.0,-119.375
49,41 ,48.0,-115.625
50,42 ,43.0,-118.125
51,39 ,43.0,-113.125
52,41 ,48.0,-121.875
53,47 ,41.0,-124.375
54,42 ,47.0,-123.125
55,44 ,41.0,-119.375
56,39 ,45.0,-110.625
57,42 ,49.0,-118.125
58,41 ,35.0,-118.125
59,44 ,40.0,-120.625
60,36 ,38.0,-115.625
61,38 ,40.0,-108.125
62,36 ,47.0,-106.875
63,42 ,44.0,-118.125
64,46 ,34.0,-124.375
65,39 ,49.0,-111.875
66,42 ,40.0,-118.125
67,42 ,44.0,-116.875
68,38 ,32.0,-115.625
69,38 ,33.0,-113.125
70,42 ,42.0,-116.875
71,44 ,47.0,-121.875
72,44 ,40.0,-121.875
73,38 ,44.0,-106.875
74,41 ,46.0,-113.125
75,47 ,37.0,-124.375
76,42 ,49.0,-119.375
77,35 ,35.0,-110.625
78,39 ,42.0,-114.375
79,38 ,34.0,-113.125
80,42 ,45.0,-116.875
81,46 ,45.0,-123.125
82,41 ,36.0,-119.375
83,44 ,43.0,-119.375
84,35 ,38.0,-108.125
85,41 ,43.0,-114.375
86,39 ,41.0,-111.875
87,46 ,40.0,-124.375
88,35 ,35.0,-113.125
89,41 ,42.0,-115.625
90,38 ,39.0,-116.875
91,41 ,45.0,-114.375
92,44 ,41.0,-120.625
93,38 ,37.0,-111.875
94,44 ,33.0,-121.875
95,33 ,33.0,-108.125
96,36 ,45.0,-106.875
97,46 ,36.0,-121.875
98,39 ,42.0,-110.625
99,35 ,33.0,-110.625
100,44 ,44.0,-120.625
101,36 ,46.0,-110.625
102,41 ,40.0,-116.875
103,36 ,40.0,-115.625
104,38 ,39.0,-108.125
105,41 ,39.0,-119.375
106,46 ,44.0,-123.125
107,38 ,44.0,-110.625
108,35 ,32.0,-111.875
109,38 ,42.0,-108.125
110,36 ,45.0,-109.375
111,44 ,36.0,-120.625
112,41 ,45.0,-113.125
113,35 ,33.0,-106.875
114,42 ,32.0,-121.875
115,44 ,42.0,-120.625
116,41 ,48.0,-113.125
117,36 ,36.0,-109.375
118,42 ,47.0,-116.875
119,46 ,38.0,-123.125
120,46 ,44.0,-121.875
121,35 ,32.0,-106.875
122,39 ,43.0,-111.875
123,38 ,37.0,-110.625
124,36 ,42.0,-109.375
125,36 ,38.0,-113.125
126,33 ,35.0,-111.875
127,39 ,32.0,-114.375
128,42 ,49.0,-123.125
129,36 ,36.0,-106.875
130,38 ,49.0,-109.375
131,44 ,43.0,-120.625
132,38 ,40.0,-110.625
133,39 ,34.0,-115.625
134,38 ,38.0,-110.625
135,39 ,44.0,-111.875
136,42 ,34.0,-120.625
137,44 ,49.0,-120.625
138,38 ,39.0,-109.375
139,38 ,38.0,-116.875
140,39 ,46.0,-111.875
141,44 ,44.0,-119.375
142,44 ,48.0,-120.625
143,36 ,45.0,-108.125
144,44 ,48.0,-119.375
145,35 ,34.0,-110.625
146,38 ,43.0,-108.125
147,39 ,37.0,-114.375
148,39 ,48.0,-111.875
149,35 ,35.0,-109.375
150,44 ,45.0,-119.375
151,42 ,33.0,-119.375
152,38 ,48.0,-108.125
153,36 ,39.0,-106.875
154,33 ,33.0,-109.375
155,41 ,48.0,-114.375
156,38 ,36.0,-118.125
157,42 ,45.0,-118.125
158,36 ,46.0,-108.125
159,35 ,34.0,-108.125
160,35 ,36.0,-110.625
161,44 ,37.0,-121.875
162,36 ,38.0,-111.875
163,42 ,47.0,-118.125
164,39 ,42.0,-113.125
165,41 ,49.0,-121.875
166,41 ,49.0,-116.875
167,42 ,34.0,-118.125
168,41 ,49.0,-113.125
169,38 ,48.0,-106.875
170,42 ,41.0,-116.875
171,36 ,39.0,-111.875
172,42 ,42.0,-118.125
173,39 ,33.0,-115.625
174,44 ,39.0,-121.875
175,41 ,47.0,-114.375
176,44 ,47.0,-119.375
177,42 ,46.0,-118.125
178,42 ,46.0,-116.875
179,44 ,46.0,-124.375
180,39 ,42.0,-111.875
181,35 ,35.0,-108.125
182,41 ,49.0,-115.625
183,44 ,33.0,-123.125
184,46 ,32.0,-123.125
185,41 ,43.0,-115.625
186,38 ,43.0,-109.375
187,46 ,36.0,-123.125
188,44 ,37.0,-120.625
189,44 ,47.0,-124.375
190,38 ,43.0,-106.875
191,39 ,40.0,-113.125
192,36 ,37.0,-108.125
193,39 ,47.0,-110.625
194,33 ,34.0,-109.375
195,46 ,45.0,-121.875
196,41 ,44.0,-113.125
197,42 ,33.0,-118.125
198,46 ,33.0,-124.375
199,36 ,37.0,-118.125
200,36 ,40.0,-106.875
201,38 ,49.0,-108.125
202,36 ,40.0,-111.875
