,ELCC,latitude,longitude
0,32 ,42.0,-106.875
1,35 ,46.0,-108.125
2,32 ,37.0,-116.875
3,53 ,34.0,-123.125
4,36 ,45.0,-106.875
5,41 ,44.0,-120.625
6,30 ,38.0,-118.125
7,36 ,46.0,-119.375
8,32 ,39.0,-111.875
9,32 ,33.0,-119.375
10,32 ,42.0,-120.625
11,28 ,48.0,-121.875
12,32 ,42.0,-113.125
13,30 ,33.0,-116.875
14,32 ,37.0,-113.125
15,32 ,45.0,-114.375
16,33 ,36.0,-109.375
17,38 ,48.0,-108.125
18,35 ,32.0,-114.375
19,28 ,42.0,-111.875
20,30 ,43.0,-121.875
21,33 ,42.0,-116.875
22,28 ,39.0,-118.125
23,33 ,41.0,-115.625
24,32 ,44.0,-114.375
25,32 ,40.0,-108.125
26,36 ,48.0,-113.125
27,30 ,43.0,-106.875
28,28 ,38.0,-106.875
29,32 ,48.0,-119.375
30,50 ,43.0,-124.375
31,35 ,45.0,-108.125
32,32 ,34.0,-111.875
33,28 ,36.0,-113.125
34,30 ,32.0,-118.125
35,30 ,37.0,-106.875
36,28 ,36.0,-118.125
37,30 ,47.0,-121.875
38,52 ,32.0,-123.125
39,52 ,34.0,-121.875
40,52 ,32.0,-121.875
41,46 ,33.0,-120.625
42,46 ,46.0,-124.375
43,46 ,32.0,-120.625
44,27 ,49.0,-121.875
45,33 ,47.0,-113.125
46,32 ,38.0,-113.125
47,32 ,34.0,-106.875
48,30 ,33.0,-113.125
49,60 ,38.0,-124.375
50,35 ,44.0,-108.125
51,36 ,38.0,-120.625
52,35 ,43.0,-118.125
53,28 ,38.0,-116.875
54,32 ,35.0,-109.375
55,30 ,34.0,-119.375
56,41 ,49.0,-110.625
57,35 ,43.0,-116.875
58,57 ,41.0,-124.375
59,53 ,38.0,-121.875
60,33 ,41.0,-116.875
61,28 ,47.0,-115.625
62,33 ,40.0,-110.625
63,32 ,41.0,-114.375
64,28 ,49.0,-120.625
65,55 ,42.0,-124.375
66,30 ,34.0,-115.625
67,30 ,38.0,-115.625
68,38 ,35.0,-120.625
69,33 ,35.0,-110.625
70,47 ,43.0,-114.375
71,28 ,46.0,-115.625
72,32 ,38.0,-110.625
73,44 ,43.0,-115.625
74,30 ,41.0,-118.125
75,32 ,41.0,-109.375
76,30 ,38.0,-119.375
77,35 ,40.0,-109.375
78,33 ,43.0,-111.875
79,32 ,39.0,-121.875
80,30 ,34.0,-116.875
81,60 ,36.0,-124.375
82,32 ,46.0,-113.125
83,33 ,37.0,-108.125
84,30 ,32.0,-113.125
85,36 ,47.0,-119.375
86,39 ,48.0,-110.625
87,30 ,35.0,-114.375
88,32 ,46.0,-121.875
89,32 ,46.0,-118.125
90,30 ,45.0,-110.625
91,32 ,48.0,-116.875
92,33 ,35.0,-118.125
93,33 ,45.0,-123.125
94,33 ,45.0,-118.125
95,33 ,36.0,-106.875
96,36 ,44.0,-113.125
97,30 ,49.0,-115.625
98,35 ,36.0,-110.625
99,30 ,46.0,-116.875
100,33 ,48.0,-114.375
101,55 ,34.0,-124.375
102,35 ,40.0,-114.375
103,30 ,34.0,-113.125
104,30 ,35.0,-111.875
105,32 ,33.0,-109.375
106,30 ,46.0,-110.625
107,36 ,42.0,-109.375
108,30 ,33.0,-108.125
109,35 ,43.0,-119.375
110,30 ,38.0,-114.375
111,30 ,45.0,-111.875
112,41 ,49.0,-111.875
113,53 ,33.0,-123.125
114,28 ,39.0,-106.875
115,33 ,46.0,-106.875
116,35 ,45.0,-119.375
117,36 ,47.0,-118.125
118,30 ,47.0,-114.375
119,30 ,36.0,-116.875
120,36 ,42.0,-115.625
121,35 ,37.0,-111.875
122,33 ,33.0,-110.625
123,32 ,33.0,-114.375
124,30 ,39.0,-120.625
125,41 ,49.0,-109.375
126,28 ,41.0,-106.875
127,30 ,41.0,-110.625
128,30 ,48.0,-118.125
129,30 ,40.0,-119.375
130,35 ,42.0,-114.375
131,30 ,41.0,-121.875
132,50 ,36.0,-123.125
133,30 ,45.0,-116.875
134,49 ,37.0,-123.125
135,30 ,33.0,-118.125
136,28 ,36.0,-115.625
137,39 ,48.0,-111.875
138,28 ,49.0,-124.375
139,64 ,40.0,-124.375
140,28 ,32.0,-111.875
141,44 ,34.0,-120.625
142,28 ,39.0,-116.875
143,30 ,43.0,-108.125
144,30 ,40.0,-116.875
145,32 ,39.0,-114.375
146,39 ,48.0,-109.375
147,30 ,48.0,-120.625
148,35 ,44.0,-119.375
149,35 ,42.0,-108.125
150,30 ,40.0,-115.625
151,30 ,40.0,-113.125
152,30 ,42.0,-118.125
153,30 ,37.0,-114.375
154,30 ,40.0,-111.875
155,32 ,39.0,-108.125
156,33 ,44.0,-118.125
157,33 ,49.0,-114.375
158,28 ,41.0,-113.125
159,32 ,44.0,-109.375
160,30 ,37.0,-119.375
161,33 ,39.0,-110.625
162,38 ,37.0,-120.625
163,33 ,45.0,-113.125
164,28 ,37.0,-115.625
165,27 ,49.0,-123.125
166,35 ,47.0,-106.875
167,28 ,40.0,-106.875
168,33 ,32.0,-109.375
169,33 ,37.0,-109.375
170,30 ,36.0,-111.875
171,30 ,40.0,-121.875
172,30 ,48.0,-115.625
173,33 ,39.0,-109.375
174,28 ,32.0,-116.875
175,41 ,44.0,-111.875
176,32 ,41.0,-108.125
177,52 ,33.0,-121.875
178,30 ,47.0,-116.875
179,32 ,41.0,-119.375
180,49 ,38.0,-123.125
181,28 ,44.0,-110.625
182,58 ,35.0,-124.375
183,39 ,49.0,-108.125
184,32 ,44.0,-106.875
185,28 ,47.0,-123.125
186,30 ,32.0,-106.875
187,50 ,32.0,-124.375
188,28 ,40.0,-123.125
189,33 ,46.0,-111.875
190,28 ,32.0,-115.625
191,32 ,39.0,-123.125
192,28 ,46.0,-114.375
193,41 ,49.0,-113.125
194,32 ,40.0,-120.625
195,36 ,47.0,-120.625
