,ELCC,latitude,longitude
0,32 ,33.0,-109.375
1,32 ,42.0,-103.125
2,36 ,39.0,-113.125
3,52 ,35.0,-103.125
4,30 ,36.0,-119.375
5,35 ,44.0,-119.375
6,35 ,40.0,-113.125
7,57 ,34.0,-105.625
8,27 ,45.0,-116.875
9,35 ,42.0,-113.125
10,58 ,35.0,-105.625
11,32 ,40.0,-109.375
12,28 ,47.0,-123.125
13,32 ,34.0,-116.875
14,35 ,41.0,-120.625
15,30 ,48.0,-123.125
16,47 ,32.0,-121.875
17,27 ,44.0,-113.125
18,28 ,42.0,-110.625
19,30 ,46.0,-123.125
20,46 ,34.0,-101.875
21,52 ,32.0,-119.375
22,53 ,36.0,-123.125
23,35 ,40.0,-103.125
24,32 ,46.0,-120.625
25,36 ,42.0,-124.375
26,60 ,49.0,-105.625
27,50 ,37.0,-109.375
28,42 ,32.0,-109.375
29,35 ,39.0,-104.375
30,46 ,36.0,-111.875
31,50 ,38.0,-123.125
32,64 ,45.0,-101.875
33,33 ,46.0,-119.375
34,32 ,33.0,-111.875
35,36 ,33.0,-108.125
36,27 ,44.0,-123.125
37,47 ,35.0,-106.875
38,46 ,37.0,-104.375
39,55 ,32.0,-108.125
40,47 ,47.0,-106.875
41,28 ,44.0,-121.875
42,44 ,47.0,-119.375
43,28 ,43.0,-111.875
44,28 ,49.0,-124.375
45,47 ,33.0,-103.125
46,25 ,45.0,-110.625
47,28 ,44.0,-106.875
48,66 ,46.0,-101.875
49,49 ,46.0,-105.625
50,35 ,35.0,-111.875
51,63 ,47.0,-101.875
52,25 ,42.0,-123.125
53,35 ,42.0,-101.875
54,27 ,38.0,-119.375
55,28 ,40.0,-106.875
56,42 ,33.0,-115.625
57,47 ,34.0,-108.125
58,27 ,40.0,-120.625
59,41 ,33.0,-114.375
60,27 ,44.0,-114.375
61,30 ,42.0,-121.875
62,35 ,39.0,-114.375
63,42 ,49.0,-109.375
64,41 ,36.0,-105.625
65,46 ,36.0,-113.125
66,55 ,35.0,-123.125
67,25 ,48.0,-120.625
68,46 ,36.0,-106.875
69,55 ,48.0,-105.625
70,41 ,40.0,-104.375
71,27 ,37.0,-119.375
72,28 ,39.0,-123.125
73,52 ,48.0,-106.875
74,33 ,48.0,-118.125
75,42 ,41.0,-104.375
76,46 ,34.0,-124.375
77,50 ,34.0,-103.125
78,25 ,44.0,-110.625
79,53 ,35.0,-121.875
80,30 ,45.0,-119.375
81,50 ,37.0,-124.375
82,42 ,38.0,-103.125
83,49 ,38.0,-124.375
84,50 ,35.0,-101.875
85,33 ,38.0,-120.625
86,41 ,45.0,-105.625
87,63 ,49.0,-104.375
88,35 ,33.0,-118.125
89,28 ,32.0,-116.875
90,24 ,45.0,-114.375
91,25 ,45.0,-115.625
92,25 ,43.0,-109.375
93,46 ,35.0,-115.625
94,55 ,34.0,-104.375
95,33 ,39.0,-106.875
96,25 ,45.0,-113.125
97,38 ,36.0,-115.625
98,28 ,34.0,-118.125
99,60 ,35.0,-104.375
100,30 ,40.0,-111.875
101,32 ,48.0,-116.875
102,28 ,49.0,-121.875
103,35 ,34.0,-115.625
104,46 ,32.0,-106.875
105,46 ,38.0,-101.875
106,33 ,42.0,-120.625
107,44 ,47.0,-118.125
108,42 ,41.0,-124.375
109,52 ,35.0,-108.125
110,33 ,41.0,-113.125
111,44 ,36.0,-121.875
112,35 ,44.0,-124.375
113,32 ,43.0,-114.375
114,36 ,37.0,-114.375
115,32 ,41.0,-105.625
116,27 ,46.0,-110.625
117,41 ,47.0,-108.125
118,46 ,43.0,-115.625
119,33 ,41.0,-114.375
120,53 ,34.0,-120.625
121,60 ,48.0,-104.375
122,41 ,35.0,-114.375
123,32 ,40.0,-114.375
124,35 ,43.0,-105.625
125,30 ,47.0,-121.875
126,57 ,39.0,-124.375
127,41 ,35.0,-120.625
128,41 ,49.0,-110.625
129,28 ,46.0,-118.125
130,30 ,43.0,-113.125
131,30 ,45.0,-106.875
132,35 ,42.0,-104.375
133,30 ,38.0,-118.125
134,38 ,38.0,-113.125
135,42 ,39.0,-110.625
136,36 ,39.0,-115.625
137,39 ,32.0,-118.125
138,33 ,33.0,-106.875
139,30 ,45.0,-108.125
140,32 ,45.0,-121.875
141,25 ,40.0,-123.125
142,60 ,48.0,-101.875
143,46 ,32.0,-101.875
144,36 ,43.0,-101.875
145,36 ,40.0,-121.875
146,32 ,48.0,-124.375
147,46 ,32.0,-104.375
148,52 ,33.0,-104.375
149,30 ,46.0,-108.125
150,36 ,47.0,-109.375
151,32 ,40.0,-108.125
152,27 ,46.0,-109.375
153,53 ,32.0,-120.625
154,25 ,45.0,-109.375
155,47 ,35.0,-124.375
156,30 ,43.0,-108.125
157,44 ,37.0,-113.125
158,28 ,39.0,-108.125
159,41 ,35.0,-113.125
160,25 ,42.0,-109.375
161,47 ,32.0,-103.125
162,30 ,34.0,-111.875
163,36 ,32.0,-114.375
164,47 ,36.0,-124.375
165,27 ,48.0,-114.375
166,35 ,36.0,-120.625
167,33 ,37.0,-121.875
168,33 ,46.0,-124.375
169,25 ,45.0,-111.875
170,61 ,48.0,-103.125
171,25 ,46.0,-116.875
172,38 ,39.0,-116.875
173,35 ,40.0,-101.875
174,27 ,48.0,-111.875
175,41 ,48.0,-109.375
176,27 ,49.0,-115.625
177,36 ,32.0,-115.625
178,32 ,41.0,-116.875
179,30 ,48.0,-110.625
180,38 ,44.0,-105.625
181,63 ,49.0,-103.125
182,35 ,44.0,-116.875
183,50 ,35.0,-116.875
184,25 ,49.0,-119.375
185,44 ,42.0,-114.375
186,44 ,44.0,-103.125
187,50 ,36.0,-108.125
188,49 ,34.0,-114.375
189,24 ,46.0,-114.375
190,52 ,34.0,-123.125
191,50 ,37.0,-110.625
192,30 ,47.0,-115.625
193,27 ,46.0,-111.875
194,30 ,40.0,-115.625
195,28 ,47.0,-120.625
196,35 ,41.0,-103.125
197,52 ,36.0,-109.375
198,27 ,48.0,-121.875
199,41 ,42.0,-119.375
200,46 ,36.0,-104.375
201,32 ,41.0,-118.125
202,50 ,36.0,-110.625
203,44 ,33.0,-101.875
204,35 ,32.0,-124.375
205,32 ,41.0,-110.625
206,46 ,34.0,-109.375
207,33 ,44.0,-118.125
208,42 ,37.0,-120.625
209,39 ,38.0,-110.625
210,38 ,32.0,-111.875
211,38 ,38.0,-121.875
212,28 ,47.0,-113.125
213,27 ,49.0,-116.875
214,38 ,39.0,-111.875
215,64 ,49.0,-101.875
216,27 ,49.0,-114.375
217,41 ,38.0,-115.625
218,27 ,42.0,-111.875
219,33 ,33.0,-116.875
220,39 ,32.0,-123.125
221,35 ,39.0,-101.875
222,49 ,33.0,-121.875
223,30 ,45.0,-118.125
224,27 ,40.0,-105.625
225,39 ,40.0,-110.625
226,53 ,37.0,-123.125
227,32 ,46.0,-121.875
228,28 ,42.0,-108.125
229,25 ,48.0,-113.125
230,47 ,38.0,-114.375
231,44 ,37.0,-108.125
232,28 ,37.0,-118.125
233,33 ,39.0,-105.625
234,32 ,40.0,-116.875
235,53 ,33.0,-120.625
236,35 ,38.0,-104.375
237,52 ,37.0,-103.125
238,55 ,45.0,-104.375
239,35 ,44.0,-120.625
240,46 ,33.0,-105.625
241,35 ,41.0,-101.875
242,30 ,41.0,-121.875
243,42 ,38.0,-108.125
244,32 ,33.0,-110.625
245,39 ,43.0,-106.875
246,25 ,41.0,-111.875
247,32 ,32.0,-110.625
248,33 ,32.0,-113.125
249,25 ,41.0,-106.875
250,32 ,49.0,-111.875
251,38 ,37.0,-106.875
252,30 ,43.0,-121.875
253,32 ,39.0,-109.375
254,60 ,45.0,-103.125
255,57 ,44.0,-101.875
256,33 ,33.0,-113.125
257,46 ,35.0,-110.625
258,52 ,49.0,-106.875
259,42 ,35.0,-118.125
260,25 ,46.0,-113.125
261,47 ,48.0,-108.125
262,36 ,34.0,-119.375
263,53 ,47.0,-105.625
264,28 ,39.0,-119.375
265,25 ,43.0,-110.625
266,33 ,43.0,-120.625
267,32 ,37.0,-115.625
268,36 ,45.0,-124.375
269,46 ,38.0,-116.875
270,49 ,37.0,-111.875
271,58 ,46.0,-104.375
272,35 ,48.0,-119.375
273,36 ,46.0,-106.875
274,47 ,49.0,-108.125
275,46 ,33.0,-123.125
276,27 ,49.0,-120.625
277,41 ,33.0,-124.375
278,30 ,34.0,-113.125
279,63 ,46.0,-103.125
280,28 ,43.0,-104.375
281,50 ,35.0,-109.375
282,32 ,45.0,-123.125
283,27 ,43.0,-123.125
284,39 ,36.0,-118.125
285,32 ,43.0,-118.125
286,30 ,48.0,-115.625
287,39 ,41.0,-108.125
288,41 ,42.0,-115.625
289,28 ,44.0,-108.125
290,33 ,43.0,-124.375
291,27 ,35.0,-119.375
292,41 ,38.0,-111.875
293,42 ,38.0,-105.625
294,28 ,40.0,-118.125
295,42 ,36.0,-114.375
296,32 ,39.0,-121.875
297,52 ,36.0,-103.125
298,33 ,41.0,-109.375
299,27 ,49.0,-113.125
300,33 ,42.0,-105.625
301,36 ,42.0,-116.875
