,ELCC,latitude,longitude
0,3 ,48.0,-123.125
1,0 ,49.0,-118.125
2,24 ,44.0,-109.375
3,8 ,43.0,-121.875
4,10 ,37.0,-109.375
5,3 ,48.0,-121.875
6,5 ,40.0,-111.875
7,6 ,37.0,-121.875
8,8 ,39.0,-113.125
9,5 ,32.0,-111.875
10,14 ,43.0,-111.875
11,7 ,40.0,-115.625
12,5 ,48.0,-118.125
13,19 ,37.0,-113.125
14,11 ,38.0,-120.625
15,38 ,32.0,-120.625
16,16 ,42.0,-118.125
17,22 ,32.0,-119.375
18,25 ,35.0,-113.125
19,42 ,32.0,-123.125
20,33 ,46.0,-109.375
21,0 ,48.0,-120.625
22,38 ,32.0,-121.875
23,27 ,46.0,-108.125
24,7 ,41.0,-121.875
25,8 ,41.0,-109.375
26,16 ,36.0,-110.625
27,8 ,49.0,-123.125
28,5 ,46.0,-123.125
29,3 ,40.0,-119.375
30,7 ,32.0,-115.625
31,11 ,41.0,-108.125
32,21 ,33.0,-108.125
33,19 ,49.0,-106.875
34,10 ,44.0,-121.875
35,8 ,38.0,-115.625
36,17 ,38.0,-106.875
37,44 ,34.0,-123.125
38,46 ,35.0,-123.125
39,28 ,42.0,-106.875
40,10 ,46.0,-118.125
41,19 ,43.0,-106.875
42,11 ,43.0,-124.375
43,7 ,39.0,-110.625
44,42 ,34.0,-120.625
45,24 ,34.0,-106.875
46,10 ,40.0,-109.375
47,16 ,43.0,-115.625
48,5 ,39.0,-114.375
49,8 ,46.0,-113.125
50,25 ,47.0,-110.625
51,7 ,33.0,-116.875
52,19 ,43.0,-109.375
53,28 ,48.0,-111.875
54,8 ,39.0,-120.625
55,2 ,41.0,-111.875
56,13 ,43.0,-108.125
57,0 ,32.0,-116.875
58,27 ,46.0,-124.375
59,13 ,45.0,-120.625
60,2 ,49.0,-120.625
61,8 ,46.0,-119.375
62,10 ,44.0,-119.375
63,5 ,46.0,-115.625
64,27 ,35.0,-108.125
65,17 ,41.0,-110.625
66,14 ,44.0,-106.875
67,8 ,45.0,-113.125
68,5 ,33.0,-109.375
69,2 ,43.0,-110.625
70,41 ,36.0,-123.125
71,10 ,36.0,-119.375
72,2 ,49.0,-124.375
73,11 ,37.0,-110.625
74,24 ,38.0,-123.125
75,16 ,40.0,-124.375
76,3 ,43.0,-123.125
77,3 ,33.0,-113.125
78,3 ,39.0,-123.125
79,3 ,45.0,-115.625
80,32 ,48.0,-109.375
81,2 ,46.0,-114.375
82,16 ,43.0,-116.875
83,25 ,42.0,-108.125
84,21 ,43.0,-119.375
85,11 ,36.0,-114.375
86,11 ,34.0,-115.625
87,5 ,32.0,-110.625
88,3 ,43.0,-118.125
89,3 ,41.0,-114.375
90,13 ,37.0,-114.375
91,2 ,47.0,-113.125
92,11 ,38.0,-109.375
93,16 ,41.0,-116.875
94,8 ,38.0,-108.125
95,14 ,47.0,-119.375
96,0 ,49.0,-115.625
97,10 ,39.0,-109.375
98,27 ,47.0,-108.125
99,14 ,34.0,-114.375
100,32 ,32.0,-106.875
101,5 ,33.0,-110.625
102,2 ,44.0,-114.375
103,24 ,47.0,-109.375
104,7 ,44.0,-108.125
105,28 ,34.0,-108.125
106,0 ,49.0,-119.375
107,41 ,35.0,-124.375
108,3 ,40.0,-118.125
109,14 ,37.0,-111.875
110,11 ,48.0,-113.125
111,8 ,40.0,-116.875
112,2 ,40.0,-123.125
113,21 ,43.0,-113.125
114,24 ,49.0,-108.125
115,7 ,39.0,-115.625
116,16 ,46.0,-111.875
117,3 ,44.0,-116.875
118,10 ,42.0,-121.875
119,7 ,32.0,-118.125
120,30 ,42.0,-116.875
121,8 ,45.0,-123.125
122,3 ,42.0,-123.125
123,5 ,38.0,-118.125
124,0 ,48.0,-115.625
125,14 ,47.0,-118.125
126,28 ,42.0,-119.375
127,2 ,49.0,-114.375
128,32 ,46.0,-106.875
129,3 ,33.0,-118.125
130,5 ,40.0,-114.375
131,21 ,45.0,-108.125
132,28 ,37.0,-123.125
133,28 ,47.0,-106.875
134,5 ,40.0,-120.625
135,39 ,32.0,-124.375
136,3 ,39.0,-108.125
137,5 ,34.0,-118.125
138,14 ,35.0,-111.875
139,5 ,44.0,-123.125
140,38 ,45.0,-109.375
141,5 ,41.0,-113.125
142,14 ,35.0,-109.375
143,3 ,47.0,-123.125
144,9 ,34.0,-119.375
145,14 ,42.0,-124.375
146,7 ,40.0,-113.125
147,14 ,32.0,-109.375
148,10 ,35.0,-119.375
149,8 ,41.0,-119.375
150,19 ,45.0,-106.875
151,21 ,35.0,-106.875
152,7 ,45.0,-118.125
153,0 ,41.0,-123.125
154,13 ,38.0,-119.375
155,3 ,34.0,-116.875
156,14 ,36.0,-111.875
157,11 ,34.0,-110.625
158,17 ,41.0,-120.625
159,24 ,35.0,-114.375
160,10 ,36.0,-118.125
161,3 ,39.0,-119.375
162,24 ,33.0,-106.875
163,16 ,36.0,-113.125
164,10 ,37.0,-108.125
165,25 ,42.0,-115.625
166,11 ,46.0,-121.875
167,2 ,49.0,-121.875
168,25 ,48.0,-110.625
169,28 ,38.0,-124.375
170,19 ,43.0,-120.625
171,8 ,47.0,-121.875
172,21 ,36.0,-106.875
173,11 ,44.0,-111.875
174,7 ,37.0,-106.875
175,2 ,45.0,-116.875
176,22 ,47.0,-124.375
177,5 ,41.0,-118.125
178,7 ,39.0,-106.875
179,24 ,36.0,-121.875
180,28 ,37.0,-124.375
181,10 ,48.0,-124.375
182,16 ,38.0,-114.375
183,11 ,36.0,-120.625
184,7 ,37.0,-118.125
185,14 ,33.0,-114.375
186,13 ,41.0,-124.375
187,17 ,34.0,-109.375
188,17 ,33.0,-119.375
189,10 ,39.0,-118.125
190,8 ,46.0,-116.875
191,32 ,36.0,-124.375
192,25 ,48.0,-106.875
193,50 ,49.0,-113.125
194,16 ,36.0,-108.125
195,46 ,33.0,-121.875
196,16 ,36.0,-115.625
197,8 ,32.0,-113.125
198,5 ,37.0,-119.375
199,10 ,34.0,-113.125
200,25 ,39.0,-124.375
201,11 ,42.0,-110.625
202,21 ,47.0,-111.875
203,16 ,37.0,-120.625
204,8 ,38.0,-110.625
205,8 ,39.0,-116.875
206,25 ,49.0,-110.625
207,16 ,44.0,-124.375
208,22 ,40.0,-121.875
209,27 ,49.0,-109.375
210,16 ,36.0,-109.375
211,28 ,48.0,-108.125
212,3 ,33.0,-111.875
213,10 ,39.0,-121.875
214,7 ,40.0,-106.875
215,8 ,45.0,-121.875
216,0 ,44.0,-118.125
217,27 ,49.0,-111.875
218,3 ,48.0,-116.875
219,24 ,44.0,-120.625
220,10 ,37.0,-115.625
221,16 ,35.0,-120.625
222,25 ,45.0,-124.375
223,8 ,36.0,-116.875
224,7 ,37.0,-116.875
225,8 ,42.0,-113.125
226,15 ,33.0,-115.625
227,21 ,45.0,-119.375
228,13 ,42.0,-114.375
229,41 ,33.0,-120.625
230,5 ,42.0,-111.875
231,10 ,42.0,-109.375
232,3 ,44.0,-115.625
233,19 ,35.0,-115.625
234,22 ,43.0,-114.375
235,11 ,34.0,-111.875
236,44 ,34.0,-121.875
237,14 ,35.0,-110.625
238,7 ,39.0,-111.875
239,14 ,35.0,-116.875
240,13 ,35.0,-118.125
241,8 ,38.0,-116.875
242,0 ,47.0,-114.375
243,5 ,44.0,-110.625
244,19 ,46.0,-110.625
245,39 ,33.0,-124.375
246,17 ,42.0,-120.625
247,44 ,33.0,-123.125
248,33 ,32.0,-108.125
249,13 ,32.0,-114.375
250,41 ,34.0,-124.375
251,10 ,47.0,-116.875
252,13 ,46.0,-120.625
253,10 ,40.0,-108.125
254,5 ,45.0,-110.625
255,5 ,48.0,-119.375
256,3 ,47.0,-120.625
257,11 ,38.0,-113.125
258,2 ,47.0,-115.625
259,5 ,44.0,-113.125
260,2 ,45.0,-114.375
261,0 ,49.0,-116.875
