,ELCC,latitude,longitude
0,13 ,34.0,-114.375
1,25 ,42.0,-119.375
2,7 ,38.0,-113.125
3,32 ,33.0,-124.375
4,3 ,42.0,-123.125
5,27 ,42.0,-116.875
6,7 ,41.0,-106.875
7,21 ,45.0,-124.375
8,33 ,36.0,-123.125
9,36 ,35.0,-123.125
10,7 ,39.0,-118.125
11,36 ,33.0,-120.625
12,5 ,39.0,-110.625
13,21 ,49.0,-110.625
14,13 ,44.0,-106.875
15,24 ,47.0,-110.625
16,3 ,33.0,-113.125
17,10 ,38.0,-109.375
18,14 ,41.0,-110.625
19,2 ,39.0,-119.375
20,2 ,43.0,-118.125
21,5 ,41.0,-119.375
22,8 ,37.0,-110.625
23,21 ,48.0,-106.875
24,11 ,37.0,-111.875
25,3 ,41.0,-118.125
26,3 ,48.0,-119.375
27,19 ,44.0,-120.625
28,16 ,33.0,-108.125
29,19 ,36.0,-121.875
30,2 ,41.0,-114.375
31,24 ,38.0,-124.375
32,36 ,34.0,-123.125
33,5 ,39.0,-115.625
34,19 ,39.0,-124.375
35,27 ,32.0,-108.125
36,21 ,33.0,-106.875
37,22 ,46.0,-124.375
38,2 ,40.0,-123.125
39,17 ,43.0,-120.625
40,3 ,38.0,-118.125
41,32 ,45.0,-109.375
42,10 ,43.0,-108.125
43,8 ,46.0,-120.625
44,0 ,49.0,-116.875
45,8 ,34.0,-119.375
46,5 ,48.0,-118.125
47,8 ,34.0,-111.875
48,2 ,48.0,-123.125
49,17 ,43.0,-109.375
50,10 ,42.0,-110.625
51,7 ,38.0,-116.875
52,5 ,32.0,-110.625
53,2 ,49.0,-114.375
54,8 ,38.0,-111.875
55,25 ,36.0,-124.375
56,2 ,47.0,-113.125
57,0 ,48.0,-120.625
58,3 ,40.0,-118.125
59,7 ,36.0,-119.375
60,5 ,40.0,-113.125
61,35 ,32.0,-123.125
62,16 ,35.0,-115.625
63,32 ,32.0,-120.625
64,7 ,42.0,-109.375
65,8 ,46.0,-118.125
