,ELCC,latitude,longitude
0,3 ,41.0,-121.875
1,5 ,35.0,-114.375
2,5 ,49.0,-106.875
3,3 ,36.0,-119.375
4,5 ,39.0,-114.375
5,5 ,38.0,-115.625
6,5 ,43.0,-115.625
7,3 ,35.0,-121.875
8,5 ,32.0,-120.625
9,5 ,39.0,-108.125
10,3 ,45.0,-118.125
11,5 ,47.0,-114.375
12,3 ,38.0,-114.375
13,5 ,41.0,-116.875
14,5 ,34.0,-108.125
15,5 ,34.0,-113.125
16,3 ,36.0,-109.375
17,3 ,47.0,-119.375
18,3 ,49.0,-114.375
19,5 ,46.0,-106.875
20,3 ,35.0,-110.625
21,3 ,48.0,-116.875
22,5 ,43.0,-119.375
23,5 ,43.0,-111.875
24,3 ,49.0,-119.375
25,3 ,32.0,-124.375
26,3 ,49.0,-111.875
27,5 ,38.0,-108.125
28,5 ,33.0,-109.375
29,3 ,43.0,-124.375
30,5 ,41.0,-114.375
31,5 ,44.0,-113.125
32,3 ,48.0,-110.625
33,5 ,43.0,-109.375
34,5 ,40.0,-115.625
35,3 ,46.0,-118.125
36,5 ,40.0,-106.875
37,5 ,43.0,-108.125
38,5 ,35.0,-113.125
39,5 ,41.0,-119.375
40,3 ,40.0,-124.375
41,3 ,46.0,-116.875
42,5 ,32.0,-121.875
43,5 ,39.0,-106.875
44,5 ,44.0,-114.375
45,5 ,34.0,-114.375
46,5 ,43.0,-113.125
47,5 ,35.0,-106.875
48,3 ,48.0,-119.375
49,5 ,44.0,-109.375
50,5 ,32.0,-119.375
51,3 ,36.0,-110.625
52,5 ,38.0,-110.625
53,3 ,41.0,-124.375
54,3 ,37.0,-123.125
55,5 ,37.0,-106.875
56,5 ,39.0,-119.375
57,3 ,42.0,-123.125
58,5 ,45.0,-113.125
59,5 ,32.0,-116.875
60,5 ,34.0,-110.625
61,5 ,34.0,-120.625
62,3 ,46.0,-120.625
63,5 ,43.0,-114.375
64,5 ,41.0,-120.625
65,3 ,35.0,-123.125
66,5 ,36.0,-118.125
67,5 ,44.0,-106.875
68,5 ,44.0,-115.625
69,5 ,42.0,-111.875
70,5 ,40.0,-110.625
71,5 ,40.0,-111.875
72,3 ,34.0,-111.875
73,3 ,37.0,-116.875
74,5 ,36.0,-106.875
75,3 ,48.0,-118.125
76,5 ,45.0,-114.375
77,5 ,32.0,-114.375
78,5 ,36.0,-116.875
79,5 ,42.0,-119.375
80,5 ,46.0,-111.875
81,5 ,39.0,-118.125
82,5 ,33.0,-106.875
83,5 ,33.0,-118.125
84,3 ,47.0,-121.875
85,3 ,37.0,-115.625
86,5 ,48.0,-106.875
87,5 ,43.0,-118.125
88,5 ,33.0,-119.375
89,5 ,35.0,-116.875
90,5 ,42.0,-116.875
91,5 ,32.0,-123.125
92,5 ,32.0,-111.875
93,5 ,42.0,-108.125
94,3 ,38.0,-109.375
95,3 ,49.0,-115.625
96,5 ,34.0,-118.125
97,5 ,33.0,-123.125
98,3 ,49.0,-118.125
99,0 ,49.0,-124.375
100,5 ,32.0,-113.125
101,3 ,36.0,-121.875
102,5 ,41.0,-109.375
103,3 ,36.0,-124.375
104,5 ,39.0,-116.875
105,3 ,44.0,-118.125
106,5 ,35.0,-115.625
107,5 ,41.0,-115.625
108,5 ,42.0,-113.125
109,3 ,44.0,-123.125
110,3 ,37.0,-119.375
111,5 ,49.0,-108.125
112,3 ,48.0,-113.125
113,5 ,45.0,-111.875
114,3 ,37.0,-114.375
115,3 ,40.0,-123.125
116,5 ,38.0,-113.125
117,2 ,48.0,-124.375
118,5 ,42.0,-118.125
119,3 ,34.0,-121.875
120,5 ,45.0,-109.375
121,3 ,35.0,-111.875
122,5 ,42.0,-109.375
123,3 ,36.0,-115.625
124,5 ,45.0,-110.625
125,2 ,47.0,-124.375
126,5 ,41.0,-110.625
127,3 ,39.0,-121.875
128,5 ,32.0,-110.625
129,3 ,37.0,-120.625
130,2 ,47.0,-123.125
131,3 ,45.0,-121.875
132,3 ,43.0,-121.875
133,3 ,38.0,-121.875
134,5 ,44.0,-111.875
135,5 ,37.0,-111.875
136,5 ,33.0,-114.375
137,5 ,41.0,-106.875
138,3 ,36.0,-123.125
139,3 ,37.0,-124.375
140,5 ,36.0,-114.375
141,3 ,35.0,-118.125
