,ELCC,latitude,longitude
0,22 ,40.0,-119.375
1,24 ,43.0,-105.625
2,22 ,48.0,-108.125
3,25 ,35.0,-108.125
4,24 ,34.0,-109.375
5,19 ,34.0,-113.125
6,25 ,32.0,-105.625
7,22 ,42.0,-120.625
8,25 ,44.0,-101.875
9,19 ,40.0,-109.375
10,21 ,47.0,-110.625
11,17 ,39.0,-115.625
12,24 ,43.0,-116.875
13,22 ,45.0,-111.875
14,24 ,47.0,-104.375
15,25 ,35.0,-109.375
16,25 ,43.0,-103.125
17,21 ,43.0,-119.375
18,22 ,38.0,-119.375
19,22 ,37.0,-108.125
20,17 ,45.0,-124.375
21,17 ,44.0,-123.125
22,25 ,37.0,-103.125
23,22 ,37.0,-116.875
24,16 ,35.0,-113.125
25,24 ,40.0,-104.375
26,21 ,32.0,-116.875
27,24 ,44.0,-104.375
28,17 ,35.0,-114.375
29,11 ,32.0,-101.875
30,25 ,33.0,-106.875
31,25 ,42.0,-106.875
32,17 ,38.0,-114.375
33,22 ,32.0,-103.125
34,17 ,33.0,-120.625
35,14 ,41.0,-109.375
36,25 ,41.0,-105.625
37,21 ,38.0,-123.125
38,21 ,46.0,-119.375
39,19 ,48.0,-119.375
40,21 ,43.0,-120.625
41,24 ,45.0,-105.625
42,21 ,33.0,-116.875
43,22 ,41.0,-120.625
44,14 ,49.0,-124.375
45,17 ,39.0,-109.375
46,21 ,39.0,-124.375
47,22 ,37.0,-119.375
48,24 ,33.0,-105.625
49,25 ,33.0,-108.125
50,16 ,39.0,-111.875
51,22 ,47.0,-108.125
52,21 ,47.0,-114.375
53,25 ,40.0,-105.625
54,21 ,36.0,-123.125
55,17 ,47.0,-124.375
56,24 ,35.0,-101.875
57,24 ,48.0,-103.125
58,25 ,37.0,-105.625
59,21 ,48.0,-116.875
60,24 ,32.0,-114.375
61,27 ,40.0,-103.125
62,21 ,44.0,-119.375
63,16 ,48.0,-124.375
64,21 ,41.0,-123.125
65,24 ,49.0,-103.125
66,25 ,35.0,-106.875
67,24 ,36.0,-106.875
68,16 ,32.0,-123.125
69,24 ,45.0,-104.375
70,22 ,46.0,-118.125
71,24 ,47.0,-103.125
72,25 ,44.0,-113.125
73,25 ,39.0,-105.625
74,24 ,36.0,-103.125
75,21 ,36.0,-110.625
76,25 ,44.0,-105.625
77,22 ,40.0,-111.875
78,21 ,43.0,-108.125
79,14 ,32.0,-121.875
80,22 ,33.0,-119.375
81,25 ,32.0,-108.125
82,24 ,37.0,-109.375
83,21 ,39.0,-121.875
84,25 ,43.0,-106.875
85,24 ,39.0,-110.625
86,21 ,36.0,-114.375
87,21 ,47.0,-119.375
88,19 ,39.0,-113.125
89,22 ,46.0,-105.625
90,22 ,42.0,-115.625
91,21 ,48.0,-110.625
92,21 ,43.0,-121.875
93,22 ,44.0,-111.875
94,16 ,49.0,-120.625
95,21 ,46.0,-120.625
96,24 ,44.0,-109.375
97,17 ,36.0,-111.875
98,22 ,37.0,-121.875
99,16 ,47.0,-123.125
100,21 ,49.0,-118.125
101,21 ,39.0,-123.125
102,17 ,33.0,-121.875
103,24 ,44.0,-114.375
104,17 ,32.0,-124.375
105,24 ,42.0,-110.625
106,22 ,46.0,-108.125
107,22 ,41.0,-119.375
108,24 ,34.0,-119.375
109,22 ,38.0,-110.625
110,25 ,36.0,-108.125
111,21 ,33.0,-103.125
112,24 ,41.0,-114.375
113,24 ,41.0,-104.375
114,16 ,38.0,-109.375
115,24 ,46.0,-104.375
116,22 ,39.0,-120.625
117,22 ,32.0,-115.625
118,24 ,42.0,-101.875
119,19 ,34.0,-116.875
120,22 ,41.0,-118.125
121,24 ,35.0,-110.625
122,24 ,43.0,-115.625
123,21 ,33.0,-115.625
124,22 ,33.0,-114.375
125,22 ,35.0,-116.875
126,22 ,47.0,-106.875
127,25 ,37.0,-104.375
128,21 ,46.0,-110.625
129,22 ,34.0,-118.125
130,21 ,40.0,-118.125
131,19 ,37.0,-111.875
132,25 ,45.0,-103.125
133,25 ,42.0,-104.375
134,16 ,33.0,-123.125
135,19 ,46.0,-114.375
136,25 ,39.0,-101.875
137,22 ,35.0,-120.625
138,24 ,43.0,-110.625
139,21 ,46.0,-106.875
140,22 ,35.0,-119.375
141,19 ,44.0,-121.875
142,25 ,32.0,-106.875
143,24 ,45.0,-108.125
144,17 ,44.0,-124.375
145,10 ,38.0,-113.125
146,22 ,39.0,-119.375
147,19 ,37.0,-115.625
148,22 ,49.0,-105.625
149,19 ,48.0,-114.375
150,24 ,37.0,-106.875
151,21 ,48.0,-118.125
152,17 ,46.0,-124.375
153,21 ,45.0,-114.375
154,22 ,38.0,-121.875
155,19 ,49.0,-115.625
156,19 ,34.0,-115.625
157,24 ,33.0,-110.625
158,19 ,45.0,-121.875
159,22 ,36.0,-109.375
160,22 ,37.0,-120.625
161,21 ,35.0,-123.125
162,21 ,45.0,-110.625
163,22 ,48.0,-106.875
164,21 ,40.0,-110.625
165,21 ,40.0,-123.125
166,23 ,44.0,-110.625
167,21 ,45.0,-120.625
168,21 ,42.0,-121.875
169,22 ,38.0,-120.625
170,24 ,49.0,-106.875
171,22 ,45.0,-116.875
172,19 ,48.0,-113.125
173,22 ,46.0,-116.875
174,25 ,40.0,-101.875
175,24 ,45.0,-109.375
176,22 ,42.0,-119.375
177,24 ,42.0,-113.125
178,13 ,37.0,-114.375
179,25 ,39.0,-106.875
180,22 ,42.0,-103.125
181,25 ,35.0,-103.125
182,24 ,32.0,-118.125
183,19 ,47.0,-113.125
184,21 ,41.0,-108.125
185,17 ,47.0,-115.625
186,27 ,39.0,-104.375
187,22 ,36.0,-119.375
188,25 ,44.0,-108.125
189,14 ,37.0,-113.125
190,21 ,47.0,-116.875
191,17 ,43.0,-124.375
192,22 ,40.0,-120.625
193,21 ,36.0,-118.125
194,22 ,44.0,-120.625
195,24 ,48.0,-104.375
196,14 ,48.0,-121.875
197,25 ,47.0,-101.875
198,19 ,39.0,-116.875
199,25 ,42.0,-105.625
200,19 ,40.0,-124.375
201,25 ,34.0,-108.125
202,21 ,47.0,-118.125
203,22 ,45.0,-115.625
204,13 ,49.0,-123.125
205,25 ,46.0,-101.875
206,19 ,46.0,-115.625
207,16 ,38.0,-111.875
208,19 ,42.0,-123.125
209,22 ,45.0,-106.875
210,25 ,36.0,-105.625
211,22 ,44.0,-118.125
212,22 ,44.0,-115.625
213,17 ,37.0,-110.625
214,21 ,39.0,-114.375
215,19 ,49.0,-119.375
216,22 ,32.0,-119.375
217,16 ,39.0,-108.125
218,19 ,42.0,-124.375
219,24 ,36.0,-101.875
220,24 ,49.0,-104.375
221,22 ,49.0,-113.125
222,19 ,36.0,-116.875
223,22 ,43.0,-118.125
224,25 ,36.0,-104.375
225,17 ,40.0,-108.125
226,22 ,42.0,-109.375
227,21 ,46.0,-113.125
228,17 ,34.0,-123.125
229,19 ,41.0,-110.625
230,21 ,36.0,-120.625
231,21 ,48.0,-109.375
232,25 ,34.0,-104.375
233,22 ,33.0,-101.875
234,25 ,32.0,-109.375
235,22 ,49.0,-108.125
236,19 ,41.0,-124.375
237,22 ,46.0,-109.375
238,21 ,45.0,-119.375
239,16 ,40.0,-116.875
240,24 ,38.0,-106.875
241,25 ,38.0,-101.875
242,24 ,44.0,-106.875
243,19 ,32.0,-120.625
244,24 ,33.0,-104.375
245,19 ,36.0,-124.375
246,25 ,41.0,-103.125
247,24 ,38.0,-104.375
248,16 ,46.0,-121.875
249,21 ,45.0,-118.125
250,21 ,38.0,-116.875
251,21 ,34.0,-121.875
252,19 ,35.0,-124.375
253,21 ,48.0,-111.875
254,19 ,35.0,-111.875
255,21 ,41.0,-121.875
256,21 ,38.0,-118.125
257,19 ,34.0,-114.375
258,22 ,41.0,-116.875
259,24 ,32.0,-113.125
260,14 ,41.0,-111.875
261,22 ,34.0,-111.875
262,21 ,33.0,-118.125
263,21 ,34.0,-120.625
264,26 ,39.0,-103.125
265,25 ,34.0,-106.875
266,25 ,35.0,-105.625
267,22 ,34.0,-101.875
268,22 ,49.0,-110.625
269,19 ,49.0,-114.375
270,21 ,39.0,-118.125
271,13 ,49.0,-121.875
272,17 ,41.0,-115.625
273,25 ,41.0,-106.875
274,17 ,40.0,-115.625
275,17 ,34.0,-124.375
276,25 ,38.0,-103.125
277,22 ,35.0,-118.125
278,16 ,46.0,-123.125
279,24 ,43.0,-114.375
280,17 ,43.0,-123.125
281,24 ,46.0,-103.125
282,25 ,45.0,-101.875
283,25 ,34.0,-105.625
284,19 ,35.0,-115.625
285,24 ,33.0,-113.125
286,24 ,49.0,-101.875
287,21 ,35.0,-121.875
288,24 ,34.0,-103.125
289,14 ,48.0,-123.125
290,25 ,43.0,-109.375
