,ELCC,latitude,longitude
0,8 ,36.0,-121.875
1,8 ,34.0,-121.875
2,13 ,47.0,-109.375
3,10 ,44.0,-115.625
4,8 ,37.0,-123.125
5,8 ,35.0,-121.875
6,10 ,45.0,-120.625
7,14 ,32.0,-104.375
8,14 ,46.0,-104.375
9,14 ,41.0,-104.375
10,10 ,40.0,-121.875
11,11 ,38.0,-119.375
12,14 ,38.0,-101.875
13,13 ,42.0,-113.125
14,14 ,35.0,-104.375
15,14 ,35.0,-105.625
16,10 ,46.0,-120.625
17,14 ,44.0,-105.625
18,8 ,37.0,-113.125
19,11 ,35.0,-120.625
20,14 ,32.0,-105.625
21,13 ,42.0,-116.875
22,14 ,45.0,-105.625
23,13 ,39.0,-110.625
24,11 ,44.0,-119.375
25,14 ,42.0,-105.625
26,13 ,35.0,-111.875
27,10 ,36.0,-111.875
28,11 ,47.0,-116.875
29,13 ,40.0,-113.125
30,11 ,46.0,-116.875
31,14 ,40.0,-105.625
32,7 ,43.0,-123.125
33,10 ,38.0,-111.875
34,11 ,45.0,-116.875
35,10 ,47.0,-120.625
36,5 ,48.0,-123.125
37,11 ,41.0,-110.625
38,11 ,32.0,-119.375
39,13 ,44.0,-110.625
40,10 ,37.0,-121.875
41,11 ,34.0,-118.125
42,14 ,47.0,-108.125
43,11 ,35.0,-118.125
44,11 ,43.0,-118.125
45,14 ,35.0,-109.375
46,11 ,40.0,-120.625
47,14 ,36.0,-105.625
48,14 ,47.0,-101.875
49,11 ,41.0,-118.125
50,10 ,49.0,-118.125
51,13 ,42.0,-111.875
52,13 ,43.0,-111.875
53,8 ,32.0,-124.375
54,14 ,32.0,-109.375
55,11 ,45.0,-113.125
56,14 ,45.0,-106.875
57,7 ,38.0,-115.625
58,11 ,42.0,-115.625
59,10 ,38.0,-109.375
60,11 ,42.0,-119.375
61,8 ,36.0,-113.125
62,7 ,46.0,-121.875
63,13 ,32.0,-113.125
64,14 ,35.0,-103.125
65,10 ,39.0,-116.875
66,13 ,49.0,-108.125
67,14 ,36.0,-108.125
68,11 ,34.0,-119.375
69,13 ,35.0,-116.875
70,13 ,32.0,-114.375
71,10 ,36.0,-114.375
72,10 ,46.0,-119.375
73,11 ,48.0,-116.875
74,10 ,39.0,-111.875
75,11 ,34.0,-115.625
76,13 ,43.0,-108.125
77,7 ,46.0,-124.375
78,10 ,41.0,-115.625
79,3 ,49.0,-123.125
80,16 ,40.0,-103.125
81,14 ,39.0,-103.125
82,7 ,38.0,-113.125
83,16 ,41.0,-105.625
84,7 ,42.0,-124.375
85,11 ,39.0,-120.625
86,10 ,38.0,-121.875
87,8 ,48.0,-120.625
88,14 ,44.0,-106.875
89,16 ,39.0,-104.375
90,10 ,39.0,-123.125
91,13 ,44.0,-109.375
92,14 ,46.0,-105.625
93,16 ,38.0,-105.625
94,10 ,39.0,-108.125
95,7 ,32.0,-101.875
96,14 ,48.0,-103.125
97,8 ,36.0,-124.375
98,14 ,39.0,-106.875
99,13 ,34.0,-113.125
100,10 ,40.0,-116.875
101,14 ,37.0,-108.125
102,11 ,41.0,-116.875
103,10 ,44.0,-116.875
