,ELCC,latitude,longitude
0,36 ,35.0,-113.125
1,38 ,40.0,-109.375
2,41 ,34.0,-119.375
3,39 ,32.0,-103.125
4,36 ,49.0,-120.625
5,39 ,43.0,-120.625
6,39 ,39.0,-120.625
7,38 ,41.0,-115.625
8,38 ,47.0,-114.375
9,39 ,44.0,-104.375
10,39 ,43.0,-108.125
11,39 ,49.0,-110.625
12,36 ,47.0,-124.375
13,39 ,47.0,-119.375
14,39 ,38.0,-123.125
15,38 ,34.0,-116.875
16,39 ,47.0,-105.625
17,39 ,43.0,-119.375
18,39 ,37.0,-106.875
19,39 ,41.0,-119.375
20,39 ,49.0,-105.625
21,41 ,44.0,-114.375
22,38 ,48.0,-111.875
23,39 ,41.0,-116.875
24,39 ,44.0,-115.625
25,39 ,45.0,-106.875
26,39 ,32.0,-119.375
27,39 ,43.0,-110.625
28,41 ,44.0,-105.625
29,41 ,34.0,-104.375
30,39 ,46.0,-105.625
31,38 ,46.0,-111.875
32,39 ,42.0,-114.375
33,35 ,38.0,-115.625
34,38 ,35.0,-111.875
35,39 ,46.0,-120.625
36,39 ,42.0,-116.875
37,38 ,35.0,-124.375
38,41 ,47.0,-101.875
39,39 ,34.0,-109.375
40,39 ,38.0,-110.625
41,39 ,32.0,-115.625
42,41 ,41.0,-106.875
43,39 ,44.0,-116.875
44,35 ,41.0,-111.875
45,36 ,39.0,-108.125
46,36 ,46.0,-124.375
47,36 ,38.0,-109.375
48,39 ,46.0,-108.125
49,39 ,40.0,-123.125
50,41 ,32.0,-118.125
51,39 ,38.0,-120.625
52,41 ,44.0,-108.125
53,41 ,44.0,-101.875
54,39 ,35.0,-110.625
55,39 ,39.0,-101.875
56,39 ,49.0,-104.375
57,39 ,43.0,-116.875
58,38 ,46.0,-115.625
59,41 ,35.0,-108.125
60,39 ,42.0,-115.625
61,39 ,44.0,-103.125
62,38 ,38.0,-124.375
63,38 ,36.0,-124.375
64,35 ,36.0,-113.125
65,38 ,37.0,-115.625
66,39 ,48.0,-119.375
67,39 ,37.0,-123.125
68,38 ,45.0,-110.625
69,35 ,48.0,-123.125
70,39 ,35.0,-118.125
71,39 ,35.0,-119.375
72,38 ,48.0,-114.375
73,38 ,49.0,-109.375
74,38 ,39.0,-116.875
75,39 ,45.0,-109.375
76,38 ,34.0,-114.375
77,38 ,47.0,-110.625
78,36 ,35.0,-114.375
79,39 ,44.0,-120.625
80,38 ,45.0,-121.875
81,41 ,33.0,-109.375
82,39 ,45.0,-105.625
83,41 ,39.0,-105.625
84,35 ,37.0,-114.375
85,35 ,49.0,-124.375
86,38 ,34.0,-113.125
87,38 ,41.0,-124.375
88,41 ,33.0,-104.375
89,36 ,40.0,-108.125
90,39 ,44.0,-111.875
91,39 ,35.0,-120.625
92,39 ,43.0,-104.375
93,39 ,37.0,-104.375
94,41 ,38.0,-104.375
95,39 ,41.0,-104.375
96,41 ,32.0,-106.875
97,39 ,39.0,-121.875
98,41 ,42.0,-105.625
99,36 ,48.0,-120.625
100,36 ,46.0,-121.875
101,36 ,45.0,-124.375
102,39 ,35.0,-121.875
103,39 ,43.0,-118.125
104,39 ,33.0,-113.125
105,38 ,39.0,-118.125
106,39 ,48.0,-110.625
107,38 ,49.0,-118.125
108,39 ,45.0,-113.125
109,38 ,49.0,-115.625
110,41 ,35.0,-103.125
111,38 ,34.0,-124.375
112,36 ,40.0,-115.625
113,38 ,39.0,-113.125
114,39 ,33.0,-101.875
115,39 ,33.0,-105.625
116,38 ,47.0,-115.625
117,39 ,36.0,-101.875
118,41 ,40.0,-105.625
119,39 ,34.0,-111.875
120,41 ,42.0,-106.875
121,38 ,48.0,-115.625
122,38 ,49.0,-116.875
123,38 ,37.0,-111.875
124,39 ,46.0,-113.125
125,39 ,38.0,-116.875
126,39 ,45.0,-104.375
127,39 ,33.0,-118.125
128,39 ,41.0,-121.875
129,39 ,42.0,-120.625
130,39 ,34.0,-110.625
131,38 ,43.0,-124.375
132,38 ,45.0,-123.125
133,39 ,43.0,-111.875
134,39 ,47.0,-108.125
135,36 ,36.0,-111.875
136,39 ,33.0,-103.125
137,39 ,37.0,-118.125
138,39 ,37.0,-124.375
139,41 ,34.0,-108.125
140,41 ,41.0,-101.875
141,39 ,40.0,-114.375
142,39 ,40.0,-113.125
143,41 ,49.0,-101.875
144,36 ,48.0,-124.375
145,33 ,38.0,-113.125
146,39 ,41.0,-113.125
147,36 ,39.0,-109.375
148,39 ,36.0,-121.875
149,39 ,43.0,-121.875
150,41 ,35.0,-105.625
151,38 ,44.0,-123.125
152,41 ,43.0,-106.875
153,41 ,45.0,-101.875
154,39 ,47.0,-103.125
155,39 ,49.0,-108.125
156,39 ,45.0,-114.375
157,38 ,32.0,-120.625
158,39 ,49.0,-106.875
159,39 ,44.0,-119.375
160,36 ,37.0,-110.625
161,39 ,45.0,-116.875
162,39 ,45.0,-108.125
163,41 ,35.0,-109.375
164,41 ,33.0,-108.125
165,39 ,36.0,-104.375
166,36 ,32.0,-123.125
167,39 ,36.0,-106.875
168,38 ,35.0,-115.625
169,38 ,36.0,-116.875
170,39 ,45.0,-103.125
171,39 ,41.0,-114.375
