,ELCC,latitude,longitude
0,10 ,38.0,-111.875
1,16 ,33.0,-116.875
2,0 ,48.0,-120.625
3,2 ,39.0,-119.375
4,44 ,32.0,-123.125
5,0 ,49.0,-120.625
6,0 ,49.0,-116.875
7,14 ,44.0,-106.875
8,13 ,41.0,-101.875
9,0 ,45.0,-114.375
10,14 ,47.0,-108.125
11,21 ,34.0,-106.875
12,24 ,35.0,-105.625
13,10 ,32.0,-114.375
14,47 ,36.0,-124.375
15,0 ,47.0,-114.375
16,16 ,37.0,-105.625
17,17 ,42.0,-114.375
18,8 ,41.0,-115.625
19,11 ,32.0,-116.875
20,19 ,33.0,-103.125
21,16 ,32.0,-104.375
22,8 ,42.0,-106.875
23,11 ,36.0,-115.625
24,41 ,40.0,-124.375
25,21 ,43.0,-101.875
26,13 ,35.0,-115.625
27,14 ,37.0,-111.875
28,5 ,39.0,-108.125
29,3 ,40.0,-118.125
30,11 ,46.0,-105.625
31,16 ,47.0,-110.625
32,11 ,41.0,-108.125
33,10 ,36.0,-120.625
34,2 ,42.0,-123.125
35,5 ,38.0,-104.375
36,16 ,37.0,-104.375
37,22 ,37.0,-109.375
38,11 ,35.0,-114.375
39,13 ,43.0,-116.875
40,7 ,42.0,-109.375
41,30 ,41.0,-124.375
42,11 ,37.0,-106.875
43,8 ,39.0,-103.125
44,11 ,39.0,-105.625
45,5 ,47.0,-124.375
46,16 ,42.0,-115.625
47,13 ,47.0,-109.375
48,16 ,49.0,-103.125
49,5 ,33.0,-110.625
50,46 ,39.0,-124.375
51,0 ,49.0,-124.375
52,7 ,39.0,-110.625
53,17 ,36.0,-105.625
54,2 ,38.0,-119.375
55,0 ,45.0,-115.625
56,2 ,47.0,-120.625
57,3 ,43.0,-104.375
58,3 ,47.0,-116.875
59,11 ,36.0,-114.375
60,11 ,34.0,-113.125
61,5 ,39.0,-111.875
62,33 ,34.0,-105.625
63,22 ,33.0,-118.125
64,5 ,40.0,-115.625
65,5 ,40.0,-114.375
66,7 ,43.0,-109.375
67,44 ,32.0,-120.625
68,2 ,41.0,-105.625
69,8 ,40.0,-113.125
70,3 ,48.0,-124.375
71,10 ,48.0,-108.125
72,8 ,48.0,-113.125
73,14 ,37.0,-113.125
74,28 ,34.0,-108.125
75,0 ,49.0,-115.625
76,14 ,32.0,-109.375
77,8 ,40.0,-103.125
78,11 ,46.0,-110.625
79,8 ,44.0,-103.125
80,16 ,38.0,-106.875
81,8 ,40.0,-108.125
82,2 ,43.0,-121.875
83,10 ,36.0,-118.125
84,36 ,34.0,-121.875
85,11 ,36.0,-104.375
86,14 ,45.0,-108.125
87,5 ,41.0,-106.875
88,8 ,44.0,-124.375
89,11 ,35.0,-119.375
90,3 ,46.0,-120.625
91,3 ,45.0,-120.625
92,3 ,40.0,-110.625
93,10 ,42.0,-119.375
94,13 ,48.0,-109.375
95,13 ,36.0,-103.125
96,25 ,36.0,-108.125
97,2 ,40.0,-123.125
98,0 ,47.0,-121.875
99,30 ,35.0,-108.125
100,3 ,44.0,-108.125
101,32 ,36.0,-123.125
102,5 ,38.0,-120.625
103,16 ,33.0,-106.875
104,7 ,46.0,-119.375
105,17 ,48.0,-101.875
106,0 ,49.0,-119.375
107,10 ,49.0,-106.875
108,21 ,35.0,-113.125
109,19 ,33.0,-115.625
110,21 ,34.0,-101.875
111,44 ,33.0,-120.625
112,10 ,45.0,-105.625
113,16 ,47.0,-106.875
114,0 ,47.0,-115.625
115,0 ,46.0,-114.375
116,0 ,44.0,-123.125
117,2 ,41.0,-104.375
118,7 ,33.0,-109.375
119,11 ,37.0,-114.375
120,2 ,40.0,-120.625
121,5 ,39.0,-118.125
122,8 ,46.0,-103.125
123,7 ,38.0,-115.625
124,3 ,41.0,-119.375
125,3 ,46.0,-113.125
126,2 ,49.0,-114.375
127,11 ,47.0,-111.875
128,10 ,45.0,-104.375
129,42 ,32.0,-124.375
130,11 ,43.0,-114.375
131,16 ,43.0,-103.125
132,2 ,40.0,-111.875
133,25 ,34.0,-109.375
134,14 ,36.0,-119.375
135,0 ,47.0,-123.125
136,2 ,46.0,-118.125
137,8 ,44.0,-116.875
138,10 ,49.0,-109.375
139,38 ,35.0,-123.125
140,8 ,40.0,-109.375
141,16 ,44.0,-111.875
142,14 ,47.0,-103.125
143,8 ,46.0,-101.875
144,2 ,40.0,-119.375
145,7 ,41.0,-121.875
146,41 ,33.0,-121.875
147,3 ,47.0,-119.375
148,44 ,32.0,-121.875
149,11 ,37.0,-108.125
150,2 ,45.0,-121.875
151,13 ,46.0,-104.375
152,25 ,34.0,-119.375
153,38 ,49.0,-113.125
154,11 ,36.0,-106.875
155,17 ,33.0,-101.875
156,0 ,48.0,-115.625
157,44 ,33.0,-123.125
158,5 ,32.0,-110.625
159,10 ,43.0,-106.875
160,13 ,42.0,-124.375
161,14 ,34.0,-114.375
162,7 ,39.0,-113.125
163,24 ,35.0,-118.125
164,14 ,48.0,-103.125
165,0 ,48.0,-116.875
166,5 ,45.0,-103.125
167,19 ,32.0,-115.625
168,10 ,38.0,-101.875
169,2 ,45.0,-116.875
170,2 ,39.0,-114.375
171,7 ,47.0,-118.125
172,0 ,46.0,-116.875
173,0 ,45.0,-118.125
174,2 ,42.0,-111.875
175,0 ,41.0,-123.125
