,ELCC,latitude,longitude
0,32 ,32.0,-118.125
1,30 ,38.0,-116.875
2,27 ,41.0,-108.125
3,28 ,47.0,-111.875
4,28 ,44.0,-113.125
5,27 ,42.0,-106.875
6,33 ,49.0,-123.125
7,27 ,45.0,-111.875
8,25 ,36.0,-105.625
9,30 ,33.0,-116.875
10,32 ,35.0,-120.625
11,35 ,46.0,-124.375
12,32 ,46.0,-120.625
13,27 ,39.0,-110.625
14,27 ,44.0,-109.375
15,25 ,34.0,-109.375
16,30 ,38.0,-119.375
17,32 ,40.0,-119.375
18,27 ,33.0,-110.625
19,25 ,46.0,-101.875
20,30 ,37.0,-115.625
21,27 ,37.0,-111.875
22,25 ,39.0,-101.875
23,27 ,32.0,-111.875
24,25 ,37.0,-106.875
25,27 ,47.0,-105.625
26,33 ,43.0,-124.375
27,28 ,47.0,-113.125
28,30 ,35.0,-118.125
29,27 ,36.0,-109.375
30,25 ,35.0,-101.875
31,33 ,49.0,-124.375
32,28 ,40.0,-113.125
33,33 ,33.0,-124.375
34,28 ,33.0,-114.375
35,27 ,43.0,-109.375
36,28 ,34.0,-116.875
37,25 ,46.0,-104.375
38,28 ,38.0,-118.125
39,27 ,38.0,-110.625
40,27 ,36.0,-111.875
41,30 ,45.0,-116.875
42,27 ,38.0,-108.125
43,27 ,38.0,-113.125
44,35 ,41.0,-124.375
45,25 ,40.0,-104.375
46,28 ,43.0,-115.625
47,32 ,49.0,-120.625
48,25 ,32.0,-110.625
49,28 ,34.0,-114.375
50,28 ,39.0,-113.125
51,28 ,36.0,-114.375
52,28 ,38.0,-115.625
53,30 ,35.0,-119.375
54,25 ,45.0,-105.625
55,30 ,41.0,-118.125
56,32 ,32.0,-120.625
57,25 ,34.0,-105.625
58,33 ,40.0,-124.375
59,25 ,36.0,-101.875
60,28 ,43.0,-110.625
61,25 ,38.0,-104.375
62,32 ,48.0,-119.375
63,35 ,47.0,-124.375
64,30 ,42.0,-118.125
65,27 ,45.0,-109.375
66,28 ,33.0,-115.625
67,28 ,34.0,-111.875
68,27 ,45.0,-108.125
69,33 ,44.0,-124.375
70,32 ,44.0,-119.375
71,27 ,43.0,-106.875
72,32 ,44.0,-121.875
73,32 ,42.0,-121.875
74,25 ,40.0,-101.875
75,32 ,33.0,-121.875
76,25 ,35.0,-103.125
77,30 ,36.0,-115.625
78,30 ,42.0,-120.625
79,30 ,49.0,-114.375
80,30 ,45.0,-118.125
81,32 ,41.0,-123.125
82,28 ,49.0,-110.625
83,27 ,38.0,-109.375
84,25 ,34.0,-103.125
85,27 ,44.0,-106.875
86,25 ,43.0,-104.375
87,28 ,37.0,-114.375
88,30 ,49.0,-115.625
89,27 ,44.0,-105.625
90,30 ,39.0,-119.375
91,33 ,35.0,-123.125
92,25 ,37.0,-101.875
93,25 ,34.0,-104.375
94,28 ,39.0,-111.875
95,25 ,33.0,-106.875
96,25 ,33.0,-105.625
97,30 ,36.0,-119.375
98,33 ,39.0,-123.125
99,28 ,41.0,-110.625
100,24 ,34.0,-101.875
101,25 ,38.0,-105.625
102,30 ,43.0,-120.625
103,27 ,35.0,-110.625
104,32 ,41.0,-120.625
105,28 ,34.0,-113.125
106,30 ,35.0,-115.625
107,33 ,34.0,-124.375
108,33 ,47.0,-121.875
109,28 ,33.0,-113.125
110,28 ,48.0,-110.625
111,27 ,46.0,-106.875
112,30 ,47.0,-114.375
113,25 ,47.0,-101.875
114,25 ,32.0,-103.125
115,27 ,35.0,-109.375
116,30 ,41.0,-116.875
117,28 ,46.0,-110.625
118,33 ,45.0,-123.125
119,32 ,34.0,-121.875
120,27 ,47.0,-106.875
121,28 ,45.0,-114.375
122,28 ,32.0,-114.375
123,30 ,36.0,-118.125
124,24 ,37.0,-104.375
125,33 ,33.0,-123.125
126,33 ,38.0,-123.125
127,25 ,45.0,-104.375
128,30 ,46.0,-115.625
129,25 ,34.0,-108.125
130,32 ,33.0,-118.125
131,28 ,48.0,-113.125
132,25 ,39.0,-106.875
133,25 ,40.0,-105.625
134,30 ,46.0,-114.375
135,27 ,47.0,-104.375
136,30 ,48.0,-115.625
137,25 ,46.0,-103.125
138,33 ,46.0,-123.125
139,25 ,39.0,-103.125
140,33 ,45.0,-124.375
141,27 ,49.0,-103.125
142,27 ,35.0,-111.875
143,27 ,42.0,-109.375
144,32 ,45.0,-119.375
145,30 ,42.0,-116.875
146,28 ,41.0,-111.875
147,28 ,42.0,-110.625
148,28 ,37.0,-113.125
149,27 ,49.0,-106.875
150,25 ,35.0,-108.125
151,30 ,44.0,-118.125
152,25 ,40.0,-103.125
153,35 ,39.0,-124.375
154,32 ,46.0,-119.375
155,25 ,48.0,-101.875
156,32 ,46.0,-118.125
157,28 ,41.0,-121.875
158,32 ,44.0,-123.125
159,30 ,47.0,-116.875
160,28 ,43.0,-111.875
161,25 ,36.0,-103.125
162,27 ,44.0,-108.125
163,32 ,36.0,-120.625
164,25 ,42.0,-101.875
165,32 ,42.0,-123.125
166,30 ,32.0,-116.875
167,25 ,38.0,-106.875
168,25 ,38.0,-103.125
169,28 ,35.0,-114.375
170,25 ,39.0,-105.625
171,28 ,44.0,-114.375
172,25 ,33.0,-103.125
173,30 ,39.0,-118.125
174,30 ,44.0,-116.875
175,28 ,44.0,-110.625
176,30 ,46.0,-116.875
177,27 ,49.0,-104.375
178,28 ,47.0,-110.625
179,32 ,34.0,-120.625
180,28 ,41.0,-114.375
181,35 ,48.0,-124.375
182,30 ,37.0,-120.625
183,28 ,42.0,-113.125
184,28 ,32.0,-115.625
185,25 ,47.0,-103.125
186,28 ,40.0,-110.625
187,28 ,45.0,-110.625
188,32 ,32.0,-121.875
189,27 ,47.0,-108.125
190,27 ,37.0,-109.375
191,32 ,33.0,-119.375
192,30 ,34.0,-118.125
193,30 ,36.0,-116.875
194,33 ,37.0,-123.125
195,25 ,32.0,-101.875
196,30 ,34.0,-119.375
197,28 ,46.0,-113.125
198,25 ,44.0,-101.875
199,25 ,37.0,-103.125
200,32 ,45.0,-120.625
201,27 ,45.0,-106.875
202,33 ,45.0,-121.875
203,27 ,48.0,-104.375
204,35 ,37.0,-124.375
205,28 ,42.0,-111.875
206,27 ,39.0,-109.375
207,25 ,43.0,-103.125
208,27 ,49.0,-109.375
209,27 ,42.0,-105.625
210,28 ,46.0,-111.875
211,25 ,43.0,-105.625
212,28 ,48.0,-111.875
213,25 ,45.0,-103.125
214,30 ,33.0,-120.625
215,28 ,42.0,-114.375
216,32 ,37.0,-121.875
217,32 ,44.0,-120.625
218,27 ,36.0,-108.125
219,30 ,49.0,-116.875
220,30 ,43.0,-119.375
221,28 ,38.0,-114.375
222,28 ,40.0,-114.375
223,27 ,42.0,-108.125
224,27 ,43.0,-108.125
225,25 ,42.0,-103.125
226,27 ,35.0,-106.875
227,25 ,37.0,-105.625
228,32 ,47.0,-119.375
229,32 ,43.0,-121.875
230,25 ,49.0,-101.875
231,30 ,47.0,-115.625
232,27 ,49.0,-105.625
233,30 ,43.0,-116.875
234,30 ,40.0,-118.125
235,30 ,42.0,-119.375
236,28 ,40.0,-115.625
237,27 ,41.0,-106.875
238,27 ,37.0,-108.125
239,27 ,32.0,-109.375
240,28 ,41.0,-113.125
241,25 ,42.0,-104.375
242,25 ,44.0,-103.125
243,27 ,34.0,-110.625
244,33 ,38.0,-121.875
245,25 ,41.0,-103.125
246,25 ,33.0,-104.375
247,28 ,43.0,-114.375
248,32 ,36.0,-121.875
249,33 ,48.0,-123.125
250,27 ,39.0,-108.125
251,28 ,49.0,-113.125
252,32 ,39.0,-121.875
253,28 ,37.0,-118.125
254,28 ,37.0,-110.625
255,28 ,32.0,-113.125
256,24 ,33.0,-101.875
257,27 ,48.0,-105.625
258,28 ,39.0,-116.875
259,33 ,40.0,-123.125
260,25 ,48.0,-103.125
261,32 ,47.0,-120.625
262,27 ,40.0,-108.125
263,28 ,35.0,-113.125
264,28 ,48.0,-109.375
265,27 ,32.0,-108.125
266,32 ,40.0,-121.875
267,25 ,32.0,-104.375
268,27 ,40.0,-106.875
269,25 ,36.0,-104.375
270,33 ,32.0,-123.125
271,30 ,48.0,-116.875
272,32 ,39.0,-120.625
273,25 ,32.0,-105.625
274,32 ,35.0,-121.875
275,35 ,35.0,-124.375
276,32 ,41.0,-119.375
277,27 ,48.0,-108.125
278,27 ,36.0,-106.875
279,25 ,32.0,-106.875
280,25 ,41.0,-101.875
281,28 ,36.0,-110.625
282,30 ,41.0,-115.625
283,28 ,44.0,-111.875
284,32 ,40.0,-120.625
285,24 ,38.0,-101.875
286,32 ,32.0,-119.375
287,25 ,39.0,-104.375
288,25 ,45.0,-101.875
289,33 ,42.0,-124.375
290,27 ,44.0,-104.375
291,32 ,49.0,-119.375
292,25 ,33.0,-108.125
293,30 ,45.0,-115.625
294,30 ,48.0,-114.375
295,27 ,40.0,-109.375
296,27 ,34.0,-106.875
297,27 ,46.0,-108.125
298,35 ,38.0,-124.375
299,28 ,47.0,-109.375
300,27 ,46.0,-109.375
301,25 ,35.0,-104.375
302,30 ,37.0,-119.375
303,25 ,41.0,-105.625
304,33 ,34.0,-123.125
305,28 ,44.0,-115.625
306,32 ,38.0,-120.625
307,27 ,46.0,-105.625
308,32 ,49.0,-121.875
309,33 ,47.0,-123.125
310,30 ,47.0,-118.125
311,28 ,42.0,-115.625
312,30 ,40.0,-116.875
313,27 ,49.0,-108.125
314,28 ,39.0,-115.625
315,28 ,49.0,-111.875
316,32 ,48.0,-120.625
317,25 ,35.0,-105.625
318,33 ,46.0,-121.875
319,30 ,48.0,-118.125
320,25 ,33.0,-109.375
321,28 ,35.0,-116.875
322,28 ,43.0,-113.125
323,27 ,38.0,-111.875
324,30 ,37.0,-116.875
