,ELCC,latitude,longitude
0,2 ,36.0,-103.125
1,2 ,32.0,-101.875
2,14 ,33.0,-123.125
3,13 ,44.0,-120.625
4,7 ,36.0,-109.375
5,7 ,35.0,-111.875
6,13 ,36.0,-121.875
7,5 ,47.0,-105.625
8,5 ,44.0,-108.125
9,8 ,39.0,-114.375
10,13 ,41.0,-119.375
11,11 ,41.0,-120.625
12,7 ,44.0,-113.125
13,11 ,42.0,-121.875
14,16 ,48.0,-124.375
15,5 ,46.0,-108.125
16,5 ,46.0,-106.875
17,7 ,38.0,-110.625
18,11 ,49.0,-116.875
19,11 ,39.0,-119.375
20,3 ,33.0,-109.375
21,8 ,39.0,-111.875
22,7 ,32.0,-114.375
23,8 ,48.0,-111.875
24,16 ,34.0,-124.375
25,13 ,44.0,-121.875
26,3 ,45.0,-103.125
27,2 ,33.0,-108.125
28,3 ,40.0,-103.125
29,3 ,41.0,-105.625
30,5 ,48.0,-106.875
31,7 ,39.0,-115.625
32,11 ,33.0,-118.125
33,2 ,33.0,-103.125
34,8 ,42.0,-111.875
35,7 ,34.0,-113.125
36,7 ,36.0,-110.625
37,13 ,40.0,-120.625
38,17 ,39.0,-124.375
39,8 ,41.0,-114.375
40,14 ,46.0,-123.125
41,11 ,47.0,-116.875
42,5 ,46.0,-105.625
43,7 ,37.0,-110.625
44,10 ,37.0,-119.375
45,2 ,37.0,-101.875
46,11 ,46.0,-118.125
47,5 ,42.0,-108.125
48,16 ,32.0,-124.375
49,8 ,40.0,-111.875
50,14 ,46.0,-121.875
51,10 ,38.0,-116.875
52,11 ,42.0,-118.125
53,3 ,42.0,-103.125
54,13 ,46.0,-120.625
55,8 ,46.0,-111.875
56,14 ,45.0,-123.125
57,3 ,41.0,-103.125
58,3 ,44.0,-104.375
59,7 ,34.0,-110.625
60,3 ,42.0,-101.875
61,5 ,38.0,-111.875
62,5 ,43.0,-106.875
63,11 ,33.0,-120.625
64,7 ,45.0,-111.875
65,7 ,37.0,-118.125
66,5 ,32.0,-110.625
67,3 ,44.0,-103.125
68,11 ,36.0,-119.375
69,8 ,35.0,-114.375
70,7 ,48.0,-110.625
71,3 ,37.0,-105.625
72,3 ,44.0,-101.875
73,8 ,45.0,-113.125
74,10 ,36.0,-116.875
75,8 ,39.0,-113.125
76,8 ,42.0,-115.625
77,3 ,46.0,-103.125
78,14 ,44.0,-124.375
79,8 ,38.0,-114.375
80,3 ,38.0,-105.625
81,7 ,42.0,-113.125
82,3 ,46.0,-101.875
83,2 ,35.0,-101.875
84,5 ,49.0,-103.125
85,7 ,43.0,-111.875
86,14 ,35.0,-123.125
87,7 ,41.0,-110.625
88,11 ,41.0,-118.125
89,2 ,40.0,-104.375
90,7 ,41.0,-109.375
91,10 ,40.0,-116.875
92,11 ,44.0,-119.375
93,7 ,36.0,-111.875
94,10 ,46.0,-115.625
95,3 ,47.0,-101.875
96,14 ,47.0,-123.125
97,11 ,42.0,-120.625
98,3 ,32.0,-105.625
99,8 ,49.0,-111.875
100,11 ,37.0,-120.625
101,16 ,41.0,-124.375
