,ELCC,latitude,longitude
0,0 ,47.0,-115.625
1,0 ,40.0,-105.625
2,75 ,35.0,-121.875
3,3 ,39.0,-119.375
4,13 ,41.0,-109.375
5,8 ,41.0,-105.625
6,19 ,35.0,-113.125
7,38 ,49.0,-101.875
8,50 ,35.0,-120.625
9,2 ,39.0,-115.625
10,0 ,48.0,-120.625
11,28 ,45.0,-124.375
12,72 ,32.0,-121.875
13,24 ,47.0,-105.625
14,21 ,41.0,-101.875
15,3 ,37.0,-105.625
16,3 ,46.0,-121.875
17,5 ,46.0,-120.625
18,21 ,42.0,-101.875
19,49 ,38.0,-124.375
20,3 ,36.0,-115.625
21,17 ,34.0,-114.375
22,7 ,40.0,-113.125
23,10 ,38.0,-113.125
24,2 ,41.0,-123.125
25,5 ,40.0,-116.875
26,5 ,35.0,-116.875
27,33 ,33.0,-111.875
28,5 ,39.0,-113.125
29,5 ,41.0,-119.375
30,2 ,43.0,-116.875
31,13 ,47.0,-106.875
32,71 ,33.0,-123.125
33,7 ,46.0,-108.125
34,2 ,38.0,-114.375
35,0 ,40.0,-121.875
36,8 ,48.0,-109.375
37,10 ,37.0,-121.875
38,14 ,36.0,-110.625
39,35 ,39.0,-103.125
40,10 ,44.0,-116.875
41,3 ,32.0,-116.875
42,3 ,41.0,-114.375
43,52 ,36.0,-121.875
44,3 ,45.0,-109.375
45,19 ,42.0,-103.125
46,13 ,45.0,-104.375
47,11 ,48.0,-108.125
48,5 ,43.0,-105.625
49,14 ,42.0,-109.375
50,3 ,38.0,-116.875
51,3 ,41.0,-116.875
52,14 ,45.0,-108.125
53,2 ,39.0,-106.875
54,7 ,36.0,-111.875
55,0 ,36.0,-114.375
56,0 ,49.0,-116.875
57,2 ,39.0,-105.625
58,0 ,36.0,-116.875
59,53 ,38.0,-121.875
60,2 ,42.0,-116.875
61,32 ,34.0,-103.125
62,22 ,43.0,-115.625
63,2 ,40.0,-114.375
64,25 ,33.0,-101.875
65,8 ,44.0,-101.875
66,17 ,33.0,-106.875
67,10 ,35.0,-111.875
68,11 ,44.0,-119.375
69,0 ,49.0,-114.375
70,2 ,45.0,-111.875
71,3 ,41.0,-106.875
72,7 ,36.0,-104.375
73,2 ,40.0,-106.875
74,2 ,48.0,-118.125
75,2 ,46.0,-116.875
76,10 ,36.0,-113.125
77,74 ,34.0,-120.625
78,19 ,40.0,-103.125
79,22 ,32.0,-108.125
80,14 ,46.0,-124.375
81,28 ,44.0,-120.625
82,0 ,46.0,-118.125
83,3 ,37.0,-106.875
84,22 ,32.0,-111.875
85,8 ,38.0,-108.125
86,3 ,44.0,-111.875
87,42 ,38.0,-103.125
88,3 ,43.0,-108.125
89,0 ,49.0,-123.125
90,14 ,35.0,-101.875
91,28 ,47.0,-101.875
92,8 ,35.0,-114.375
93,0 ,47.0,-119.375
94,3 ,45.0,-113.125
95,0 ,49.0,-115.625
96,25 ,49.0,-104.375
97,14 ,48.0,-106.875
98,7 ,45.0,-118.125
99,3 ,41.0,-121.875
100,2 ,40.0,-118.125
101,3 ,43.0,-119.375
102,10 ,46.0,-103.125
103,0 ,43.0,-106.875
104,0 ,39.0,-114.375
105,3 ,49.0,-113.125
106,19 ,41.0,-103.125
107,0 ,48.0,-114.375
108,21 ,36.0,-103.125
109,3 ,36.0,-118.125
110,35 ,32.0,-114.375
111,63 ,32.0,-120.625
112,27 ,33.0,-103.125
113,3 ,34.0,-118.125
114,0 ,49.0,-124.375
115,7 ,44.0,-104.375
116,2 ,37.0,-116.875
117,0 ,41.0,-113.125
118,3 ,41.0,-118.125
