,ELCC,latitude,longitude
0,57 ,41.0,-119.375
1,58 ,36.0,-121.875
2,50 ,48.0,-110.625
3,46 ,39.0,-114.375
4,53 ,48.0,-116.875
5,57 ,47.0,-121.875
6,50 ,41.0,-111.875
7,60 ,42.0,-124.375
8,52 ,39.0,-118.125
9,52 ,49.0,-123.125
10,60 ,39.0,-124.375
11,49 ,40.0,-115.625
12,49 ,38.0,-118.125
13,53 ,47.0,-124.375
14,53 ,48.0,-115.625
15,49 ,44.0,-108.125
16,58 ,35.0,-123.125
17,58 ,45.0,-121.875
18,53 ,32.0,-116.875
19,44 ,34.0,-101.875
20,44 ,39.0,-111.875
21,53 ,42.0,-116.875
22,55 ,39.0,-120.625
23,52 ,46.0,-124.375
24,44 ,36.0,-105.625
25,46 ,32.0,-101.875
26,53 ,37.0,-119.375
27,53 ,46.0,-115.625
28,49 ,40.0,-114.375
29,50 ,36.0,-114.375
30,55 ,32.0,-120.625
31,55 ,37.0,-120.625
32,47 ,49.0,-105.625
33,53 ,33.0,-116.875
34,47 ,37.0,-109.375
35,55 ,49.0,-119.375
36,55 ,41.0,-118.125
37,46 ,37.0,-110.625
38,50 ,33.0,-114.375
39,42 ,34.0,-109.375
40,46 ,47.0,-103.125
41,55 ,41.0,-116.875
42,46 ,38.0,-108.125
43,52 ,46.0,-113.125
44,52 ,33.0,-115.625
45,60 ,44.0,-124.375
46,44 ,34.0,-108.125
47,50 ,38.0,-119.375
48,57 ,48.0,-123.125
49,55 ,43.0,-116.875
50,58 ,32.0,-123.125
51,58 ,37.0,-124.375
52,60 ,43.0,-124.375
53,49 ,43.0,-106.875
54,47 ,37.0,-118.125
55,57 ,43.0,-123.125
56,44 ,33.0,-108.125
57,46 ,41.0,-101.875
58,57 ,34.0,-120.625
59,46 ,42.0,-101.875
60,55 ,39.0,-121.875
61,55 ,44.0,-118.125
62,52 ,42.0,-114.375
63,55 ,47.0,-118.125
64,55 ,42.0,-119.375
65,57 ,42.0,-123.125
66,55 ,40.0,-118.125
67,60 ,36.0,-124.375
68,58 ,46.0,-121.875
69,47 ,34.0,-106.875
70,55 ,39.0,-123.125
