,ELCC,latitude,longitude
0,25 ,32.0,-106.875
1,33 ,47.0,-111.875
2,22 ,38.0,-108.125
3,22 ,34.0,-110.625
4,22 ,34.0,-108.125
5,38 ,47.0,-119.375
6,28 ,45.0,-108.125
7,24 ,36.0,-113.125
8,47 ,41.0,-124.375
9,27 ,37.0,-118.125
10,33 ,49.0,-113.125
11,33 ,47.0,-123.125
12,35 ,49.0,-116.875
13,33 ,42.0,-111.875
14,35 ,48.0,-116.875
15,28 ,42.0,-109.375
16,22 ,32.0,-105.625
17,35 ,49.0,-115.625
18,32 ,45.0,-110.625
19,24 ,43.0,-101.875
20,33 ,44.0,-111.875
21,25 ,41.0,-103.125
22,39 ,48.0,-119.375
23,28 ,48.0,-108.125
24,30 ,33.0,-114.375
25,24 ,37.0,-110.625
26,24 ,38.0,-115.625
27,22 ,32.0,-101.875
28,32 ,33.0,-115.625
29,22 ,32.0,-109.375
30,36 ,45.0,-115.625
31,28 ,42.0,-105.625
32,39 ,44.0,-119.375
33,22 ,35.0,-105.625
34,24 ,39.0,-104.375
35,33 ,47.0,-113.125
36,41 ,42.0,-121.875
37,25 ,39.0,-108.125
38,17 ,34.0,-109.375
39,30 ,49.0,-111.875
40,36 ,37.0,-120.625
41,41 ,33.0,-121.875
42,22 ,32.0,-111.875
43,21 ,36.0,-111.875
44,42 ,32.0,-123.125
45,21 ,36.0,-104.375
46,39 ,41.0,-120.625
47,22 ,38.0,-114.375
48,21 ,37.0,-105.625
49,35 ,48.0,-114.375
50,30 ,36.0,-114.375
51,27 ,34.0,-111.875
52,33 ,36.0,-116.875
53,24 ,38.0,-105.625
54,32 ,46.0,-111.875
55,38 ,39.0,-121.875
56,32 ,34.0,-116.875
57,24 ,47.0,-103.125
58,24 ,38.0,-103.125
59,32 ,43.0,-109.375
60,21 ,36.0,-101.875
61,22 ,35.0,-103.125
62,28 ,40.0,-114.375
63,25 ,40.0,-111.875
64,28 ,43.0,-106.875
65,27 ,41.0,-105.625
66,24 ,39.0,-106.875
67,41 ,45.0,-119.375
68,30 ,34.0,-113.125
69,38 ,40.0,-120.625
70,32 ,35.0,-116.875
71,27 ,40.0,-115.625
72,39 ,38.0,-121.875
73,22 ,37.0,-108.125
74,36 ,43.0,-115.625
75,44 ,44.0,-124.375
76,33 ,49.0,-124.375
77,36 ,40.0,-118.125
78,30 ,49.0,-110.625
79,42 ,33.0,-123.125
80,27 ,40.0,-108.125
81,25 ,47.0,-105.625
82,41 ,35.0,-121.875
83,32 ,35.0,-115.625
84,22 ,36.0,-106.875
85,28 ,37.0,-115.625
