,ELCC,latitude,longitude
0,0 ,48.0,-121.875
1,3 ,39.0,-105.625
2,7 ,36.0,-111.875
3,3 ,38.0,-119.375
4,5 ,34.0,-105.625
5,13 ,43.0,-111.875
6,25 ,42.0,-108.125
7,13 ,42.0,-120.625
8,39 ,43.0,-124.375
9,13 ,41.0,-109.375
10,16 ,42.0,-110.625
11,25 ,43.0,-114.375
12,5 ,48.0,-124.375
13,5 ,47.0,-108.125
14,14 ,45.0,-103.125
15,17 ,45.0,-120.625
16,7 ,36.0,-115.625
17,3 ,48.0,-115.625
18,13 ,41.0,-103.125
19,5 ,45.0,-109.375
20,5 ,44.0,-123.125
21,8 ,47.0,-111.875
22,17 ,33.0,-120.625
23,2 ,34.0,-108.125
24,47 ,37.0,-124.375
25,7 ,37.0,-104.375
26,16 ,36.0,-121.875
27,5 ,44.0,-115.625
28,13 ,37.0,-101.875
29,8 ,43.0,-110.625
30,2 ,40.0,-123.125
31,3 ,41.0,-114.375
32,11 ,37.0,-103.125
33,3 ,40.0,-105.625
34,11 ,38.0,-111.875
35,3 ,46.0,-116.875
36,52 ,41.0,-124.375
37,7 ,41.0,-121.875
38,14 ,37.0,-108.125
39,7 ,37.0,-121.875
40,8 ,42.0,-118.125
41,5 ,37.0,-106.875
42,17 ,44.0,-101.875
43,5 ,46.0,-111.875
44,5 ,34.0,-118.125
45,16 ,49.0,-101.875
46,7 ,47.0,-110.625
47,17 ,45.0,-106.875
48,10 ,36.0,-119.375
49,5 ,42.0,-113.125
50,8 ,47.0,-109.375
51,13 ,39.0,-110.625
52,7 ,34.0,-113.125
53,10 ,47.0,-106.875
54,2 ,39.0,-118.125
55,17 ,36.0,-101.875
56,8 ,39.0,-104.375
57,3 ,32.0,-111.875
58,7 ,35.0,-116.875
59,7 ,33.0,-114.375
60,17 ,43.0,-115.625
61,10 ,40.0,-120.625
62,5 ,40.0,-104.375
63,19 ,38.0,-103.125
64,8 ,39.0,-108.125
65,16 ,35.0,-104.375
66,8 ,41.0,-118.125
67,0 ,45.0,-116.875
68,5 ,48.0,-114.375
69,11 ,34.0,-115.625
70,3 ,42.0,-111.875
71,5 ,47.0,-116.875
72,14 ,49.0,-108.125
73,8 ,33.0,-119.375
74,7 ,44.0,-110.625
75,11 ,40.0,-101.875
76,7 ,36.0,-118.125
77,16 ,42.0,-105.625
78,19 ,36.0,-104.375
79,5 ,38.0,-116.875
80,19 ,46.0,-101.875
81,13 ,44.0,-104.375
82,22 ,49.0,-104.375
83,3 ,38.0,-106.875
84,13 ,41.0,-120.625
85,16 ,46.0,-104.375
86,7 ,48.0,-119.375
87,17 ,45.0,-101.875
88,11 ,41.0,-110.625
89,10 ,43.0,-106.875
90,0 ,38.0,-118.125
91,2 ,49.0,-120.625
92,16 ,44.0,-111.875
93,13 ,33.0,-103.125
94,28 ,42.0,-109.375
95,2 ,34.0,-106.875
96,11 ,39.0,-103.125
97,7 ,33.0,-113.125
98,22 ,38.0,-123.125
99,11 ,41.0,-119.375
100,3 ,40.0,-114.375
101,17 ,43.0,-103.125
102,17 ,45.0,-105.625
103,8 ,32.0,-109.375
104,17 ,36.0,-103.125
105,8 ,37.0,-114.375
106,7 ,45.0,-111.875
107,11 ,32.0,-104.375
108,17 ,47.0,-101.875
109,27 ,34.0,-123.125
110,19 ,44.0,-105.625
111,3 ,32.0,-105.625
112,35 ,45.0,-124.375
113,2 ,32.0,-116.875
114,5 ,45.0,-121.875
115,13 ,35.0,-120.625
116,11 ,38.0,-114.375
117,8 ,41.0,-106.875
118,5 ,40.0,-119.375
119,24 ,48.0,-104.375
120,3 ,35.0,-106.875
121,8 ,49.0,-114.375
122,8 ,36.0,-116.875
123,11 ,43.0,-123.125
124,10 ,38.0,-110.625
125,8 ,46.0,-123.125
126,0 ,41.0,-113.125
127,13 ,43.0,-118.125
128,2 ,47.0,-115.625
129,5 ,39.0,-119.375
130,17 ,48.0,-101.875
131,11 ,48.0,-108.125
132,10 ,44.0,-109.375
133,21 ,49.0,-111.875
134,19 ,46.0,-103.125
135,3 ,46.0,-110.625
136,10 ,41.0,-115.625
137,5 ,43.0,-121.875
138,14 ,39.0,-109.375
139,21 ,42.0,-119.375
140,11 ,42.0,-116.875
141,19 ,49.0,-103.125
142,16 ,48.0,-106.875
143,10 ,35.0,-113.125
144,2 ,40.0,-113.125
145,2 ,44.0,-116.875
146,11 ,38.0,-104.375
147,5 ,37.0,-115.625
148,22 ,48.0,-103.125
149,3 ,47.0,-114.375
150,16 ,32.0,-120.625
151,8 ,43.0,-108.125
152,24 ,46.0,-119.375
153,21 ,32.0,-121.875
154,7 ,36.0,-114.375
155,25 ,35.0,-123.125
156,10 ,37.0,-113.125
157,3 ,41.0,-123.125
158,10 ,36.0,-120.625
159,17 ,44.0,-120.625
160,5 ,46.0,-113.125
161,11 ,41.0,-108.125
162,22 ,40.0,-109.375
163,7 ,45.0,-123.125
164,2 ,49.0,-118.125
165,3 ,40.0,-118.125
166,25 ,46.0,-120.625
167,8 ,44.0,-106.875
168,13 ,49.0,-109.375
169,14 ,43.0,-104.375
170,11 ,36.0,-108.125
171,17 ,40.0,-110.625
172,14 ,44.0,-103.125
173,2 ,49.0,-119.375
174,14 ,35.0,-118.125
175,5 ,35.0,-111.875
176,8 ,43.0,-116.875
177,7 ,41.0,-101.875
178,13 ,47.0,-120.625
179,16 ,34.0,-104.375
180,16 ,42.0,-115.625
181,10 ,46.0,-118.125
182,3 ,33.0,-106.875
183,8 ,40.0,-103.125
184,8 ,35.0,-114.375
185,7 ,39.0,-115.625
186,5 ,40.0,-111.875
187,5 ,46.0,-108.125
188,19 ,49.0,-106.875
189,3 ,40.0,-106.875
190,11 ,41.0,-105.625
191,3 ,33.0,-108.125
192,5 ,39.0,-120.625
193,16 ,37.0,-109.375
194,38 ,44.0,-124.375
195,13 ,39.0,-113.125
196,7 ,45.0,-108.125
197,16 ,33.0,-104.375
198,3 ,35.0,-119.375
199,22 ,48.0,-105.625
200,14 ,47.0,-105.625
201,3 ,32.0,-106.875
202,13 ,48.0,-110.625
203,14 ,32.0,-114.375
204,16 ,48.0,-111.875
205,2 ,49.0,-116.875
206,8 ,34.0,-114.375
207,8 ,48.0,-118.125
208,25 ,49.0,-105.625
209,5 ,48.0,-120.625
210,22 ,35.0,-121.875
211,8 ,45.0,-114.375
212,3 ,35.0,-105.625
213,7 ,47.0,-113.125
214,24 ,36.0,-123.125
215,11 ,40.0,-108.125
216,2 ,46.0,-114.375
217,3 ,45.0,-110.625
218,10 ,32.0,-119.375
219,14 ,32.0,-103.125
220,24 ,33.0,-124.375
221,10 ,42.0,-121.875
222,7 ,36.0,-110.625
223,7 ,32.0,-115.625
224,13 ,43.0,-119.375
225,17 ,42.0,-104.375
226,8 ,44.0,-118.125
227,8 ,44.0,-108.125
228,10 ,48.0,-109.375
229,19 ,32.0,-124.375
230,5 ,38.0,-105.625
231,3 ,35.0,-108.125
232,7 ,33.0,-111.875
233,10 ,44.0,-114.375
234,16 ,34.0,-120.625
235,35 ,35.0,-124.375
236,8 ,48.0,-116.875
237,10 ,35.0,-115.625
238,60 ,40.0,-124.375
239,3 ,37.0,-105.625
240,8 ,39.0,-121.875
241,3 ,37.0,-119.375
242,8 ,48.0,-113.125
243,2 ,39.0,-116.875
244,17 ,42.0,-106.875
245,10 ,40.0,-116.875
246,8 ,34.0,-111.875
247,10 ,45.0,-113.125
248,3 ,36.0,-109.375
249,24 ,46.0,-124.375
250,5 ,44.0,-121.875
251,3 ,33.0,-118.125
252,5 ,36.0,-106.875
253,8 ,39.0,-111.875
254,11 ,46.0,-105.625
255,19 ,35.0,-101.875
256,0 ,48.0,-123.125
257,7 ,36.0,-113.125
258,3 ,35.0,-109.375
259,32 ,43.0,-113.125
260,3 ,32.0,-108.125
261,24 ,47.0,-103.125
262,16 ,47.0,-118.125
263,14 ,38.0,-109.375
264,5 ,49.0,-115.625
265,10 ,37.0,-110.625
266,16 ,44.0,-113.125
267,30 ,34.0,-124.375
268,16 ,49.0,-110.625
269,13 ,42.0,-114.375
270,0 ,49.0,-121.875
271,11 ,38.0,-120.625
272,10 ,42.0,-101.875
273,8 ,43.0,-120.625
274,8 ,40.0,-121.875
275,38 ,38.0,-121.875
276,16 ,45.0,-104.375
277,3 ,39.0,-123.125
278,24 ,33.0,-123.125
279,11 ,41.0,-116.875
280,3 ,45.0,-115.625
281,14 ,34.0,-103.125
282,11 ,33.0,-110.625
283,7 ,38.0,-108.125
284,21 ,32.0,-123.125
285,14 ,43.0,-101.875
286,7 ,46.0,-121.875
287,22 ,34.0,-121.875
288,17 ,39.0,-101.875
289,0 ,49.0,-123.125
290,8 ,33.0,-109.375
291,3 ,32.0,-118.125
292,5 ,40.0,-115.625
293,24 ,37.0,-123.125
294,3 ,39.0,-106.875
295,5 ,33.0,-105.625
296,10 ,44.0,-119.375
297,0 ,46.0,-115.625
298,22 ,33.0,-121.875
299,2 ,34.0,-119.375
300,11 ,45.0,-119.375
301,19 ,43.0,-109.375
302,3 ,47.0,-123.125
303,5 ,33.0,-116.875
304,10 ,42.0,-103.125
305,17 ,35.0,-103.125
306,5 ,32.0,-113.125
307,16 ,34.0,-101.875
308,13 ,33.0,-101.875
309,10 ,47.0,-119.375
310,57 ,39.0,-124.375
311,2 ,34.0,-109.375
312,7 ,46.0,-106.875
313,19 ,37.0,-111.875
314,3 ,36.0,-105.625
315,10 ,38.0,-113.125
316,7 ,39.0,-114.375
317,7 ,45.0,-118.125
318,7 ,32.0,-110.625
319,49 ,42.0,-124.375
320,13 ,32.0,-101.875
321,13 ,37.0,-116.875
322,8 ,33.0,-115.625
323,0 ,37.0,-118.125
324,17 ,38.0,-101.875
325,8 ,38.0,-115.625
326,7 ,34.0,-116.875
327,3 ,47.0,-121.875
328,19 ,47.0,-104.375
329,21 ,41.0,-104.375
330,2 ,41.0,-111.875
331,13 ,37.0,-120.625
332,13 ,43.0,-105.625
333,3 ,46.0,-109.375
334,0 ,49.0,-124.375
335,5 ,34.0,-110.625
336,22 ,47.0,-124.375
337,57 ,38.0,-124.375
338,24 ,49.0,-113.125
339,41 ,36.0,-124.375
340,7 ,35.0,-110.625
341,7 ,42.0,-123.125
