,ELCC,latitude,longitude
0,14 ,45.0,-104.375
1,11 ,47.0,-109.375
2,10 ,39.0,-109.375
3,13 ,43.0,-104.375
4,28 ,38.0,-103.125
5,50 ,33.0,-123.125
6,10 ,34.0,-114.375
7,25 ,33.0,-119.375
8,19 ,47.0,-103.125
9,8 ,35.0,-106.875
10,11 ,43.0,-108.125
11,17 ,48.0,-101.875
12,0 ,49.0,-116.875
13,0 ,40.0,-105.625
14,2 ,48.0,-114.375
15,7 ,38.0,-111.875
16,7 ,33.0,-106.875
17,3 ,34.0,-109.375
18,11 ,39.0,-121.875
19,7 ,35.0,-111.875
20,24 ,36.0,-101.875
21,2 ,47.0,-121.875
22,22 ,33.0,-103.125
23,16 ,47.0,-106.875
24,24 ,37.0,-120.625
25,25 ,34.0,-101.875
26,13 ,38.0,-115.625
27,8 ,41.0,-110.625
28,16 ,48.0,-110.625
29,28 ,33.0,-101.875
30,14 ,43.0,-115.625
31,14 ,48.0,-106.875
32,7 ,45.0,-118.125
33,10 ,33.0,-110.625
34,5 ,44.0,-121.875
35,50 ,34.0,-124.375
36,17 ,40.0,-103.125
37,7 ,34.0,-110.625
38,0 ,46.0,-115.625
39,17 ,45.0,-103.125
40,10 ,33.0,-109.375
41,5 ,34.0,-108.125
42,28 ,38.0,-101.875
43,3 ,39.0,-105.625
44,35 ,36.0,-121.875
45,22 ,35.0,-103.125
46,2 ,47.0,-114.375
47,13 ,36.0,-114.375
48,11 ,39.0,-115.625
49,8 ,39.0,-111.875
50,3 ,49.0,-114.375
51,16 ,44.0,-120.625
52,21 ,40.0,-101.875
53,5 ,47.0,-118.125
54,13 ,48.0,-109.375
55,28 ,45.0,-124.375
56,16 ,41.0,-101.875
57,10 ,33.0,-111.875
58,13 ,32.0,-113.125
59,5 ,33.0,-108.125
60,3 ,47.0,-119.375
61,13 ,48.0,-108.125
62,16 ,49.0,-106.875
63,14 ,40.0,-104.375
64,11 ,45.0,-108.125
65,21 ,42.0,-109.375
66,11 ,36.0,-120.625
67,5 ,36.0,-105.625
68,22 ,35.0,-120.625
69,7 ,37.0,-110.625
70,11 ,38.0,-120.625
71,0 ,49.0,-121.875
72,14 ,42.0,-115.625
73,21 ,47.0,-101.875
74,13 ,32.0,-108.125
75,8 ,35.0,-108.125
76,13 ,38.0,-113.125
77,47 ,36.0,-123.125
78,8 ,45.0,-123.125
79,46 ,32.0,-121.875
80,5 ,47.0,-113.125
81,2 ,38.0,-106.875
82,10 ,33.0,-115.625
83,13 ,41.0,-104.375
84,50 ,35.0,-123.125
85,14 ,36.0,-104.375
86,19 ,47.0,-104.375
87,28 ,32.0,-101.875
88,2 ,41.0,-123.125
89,7 ,36.0,-111.875
90,53 ,37.0,-124.375
91,19 ,46.0,-103.125
92,10 ,41.0,-115.625
93,10 ,36.0,-108.125
94,10 ,41.0,-116.875
95,22 ,35.0,-116.875
96,5 ,42.0,-111.875
97,38 ,33.0,-120.625
98,8 ,46.0,-119.375
99,5 ,40.0,-111.875
100,17 ,41.0,-103.125
101,0 ,49.0,-120.625
102,8 ,44.0,-106.875
103,7 ,47.0,-111.875
104,53 ,40.0,-124.375
105,3 ,41.0,-106.875
106,10 ,42.0,-105.625
107,53 ,38.0,-124.375
108,2 ,49.0,-115.625
109,14 ,49.0,-109.375
110,8 ,41.0,-118.125
