,ELCC,latitude,longitude
0,7 ,49.0,-108.125
1,3 ,47.0,-113.125
2,3 ,34.0,-109.375
3,10 ,46.0,-104.375
4,19 ,32.0,-103.125
5,0 ,49.0,-124.375
6,24 ,34.0,-121.875
7,3 ,32.0,-116.875
8,28 ,35.0,-124.375
9,0 ,46.0,-115.625
10,14 ,39.0,-103.125
11,3 ,37.0,-105.625
12,3 ,45.0,-113.125
13,5 ,37.0,-113.125
14,13 ,34.0,-104.375
15,7 ,45.0,-123.125
16,8 ,45.0,-119.375
17,10 ,41.0,-103.125
18,2 ,48.0,-114.375
19,5 ,39.0,-110.625
20,7 ,32.0,-108.125
21,7 ,41.0,-115.625
22,5 ,49.0,-113.125
23,0 ,48.0,-121.875
24,14 ,37.0,-103.125
25,3 ,33.0,-106.875
26,7 ,33.0,-111.875
27,0 ,49.0,-119.375
28,10 ,40.0,-116.875
29,5 ,43.0,-110.625
30,3 ,44.0,-121.875
31,5 ,41.0,-109.375
32,3 ,36.0,-105.625
33,7 ,34.0,-113.125
34,7 ,44.0,-119.375
35,3 ,44.0,-106.875
36,3 ,45.0,-111.875
37,2 ,39.0,-105.625
38,16 ,34.0,-101.875
39,11 ,41.0,-120.625
40,8 ,40.0,-104.375
41,3 ,35.0,-111.875
42,25 ,35.0,-123.125
43,7 ,43.0,-115.625
44,8 ,33.0,-113.125
45,8 ,43.0,-123.125
46,3 ,42.0,-111.875
47,7 ,42.0,-113.125
48,8 ,48.0,-111.875
49,10 ,42.0,-110.625
50,10 ,46.0,-105.625
51,19 ,32.0,-120.625
52,3 ,33.0,-108.125
53,8 ,42.0,-116.875
54,0 ,48.0,-116.875
55,5 ,40.0,-121.875
56,7 ,41.0,-118.125
57,5 ,36.0,-110.625
58,17 ,36.0,-121.875
59,13 ,36.0,-101.875
60,7 ,41.0,-108.125
61,5 ,32.0,-110.625
62,10 ,38.0,-115.625
63,3 ,45.0,-109.375
64,25 ,33.0,-124.375
65,7 ,48.0,-106.875
66,3 ,36.0,-111.875
67,13 ,36.0,-103.125
