,ELCC,latitude,longitude
0,16 ,48.0,-119.375
1,10 ,33.0,-110.625
2,35 ,32.0,-119.375
3,27 ,49.0,-103.125
4,5 ,44.0,-123.125
5,9 ,39.0,-119.375
6,22 ,49.0,-113.125
7,13 ,36.0,-115.625
8,8 ,45.0,-106.875
9,7 ,49.0,-120.625
10,2 ,40.0,-105.625
11,16 ,39.0,-101.875
12,5 ,45.0,-114.375
13,3 ,41.0,-114.375
14,5 ,39.0,-116.875
15,24 ,48.0,-101.875
16,13 ,40.0,-104.375
17,60 ,35.0,-124.375
18,22 ,37.0,-120.625
19,10 ,36.0,-119.375
20,13 ,47.0,-109.375
21,7 ,44.0,-114.375
22,5 ,41.0,-115.625
23,3 ,47.0,-121.875
24,3 ,38.0,-108.125
25,7 ,40.0,-120.625
26,5 ,49.0,-115.625
27,24 ,49.0,-111.875
28,8 ,39.0,-109.375
29,2 ,36.0,-111.875
30,10 ,43.0,-123.125
31,7 ,45.0,-111.875
32,11 ,35.0,-108.125
33,58 ,40.0,-124.375
34,58 ,34.0,-124.375
35,2 ,44.0,-115.625
36,24 ,44.0,-101.875
37,8 ,34.0,-116.875
38,0 ,41.0,-111.875
39,7 ,36.0,-113.125
40,11 ,36.0,-105.625
41,2 ,33.0,-115.625
42,8 ,46.0,-108.125
43,10 ,41.0,-103.125
44,7 ,39.0,-113.125
45,28 ,42.0,-109.375
46,14 ,41.0,-109.375
47,27 ,44.0,-120.625
48,21 ,33.0,-104.375
49,14 ,44.0,-108.125
50,14 ,36.0,-116.875
51,3 ,41.0,-121.875
52,14 ,42.0,-119.375
53,16 ,47.0,-106.875
54,3 ,47.0,-115.625
55,10 ,48.0,-124.375
56,7 ,47.0,-116.875
57,14 ,37.0,-108.125
58,14 ,37.0,-104.375
59,11 ,32.0,-114.375
60,2 ,40.0,-114.375
61,10 ,43.0,-105.625
62,2 ,37.0,-119.375
63,33 ,36.0,-121.875
64,5 ,45.0,-108.125
65,4 ,44.0,-106.875
66,10 ,46.0,-110.625
67,8 ,39.0,-121.875
68,8 ,46.0,-116.875
69,60 ,37.0,-124.375
70,8 ,41.0,-108.125
71,7 ,36.0,-110.625
72,22 ,48.0,-106.875
73,16 ,33.0,-113.125
74,2 ,35.0,-111.875
75,13 ,34.0,-119.375
76,8 ,46.0,-113.125
77,14 ,42.0,-110.625
78,11 ,42.0,-101.875
79,10 ,38.0,-114.375
80,24 ,48.0,-110.625
81,28 ,35.0,-104.375
82,3 ,40.0,-119.375
83,14 ,45.0,-105.625
84,13 ,43.0,-109.375
85,8 ,38.0,-113.125
86,25 ,42.0,-108.125
87,46 ,33.0,-120.625
88,7 ,48.0,-115.625
89,3 ,39.0,-108.125
90,8 ,41.0,-116.875
91,8 ,37.0,-114.375
92,16 ,33.0,-101.875
93,58 ,35.0,-121.875
94,19 ,48.0,-108.125
95,10 ,46.0,-109.375
96,7 ,35.0,-110.625
97,16 ,38.0,-116.875
98,16 ,38.0,-115.625
99,19 ,46.0,-104.375
100,10 ,41.0,-120.625
101,7 ,45.0,-121.875
102,5 ,41.0,-106.875
103,27 ,37.0,-103.125
104,14 ,47.0,-111.875
105,2 ,48.0,-121.875
106,5 ,47.0,-123.125
107,5 ,40.0,-115.625
108,8 ,43.0,-118.125
109,3 ,49.0,-118.125
110,8 ,37.0,-106.875
111,8 ,41.0,-104.375
112,8 ,33.0,-116.875
113,7 ,39.0,-111.875
114,14 ,42.0,-105.625
115,10 ,40.0,-109.375
116,19 ,35.0,-105.625
117,7 ,41.0,-110.625
118,16 ,43.0,-111.875
119,25 ,47.0,-103.125
120,22 ,46.0,-101.875
121,5 ,39.0,-110.625
122,11 ,35.0,-109.375
123,13 ,41.0,-101.875
124,16 ,35.0,-118.125
125,30 ,44.0,-124.375
126,19 ,49.0,-106.875
127,24 ,36.0,-103.125
128,17 ,37.0,-115.625
129,3 ,36.0,-114.375
130,11 ,38.0,-120.625
131,10 ,44.0,-104.375
132,5 ,33.0,-108.125
133,13 ,32.0,-116.875
134,61 ,39.0,-124.375
135,3 ,45.0,-116.875
136,3 ,38.0,-111.875
137,24 ,35.0,-103.125
138,5 ,41.0,-119.375
139,3 ,42.0,-111.875
140,16 ,46.0,-105.625
141,3 ,34.0,-110.625
142,14 ,37.0,-111.875
143,19 ,49.0,-108.125
144,7 ,35.0,-115.625
145,13 ,47.0,-110.625
146,8 ,42.0,-104.375
147,11 ,35.0,-114.375
148,3 ,40.0,-111.875
149,8 ,40.0,-116.875
150,8 ,36.0,-106.875
151,53 ,32.0,-123.125
152,7 ,37.0,-105.625
153,17 ,48.0,-113.125
154,21 ,36.0,-101.875
155,2 ,34.0,-109.375
156,0 ,37.0,-118.125
157,13 ,44.0,-119.375
158,16 ,43.0,-106.875
159,3 ,34.0,-118.125
160,5 ,44.0,-121.875
161,25 ,45.0,-120.625
162,8 ,38.0,-109.375
163,36 ,33.0,-119.375
164,8 ,48.0,-114.375
165,13 ,40.0,-101.875
166,22 ,49.0,-105.625
167,36 ,42.0,-124.375
168,25 ,45.0,-103.125
169,21 ,32.0,-108.125
170,19 ,32.0,-103.125
171,2 ,49.0,-124.375
172,7 ,38.0,-106.875
173,25 ,34.0,-104.375
174,58 ,33.0,-123.125
175,11 ,33.0,-111.875
176,17 ,38.0,-104.375
177,14 ,43.0,-120.625
178,8 ,36.0,-108.125
179,13 ,33.0,-105.625
180,7 ,40.0,-110.625
181,21 ,49.0,-109.375
182,2 ,40.0,-106.875
183,7 ,43.0,-110.625
184,11 ,40.0,-103.125
185,22 ,43.0,-108.125
186,3 ,39.0,-120.625
187,7 ,39.0,-105.625
188,16 ,43.0,-119.375
189,24 ,45.0,-101.875
190,16 ,32.0,-104.375
191,10 ,47.0,-113.125
192,6 ,41.0,-105.625
193,19 ,32.0,-111.875
194,53 ,33.0,-121.875
195,57 ,34.0,-121.875
196,7 ,36.0,-120.625
197,25 ,47.0,-124.375
198,24 ,37.0,-116.875
199,21 ,47.0,-119.375
200,17 ,32.0,-101.875
201,7 ,42.0,-113.125
202,10 ,46.0,-123.125
203,17 ,38.0,-103.125
204,21 ,34.0,-103.125
205,8 ,36.0,-109.375
206,2 ,49.0,-121.875
207,19 ,35.0,-101.875
208,7 ,39.0,-123.125
209,8 ,44.0,-109.375
210,5 ,35.0,-106.875
211,11 ,44.0,-113.125
212,16 ,35.0,-116.875
213,60 ,35.0,-123.125
214,8 ,36.0,-118.125
215,3 ,48.0,-123.125
216,8 ,43.0,-104.375
217,13 ,43.0,-115.625
218,22 ,49.0,-110.625
219,3 ,43.0,-121.875
220,3 ,45.0,-110.625
221,11 ,46.0,-106.875
222,3 ,39.0,-115.625
223,7 ,48.0,-116.875
224,10 ,33.0,-114.375
225,8 ,42.0,-114.375
226,5 ,34.0,-115.625
227,14 ,43.0,-114.375
228,16 ,32.0,-109.375
229,13 ,34.0,-106.875
230,58 ,36.0,-123.125
231,57 ,33.0,-124.375
232,24 ,47.0,-101.875
233,16 ,45.0,-104.375
234,25 ,48.0,-103.125
235,16 ,47.0,-108.125
236,10 ,34.0,-111.875
237,17 ,33.0,-103.125
238,11 ,42.0,-120.625
239,19 ,32.0,-106.875
240,11 ,45.0,-113.125
241,21 ,48.0,-105.625
242,14 ,47.0,-120.625
243,25 ,48.0,-111.875
244,3 ,44.0,-110.625
245,5 ,38.0,-110.625
246,10 ,34.0,-108.125
247,1 ,49.0,-123.125
248,8 ,43.0,-116.875
249,2 ,49.0,-116.875
250,3 ,46.0,-115.625
251,30 ,46.0,-124.375
252,10 ,45.0,-123.125
253,27 ,49.0,-104.375
254,8 ,46.0,-121.875
255,5 ,38.0,-119.375
256,13 ,44.0,-111.875
257,13 ,42.0,-115.625
258,5 ,40.0,-108.125
259,21 ,47.0,-104.375
260,22 ,32.0,-118.125
261,11 ,44.0,-116.875
262,60 ,36.0,-124.375
263,16 ,45.0,-119.375
264,35 ,45.0,-124.375
265,7 ,41.0,-118.125
266,7 ,40.0,-121.875
267,5 ,37.0,-121.875
268,11 ,44.0,-118.125
269,10 ,43.0,-103.125
270,27 ,38.0,-101.875
271,19 ,47.0,-105.625
272,2 ,45.0,-115.625
273,5 ,47.0,-114.375
274,7 ,49.0,-119.375
275,0 ,40.0,-123.125
276,55 ,37.0,-123.125
277,3 ,37.0,-110.625
278,21 ,42.0,-106.875
279,24 ,49.0,-101.875
280,14 ,32.0,-110.625
281,13 ,44.0,-105.625
282,21 ,33.0,-106.875
283,17 ,34.0,-105.625
284,7 ,37.0,-109.375
285,13 ,48.0,-109.375
286,24 ,37.0,-101.875
287,27 ,46.0,-103.125
288,3 ,41.0,-113.125
289,13 ,48.0,-118.125
290,16 ,34.0,-101.875
291,10 ,34.0,-113.125
292,11 ,39.0,-104.375
293,5 ,45.0,-118.125
294,30 ,36.0,-104.375
295,7 ,42.0,-123.125
296,10 ,35.0,-113.125
297,25 ,48.0,-104.375
298,13 ,44.0,-103.125
299,11 ,43.0,-101.875
300,7 ,34.0,-114.375
301,10 ,42.0,-116.875
302,5 ,39.0,-118.125
303,22 ,46.0,-120.625
304,60 ,34.0,-123.125
305,22 ,46.0,-119.375
306,5 ,35.0,-119.375
307,8 ,42.0,-121.875
308,2 ,39.0,-114.375
309,8 ,38.0,-105.625
310,5 ,40.0,-113.125
311,10 ,49.0,-114.375
312,49 ,41.0,-124.375
313,35 ,38.0,-121.875
314,11 ,33.0,-109.375
315,7 ,45.0,-109.375
316,44 ,34.0,-120.625
317,14 ,39.0,-103.125
318,17 ,32.0,-105.625
319,5 ,42.0,-118.125
320,16 ,35.0,-120.625
321,5 ,40.0,-118.125
322,11 ,46.0,-118.125
323,44 ,32.0,-120.625
324,25 ,43.0,-124.375
325,3 ,38.0,-118.125
326,63 ,38.0,-124.375
327,8 ,48.0,-120.625
328,10 ,42.0,-103.125
329,53 ,38.0,-123.125
330,13 ,33.0,-118.125
331,5 ,32.0,-115.625
332,2 ,41.0,-123.125
333,10 ,37.0,-113.125
334,21 ,43.0,-113.125
335,52 ,32.0,-121.875
336,5 ,39.0,-106.875
337,3 ,46.0,-114.375
338,53 ,32.0,-124.375
339,22 ,47.0,-118.125
340,11 ,46.0,-111.875
341,14 ,32.0,-113.125
