,ELCC,latitude,longitude
0,32 ,44.0,-123.125
1,49 ,36.0,-121.875
2,42 ,44.0,-101.875
3,30 ,39.0,-108.125
4,35 ,41.0,-101.875
5,42 ,32.0,-118.125
6,38 ,47.0,-120.625
7,38 ,46.0,-104.375
8,38 ,34.0,-101.875
9,35 ,47.0,-113.125
10,41 ,35.0,-103.125
11,30 ,41.0,-113.125
12,33 ,36.0,-110.625
13,32 ,40.0,-121.875
14,30 ,38.0,-111.875
15,42 ,48.0,-101.875
16,33 ,36.0,-120.625
17,50 ,42.0,-124.375
18,50 ,33.0,-119.375
19,39 ,47.0,-119.375
20,36 ,43.0,-109.375
21,42 ,42.0,-108.125
22,39 ,49.0,-106.875
23,33 ,46.0,-116.875
24,55 ,33.0,-120.625
25,39 ,47.0,-105.625
26,39 ,34.0,-103.125
27,33 ,48.0,-120.625
28,35 ,42.0,-101.875
29,42 ,45.0,-103.125
30,30 ,33.0,-115.625
31,33 ,42.0,-103.125
32,36 ,42.0,-115.625
33,38 ,39.0,-101.875
34,44 ,48.0,-111.875
35,41 ,49.0,-105.625
36,32 ,41.0,-106.875
37,42 ,47.0,-103.125
38,30 ,44.0,-110.625
39,41 ,33.0,-106.875
40,38 ,32.0,-113.125
41,36 ,37.0,-111.875
42,66 ,38.0,-124.375
43,44 ,45.0,-120.625
44,39 ,49.0,-108.125
45,44 ,47.0,-124.375
46,60 ,32.0,-124.375
47,35 ,46.0,-106.875
48,33 ,49.0,-119.375
49,30 ,38.0,-108.125
50,35 ,45.0,-123.125
51,32 ,46.0,-114.375
52,38 ,35.0,-116.875
53,35 ,37.0,-113.125
54,49 ,45.0,-124.375
55,35 ,42.0,-121.875
56,35 ,38.0,-114.375
57,38 ,38.0,-116.875
58,32 ,40.0,-113.125
59,28 ,37.0,-118.125
60,33 ,36.0,-109.375
61,38 ,43.0,-106.875
62,44 ,42.0,-109.375
63,33 ,45.0,-121.875
64,32 ,40.0,-108.125
65,33 ,46.0,-121.875
66,36 ,35.0,-114.375
67,35 ,44.0,-113.125
68,38 ,43.0,-111.875
69,30 ,40.0,-106.875
70,36 ,38.0,-120.625
71,30 ,40.0,-123.125
72,38 ,48.0,-113.125
73,41 ,32.0,-111.875
74,36 ,39.0,-103.125
75,33 ,46.0,-108.125
76,33 ,37.0,-106.875
77,66 ,37.0,-124.375
78,30 ,46.0,-115.625
79,35 ,49.0,-114.375
80,36 ,43.0,-115.625
81,42 ,36.0,-103.125
82,30 ,36.0,-111.875
83,38 ,48.0,-119.375
84,32 ,34.0,-115.625
85,32 ,45.0,-114.375
86,35 ,39.0,-119.375
87,33 ,37.0,-114.375
88,30 ,41.0,-123.125
89,35 ,35.0,-108.125
90,46 ,36.0,-104.375
91,33 ,38.0,-109.375
92,38 ,42.0,-110.625
93,33 ,38.0,-113.125
94,41 ,36.0,-101.875
95,32 ,39.0,-120.625
96,30 ,34.0,-109.375
97,35 ,33.0,-116.875
98,38 ,38.0,-103.125
99,30 ,39.0,-115.625
100,32 ,41.0,-115.625
101,33 ,35.0,-113.125
102,36 ,36.0,-105.625
103,38 ,43.0,-119.375
104,39 ,34.0,-105.625
105,35 ,43.0,-105.625
106,42 ,37.0,-101.875
107,44 ,49.0,-103.125
108,41 ,46.0,-101.875
109,44 ,46.0,-103.125
110,38 ,33.0,-101.875
111,33 ,44.0,-109.375
112,35 ,34.0,-113.125
113,36 ,44.0,-119.375
114,32 ,40.0,-119.375
115,44 ,34.0,-104.375
116,33 ,43.0,-104.375
117,30 ,40.0,-114.375
118,42 ,48.0,-103.125
119,61 ,32.0,-123.125
120,35 ,42.0,-116.875
121,36 ,35.0,-109.375
122,32 ,32.0,-115.625
123,35 ,41.0,-103.125
124,63 ,34.0,-121.875
125,30 ,35.0,-111.875
126,39 ,32.0,-106.875
127,33 ,39.0,-123.125
128,41 ,43.0,-113.125
129,36 ,37.0,-108.125
130,36 ,47.0,-110.625
131,30 ,37.0,-110.625
132,38 ,37.0,-104.375
133,36 ,34.0,-119.375
134,38 ,32.0,-101.875
135,61 ,38.0,-123.125
136,32 ,43.0,-121.875
137,30 ,40.0,-111.875
138,38 ,37.0,-115.625
139,38 ,32.0,-109.375
140,35 ,33.0,-109.375
141,38 ,32.0,-105.625
142,32 ,40.0,-115.625
143,42 ,37.0,-120.625
144,39 ,33.0,-103.125
145,36 ,48.0,-109.375
146,32 ,38.0,-106.875
147,33 ,39.0,-111.875
148,46 ,44.0,-124.375
149,36 ,45.0,-104.375
150,36 ,44.0,-103.125
151,35 ,34.0,-108.125
152,39 ,32.0,-103.125
153,32 ,44.0,-106.875
154,50 ,32.0,-119.375
155,39 ,45.0,-119.375
156,35 ,48.0,-124.375
157,33 ,46.0,-109.375
158,33 ,48.0,-115.625
159,32 ,40.0,-120.625
160,32 ,47.0,-123.125
161,32 ,33.0,-108.125
162,36 ,32.0,-110.625
163,41 ,47.0,-118.125
164,35 ,46.0,-110.625
165,30 ,48.0,-121.875
166,36 ,33.0,-118.125
167,33 ,36.0,-106.875
168,32 ,39.0,-121.875
169,33 ,39.0,-105.625
170,32 ,35.0,-110.625
171,32 ,42.0,-118.125
172,32 ,38.0,-110.625
173,36 ,46.0,-118.125
174,36 ,44.0,-111.875
175,33 ,42.0,-104.375
176,38 ,35.0,-120.625
177,35 ,41.0,-120.625
178,60 ,32.0,-121.875
179,35 ,33.0,-111.875
180,32 ,40.0,-110.625
181,32 ,41.0,-118.125
182,41 ,48.0,-105.625
183,33 ,48.0,-116.875
184,32 ,39.0,-110.625
185,41 ,49.0,-113.125
186,36 ,32.0,-114.375
187,36 ,46.0,-105.625
188,38 ,35.0,-118.125
189,30 ,38.0,-118.125
190,30 ,49.0,-118.125
191,32 ,38.0,-119.375
192,42 ,45.0,-101.875
193,35 ,33.0,-114.375
194,33 ,36.0,-108.125
195,33 ,38.0,-105.625
196,35 ,40.0,-101.875
197,39 ,48.0,-108.125
198,32 ,41.0,-119.375
199,41 ,43.0,-108.125
200,35 ,46.0,-123.125
201,35 ,42.0,-120.625
202,30 ,45.0,-110.625
203,33 ,48.0,-114.375
204,32 ,39.0,-116.875
205,33 ,34.0,-116.875
206,49 ,38.0,-121.875
207,33 ,43.0,-110.625
208,41 ,46.0,-120.625
209,61 ,33.0,-121.875
210,46 ,37.0,-103.125
211,38 ,32.0,-104.375
212,38 ,32.0,-116.875
213,36 ,47.0,-111.875
214,36 ,48.0,-118.125
215,33 ,46.0,-113.125
216,38 ,42.0,-119.375
217,64 ,35.0,-124.375
218,38 ,43.0,-120.625
219,64 ,36.0,-124.375
220,33 ,37.0,-109.375
221,30 ,45.0,-116.875
222,30 ,37.0,-119.375
223,41 ,46.0,-119.375
224,30 ,49.0,-116.875
225,32 ,48.0,-123.125
226,36 ,36.0,-116.875
227,33 ,43.0,-116.875
228,35 ,43.0,-103.125
229,44 ,35.0,-104.375
230,30 ,40.0,-105.625
231,30 ,34.0,-110.625
232,30 ,49.0,-121.875
233,35 ,45.0,-113.125
234,66 ,35.0,-123.125
235,46 ,44.0,-120.625
236,35 ,44.0,-118.125
237,39 ,49.0,-109.375
238,46 ,46.0,-124.375
239,35 ,39.0,-104.375
240,30 ,45.0,-115.625
241,32 ,39.0,-106.875
242,39 ,42.0,-106.875
243,30 ,34.0,-118.125
244,33 ,41.0,-104.375
245,28 ,41.0,-111.875
246,30 ,39.0,-118.125
247,36 ,33.0,-105.625
248,32 ,34.0,-114.375
249,36 ,43.0,-114.375
250,30 ,47.0,-121.875
251,55 ,34.0,-120.625
252,30 ,41.0,-114.375
253,33 ,45.0,-109.375
254,38 ,44.0,-108.125
255,36 ,44.0,-105.625
256,39 ,38.0,-104.375
257,38 ,38.0,-115.625
258,33 ,33.0,-110.625
259,35 ,46.0,-111.875
260,41 ,48.0,-106.875
261,32 ,44.0,-114.375
262,28 ,44.0,-115.625
263,35 ,36.0,-119.375
264,35 ,43.0,-123.125
265,42 ,48.0,-104.375
266,63 ,40.0,-124.375
267,33 ,36.0,-118.125
268,35 ,34.0,-106.875
269,30 ,41.0,-121.875
270,32 ,42.0,-113.125
271,30 ,49.0,-124.375
272,55 ,32.0,-120.625
273,35 ,40.0,-103.125
274,36 ,36.0,-115.625
275,33 ,43.0,-118.125
276,33 ,41.0,-116.875
277,36 ,40.0,-104.375
278,39 ,35.0,-105.625
279,36 ,47.0,-108.125
280,33 ,41.0,-105.625
281,33 ,45.0,-106.875
282,42 ,49.0,-101.875
283,63 ,33.0,-124.375
284,33 ,47.0,-116.875
285,33 ,39.0,-109.375
286,32 ,45.0,-118.125
287,41 ,49.0,-110.625
288,33 ,49.0,-115.625
289,33 ,34.0,-111.875
290,64 ,33.0,-123.125
291,57 ,41.0,-124.375
292,35 ,43.0,-101.875
293,36 ,41.0,-109.375
294,32 ,37.0,-121.875
295,32 ,44.0,-121.875
296,46 ,38.0,-101.875
297,41 ,48.0,-110.625
298,66 ,34.0,-123.125
299,42 ,32.0,-108.125
300,66 ,39.0,-124.375
301,33 ,35.0,-115.625
302,36 ,47.0,-106.875
303,32 ,35.0,-106.875
304,33 ,42.0,-114.375
305,33 ,49.0,-120.625
306,41 ,47.0,-104.375
307,32 ,36.0,-113.125
308,32 ,47.0,-115.625
309,35 ,40.0,-109.375
