,ELCC,latitude,longitude
0,7 ,47.0,-105.625
1,17 ,41.0,-124.375
2,16 ,47.0,-124.375
3,13 ,44.0,-119.375
4,7 ,37.0,-103.125
5,8 ,36.0,-106.875
6,14 ,34.0,-120.625
7,11 ,35.0,-114.375
8,10 ,38.0,-111.875
9,8 ,34.0,-110.625
10,8 ,44.0,-108.125
11,14 ,40.0,-121.875
12,8 ,41.0,-106.875
13,8 ,34.0,-109.375
14,7 ,45.0,-105.625
15,7 ,42.0,-103.125
16,10 ,39.0,-111.875
17,8 ,49.0,-104.375
18,16 ,43.0,-124.375
19,10 ,44.0,-111.875
20,7 ,44.0,-101.875
21,8 ,34.0,-108.125
22,13 ,36.0,-116.875
23,7 ,40.0,-104.375
24,7 ,38.0,-103.125
25,7 ,32.0,-105.625
26,11 ,39.0,-115.625
27,7 ,44.0,-103.125
28,5 ,33.0,-101.875
29,10 ,45.0,-110.625
30,7 ,45.0,-101.875
31,10 ,37.0,-111.875
32,8 ,49.0,-108.125
33,8 ,47.0,-110.625
34,8 ,48.0,-106.875
35,7 ,43.0,-104.375
36,11 ,33.0,-115.625
37,7 ,38.0,-101.875
38,7 ,33.0,-103.125
39,17 ,42.0,-124.375
40,13 ,33.0,-116.875
41,16 ,41.0,-123.125
42,10 ,49.0,-111.875
43,13 ,48.0,-120.625
44,13 ,48.0,-121.875
45,7 ,32.0,-104.375
46,8 ,43.0,-105.625
47,8 ,40.0,-106.875
48,10 ,34.0,-111.875
49,8 ,38.0,-106.875
50,10 ,39.0,-110.625
51,13 ,42.0,-118.125
52,8 ,43.0,-106.875
53,10 ,46.0,-110.625
54,13 ,47.0,-118.125
55,11 ,35.0,-115.625
56,8 ,33.0,-110.625
57,16 ,33.0,-123.125
58,7 ,44.0,-105.625
59,10 ,49.0,-113.125
60,13 ,39.0,-118.125
61,7 ,47.0,-106.875
62,7 ,40.0,-103.125
63,14 ,43.0,-120.625
64,8 ,48.0,-105.625
65,7 ,36.0,-104.375
66,16 ,34.0,-123.125
67,16 ,49.0,-123.125
68,13 ,33.0,-118.125
69,7 ,48.0,-104.375
70,11 ,43.0,-114.375
71,11 ,34.0,-114.375
72,10 ,37.0,-113.125
73,8 ,37.0,-109.375
74,13 ,44.0,-118.125
75,14 ,40.0,-120.625
76,11 ,44.0,-114.375
77,16 ,38.0,-123.125
78,8 ,48.0,-109.375
79,13 ,37.0,-116.875
80,7 ,42.0,-101.875
81,8 ,46.0,-108.125
82,10 ,36.0,-111.875
83,10 ,47.0,-111.875
84,10 ,42.0,-111.875
85,16 ,38.0,-121.875
86,11 ,38.0,-115.625
87,5 ,33.0,-108.125
88,10 ,49.0,-115.625
89,17 ,33.0,-124.375
90,13 ,48.0,-119.375
91,17 ,39.0,-124.375
92,14 ,42.0,-121.875
93,10 ,36.0,-113.125
94,7 ,45.0,-104.375
95,7 ,43.0,-101.875
96,10 ,49.0,-116.875
97,10 ,34.0,-113.125
98,10 ,40.0,-109.375
99,16 ,32.0,-121.875
100,11 ,40.0,-114.375
101,8 ,35.0,-106.875
102,11 ,48.0,-114.375
103,14 ,36.0,-120.625
104,11 ,34.0,-115.625
105,11 ,48.0,-115.625
106,16 ,35.0,-121.875
107,7 ,46.0,-104.375
108,14 ,47.0,-120.625
109,7 ,42.0,-104.375
110,16 ,37.0,-123.125
111,13 ,38.0,-118.125
112,10 ,38.0,-109.375
113,11 ,47.0,-115.625
114,11 ,45.0,-115.625
115,11 ,36.0,-114.375
116,16 ,49.0,-124.375
117,7 ,34.0,-104.375
118,11 ,48.0,-118.125
119,13 ,35.0,-119.375
120,14 ,49.0,-121.875
121,16 ,36.0,-121.875
122,11 ,34.0,-116.875
123,11 ,41.0,-115.625
124,10 ,46.0,-111.875
125,10 ,37.0,-110.625
126,13 ,37.0,-118.125
127,16 ,33.0,-121.875
128,10 ,33.0,-111.875
129,8 ,32.0,-110.625
130,7 ,41.0,-103.125
131,7 ,37.0,-101.875
132,10 ,49.0,-118.125
133,8 ,49.0,-110.625
134,13 ,41.0,-118.125
135,7 ,47.0,-103.125
136,14 ,43.0,-121.875
137,7 ,35.0,-104.375
138,14 ,41.0,-121.875
139,8 ,35.0,-108.125
140,10 ,42.0,-109.375
141,11 ,46.0,-116.875
142,11 ,41.0,-113.125
143,13 ,46.0,-119.375
144,7 ,34.0,-101.875
145,7 ,32.0,-106.875
146,7 ,47.0,-101.875
147,8 ,49.0,-109.375
148,16 ,37.0,-121.875
149,14 ,46.0,-123.125
150,10 ,39.0,-109.375
151,14 ,45.0,-120.625
152,10 ,41.0,-110.625
153,7 ,49.0,-106.875
154,11 ,39.0,-116.875
155,7 ,49.0,-105.625
156,7 ,38.0,-105.625
157,8 ,33.0,-106.875
158,8 ,37.0,-108.125
159,13 ,46.0,-118.125
160,14 ,41.0,-119.375
161,11 ,37.0,-115.625
162,5 ,32.0,-101.875
163,16 ,48.0,-124.375
164,5 ,46.0,-103.125
165,14 ,44.0,-123.125
166,13 ,49.0,-119.375
167,7 ,38.0,-104.375
168,10 ,32.0,-113.125
169,11 ,46.0,-115.625
170,7 ,35.0,-105.625
171,13 ,40.0,-119.375
172,13 ,37.0,-119.375
173,14 ,42.0,-119.375
174,13 ,35.0,-118.125
175,13 ,42.0,-116.875
176,16 ,45.0,-123.125
177,13 ,38.0,-116.875
178,13 ,43.0,-116.875
179,14 ,39.0,-120.625
180,13 ,36.0,-119.375
181,13 ,45.0,-119.375
182,11 ,42.0,-115.625
183,10 ,42.0,-113.125
184,17 ,35.0,-124.375
185,7 ,48.0,-101.875
186,10 ,44.0,-110.625
187,7 ,43.0,-103.125
188,11 ,44.0,-113.125
189,16 ,34.0,-121.875
190,10 ,48.0,-111.875
191,7 ,44.0,-104.375
192,10 ,46.0,-113.125
193,8 ,35.0,-109.375
194,13 ,47.0,-121.875
195,7 ,39.0,-103.125
196,17 ,40.0,-124.375
197,10 ,33.0,-113.125
198,10 ,43.0,-111.875
199,17 ,38.0,-124.375
200,11 ,36.0,-115.625
201,7 ,39.0,-101.875
202,13 ,32.0,-116.875
203,10 ,40.0,-110.625
204,14 ,32.0,-119.375
205,11 ,32.0,-114.375
206,8 ,37.0,-106.875
207,11 ,43.0,-113.125
208,14 ,35.0,-120.625
209,8 ,46.0,-109.375
210,16 ,35.0,-123.125
211,10 ,48.0,-110.625
212,14 ,33.0,-119.375
213,7 ,40.0,-101.875
214,7 ,32.0,-103.125
215,10 ,38.0,-110.625
216,8 ,34.0,-106.875
217,10 ,32.0,-111.875
218,10 ,35.0,-111.875
219,8 ,45.0,-109.375
220,7 ,49.0,-103.125
221,11 ,38.0,-114.375
222,14 ,39.0,-121.875
223,14 ,45.0,-121.875
224,14 ,43.0,-123.125
225,10 ,36.0,-110.625
226,8 ,32.0,-109.375
227,7 ,46.0,-105.625
228,11 ,48.0,-116.875
229,10 ,42.0,-110.625
230,10 ,38.0,-113.125
231,14 ,34.0,-119.375
232,8 ,42.0,-108.125
233,11 ,39.0,-114.375
234,17 ,34.0,-124.375
235,7 ,48.0,-103.125
236,10 ,35.0,-113.125
237,8 ,44.0,-106.875
238,11 ,40.0,-116.875
239,8 ,43.0,-108.125
240,14 ,42.0,-123.125
241,16 ,45.0,-124.375
242,7 ,41.0,-101.875
243,13 ,39.0,-119.375
244,11 ,44.0,-115.625
245,10 ,47.0,-113.125
246,8 ,39.0,-108.125
247,13 ,34.0,-118.125
248,7 ,33.0,-105.625
249,8 ,32.0,-108.125
250,7 ,45.0,-106.875
251,10 ,49.0,-114.375
252,7 ,37.0,-104.375
253,13 ,44.0,-116.875
254,13 ,32.0,-118.125
255,13 ,38.0,-119.375
256,7 ,36.0,-105.625
257,13 ,47.0,-116.875
258,8 ,44.0,-109.375
259,7 ,41.0,-104.375
260,13 ,40.0,-118.125
261,16 ,39.0,-123.125
262,8 ,38.0,-108.125
263,13 ,49.0,-120.625
264,14 ,32.0,-120.625
265,10 ,43.0,-110.625
266,7 ,39.0,-105.625
267,11 ,42.0,-114.375
268,7 ,45.0,-103.125
269,8 ,47.0,-108.125
270,17 ,36.0,-124.375
271,14 ,41.0,-120.625
272,13 ,43.0,-118.125
273,11 ,45.0,-114.375
274,8 ,48.0,-108.125
275,13 ,47.0,-119.375
276,17 ,32.0,-124.375
277,11 ,47.0,-114.375
278,7 ,45.0,-108.125
279,13 ,36.0,-118.125
280,7 ,33.0,-104.375
281,10 ,35.0,-110.625
282,8 ,42.0,-105.625
283,7 ,36.0,-103.125
284,13 ,45.0,-118.125
285,11 ,40.0,-115.625
286,7 ,34.0,-103.125
287,8 ,47.0,-109.375
288,16 ,40.0,-123.125
289,8 ,42.0,-106.875
290,10 ,36.0,-109.375
291,11 ,48.0,-113.125
292,8 ,41.0,-108.125
293,16 ,46.0,-124.375
294,10 ,41.0,-111.875
295,8 ,40.0,-108.125
296,14 ,46.0,-120.625
297,11 ,45.0,-113.125
298,8 ,41.0,-109.375
299,7 ,46.0,-106.875
300,8 ,36.0,-108.125
301,8 ,33.0,-109.375
302,7 ,40.0,-105.625
303,10 ,46.0,-114.375
304,14 ,33.0,-120.625
305,10 ,40.0,-111.875
306,16 ,44.0,-124.375
307,11 ,39.0,-113.125
308,16 ,48.0,-123.125
309,11 ,43.0,-115.625
310,14 ,44.0,-121.875
311,16 ,36.0,-123.125
312,7 ,39.0,-104.375
313,14 ,38.0,-120.625
314,14 ,47.0,-123.125
315,7 ,34.0,-105.625
316,11 ,37.0,-114.375
317,7 ,35.0,-103.125
318,14 ,46.0,-121.875
319,7 ,35.0,-101.875
320,10 ,45.0,-111.875
321,7 ,41.0,-105.625
322,11 ,35.0,-116.875
323,11 ,45.0,-116.875
324,7 ,47.0,-104.375
325,8 ,43.0,-109.375
326,7 ,36.0,-101.875
327,8 ,39.0,-106.875
328,5 ,46.0,-101.875
329,11 ,33.0,-114.375
330,17 ,37.0,-124.375
331,14 ,44.0,-120.625
332,8 ,37.0,-105.625
333,11 ,32.0,-115.625
334,11 ,40.0,-113.125
335,14 ,42.0,-120.625
336,11 ,41.0,-114.375
337,13 ,41.0,-116.875
338,7 ,49.0,-101.875
339,16 ,32.0,-123.125
340,14 ,37.0,-120.625
341,13 ,43.0,-119.375
