,ELCC,latitude,longitude
0,22 ,40.0,-121.875
1,24 ,41.0,-119.375
2,24 ,44.0,-120.625
3,11 ,43.0,-104.375
4,11 ,38.0,-106.875
5,19 ,37.0,-113.125
6,22 ,39.0,-121.875
7,8 ,36.0,-104.375
8,10 ,38.0,-101.875
9,22 ,37.0,-116.875
10,21 ,42.0,-116.875
11,10 ,41.0,-103.125
12,11 ,34.0,-104.375
13,30 ,41.0,-124.375
14,10 ,35.0,-101.875
15,14 ,40.0,-106.875
16,10 ,33.0,-101.875
17,10 ,32.0,-105.625
18,13 ,47.0,-103.125
19,24 ,47.0,-120.625
20,11 ,44.0,-104.375
21,28 ,33.0,-123.125
22,10 ,44.0,-103.125
23,11 ,38.0,-103.125
24,19 ,43.0,-111.875
25,19 ,41.0,-114.375
26,17 ,40.0,-110.625
27,24 ,40.0,-123.125
28,24 ,44.0,-119.375
29,21 ,49.0,-116.875
30,16 ,41.0,-108.125
31,17 ,47.0,-111.875
32,8 ,37.0,-104.375
33,19 ,42.0,-113.125
34,27 ,33.0,-121.875
35,14 ,35.0,-111.875
36,10 ,32.0,-103.125
37,17 ,33.0,-113.125
38,27 ,34.0,-123.125
39,17 ,45.0,-113.125
40,11 ,39.0,-105.625
41,21 ,36.0,-115.625
42,16 ,43.0,-109.375
43,16 ,47.0,-110.625
44,11 ,46.0,-101.875
45,14 ,42.0,-106.875
46,22 ,46.0,-116.875
47,19 ,35.0,-114.375
48,22 ,49.0,-120.625
49,22 ,45.0,-116.875
50,16 ,48.0,-110.625
51,11 ,40.0,-105.625
52,17 ,34.0,-113.125
53,30 ,36.0,-124.375
54,19 ,39.0,-111.875
55,11 ,45.0,-101.875
56,10 ,33.0,-103.125
57,19 ,42.0,-111.875
58,16 ,37.0,-108.125
59,21 ,40.0,-115.625
60,21 ,43.0,-114.375
61,21 ,36.0,-114.375
62,13 ,43.0,-105.625
63,19 ,40.0,-111.875
64,19 ,40.0,-113.125
65,25 ,45.0,-120.625
66,16 ,36.0,-109.375
67,21 ,47.0,-115.625
68,13 ,49.0,-105.625
69,17 ,44.0,-110.625
70,16 ,36.0,-108.125
71,10 ,42.0,-101.875
72,22 ,35.0,-118.125
73,24 ,38.0,-120.625
74,21 ,38.0,-115.625
75,19 ,43.0,-113.125
76,17 ,42.0,-109.375
77,13 ,33.0,-109.375
78,16 ,38.0,-109.375
79,11 ,46.0,-103.125
80,27 ,48.0,-124.375
81,28 ,45.0,-124.375
82,25 ,46.0,-123.125
83,22 ,47.0,-118.125
84,11 ,45.0,-104.375
85,19 ,38.0,-114.375
86,30 ,40.0,-124.375
87,10 ,35.0,-103.125
88,28 ,32.0,-123.125
89,28 ,38.0,-123.125
90,14 ,42.0,-105.625
91,16 ,45.0,-111.875
92,13 ,44.0,-105.625
93,14 ,46.0,-109.375
94,14 ,45.0,-109.375
95,30 ,37.0,-123.125
96,21 ,38.0,-116.875
97,22 ,36.0,-119.375
98,17 ,37.0,-110.625
99,10 ,39.0,-103.125
100,22 ,49.0,-121.875
101,19 ,34.0,-116.875
102,11 ,48.0,-101.875
103,24 ,45.0,-119.375
104,27 ,44.0,-124.375
105,11 ,32.0,-109.375
106,24 ,37.0,-120.625
107,30 ,39.0,-124.375
108,14 ,34.0,-110.625
109,11 ,34.0,-109.375
110,16 ,39.0,-109.375
111,16 ,42.0,-108.125
112,25 ,35.0,-120.625
113,16 ,36.0,-111.875
114,24 ,43.0,-123.125
115,27 ,38.0,-121.875
116,17 ,33.0,-111.875
117,18 ,36.0,-113.125
118,17 ,37.0,-111.875
119,14 ,35.0,-110.625
120,22 ,42.0,-118.125
121,17 ,35.0,-113.125
122,21 ,44.0,-116.875
123,21 ,41.0,-115.625
124,19 ,39.0,-115.625
125,13 ,47.0,-108.125
126,21 ,49.0,-118.125
127,21 ,34.0,-115.625
128,13 ,47.0,-105.625
129,30 ,33.0,-124.375
130,16 ,39.0,-108.125
131,10 ,36.0,-101.875
132,21 ,39.0,-116.875
133,28 ,32.0,-124.375
134,30 ,34.0,-124.375
135,16 ,49.0,-111.875
136,24 ,42.0,-120.625
137,22 ,47.0,-119.375
138,12 ,48.0,-104.375
139,14 ,43.0,-106.875
140,19 ,37.0,-118.125
141,16 ,49.0,-110.625
142,10 ,41.0,-104.375
143,13 ,47.0,-104.375
144,25 ,45.0,-121.875
145,19 ,49.0,-115.625
146,14 ,44.0,-108.125
147,8 ,33.0,-108.125
148,10 ,43.0,-101.875
149,22 ,48.0,-120.625
150,10 ,46.0,-105.625
151,14 ,47.0,-109.375
152,10 ,36.0,-103.125
153,14 ,35.0,-106.875
154,19 ,48.0,-114.375
155,19 ,41.0,-113.125
156,22 ,46.0,-118.125
157,27 ,37.0,-121.875
158,16 ,43.0,-108.125
159,19 ,39.0,-114.375
160,17 ,33.0,-114.375
161,16 ,44.0,-109.375
162,10 ,33.0,-104.375
163,11 ,38.0,-105.625
164,17 ,43.0,-110.625
165,22 ,43.0,-119.375
166,22 ,40.0,-116.875
167,21 ,48.0,-118.125
168,21 ,48.0,-116.875
169,17 ,48.0,-111.875
170,25 ,34.0,-120.625
171,27 ,34.0,-121.875
172,10 ,40.0,-101.875
173,8 ,34.0,-101.875
174,25 ,44.0,-121.875
175,21 ,37.0,-115.625
176,24 ,43.0,-121.875
177,11 ,40.0,-103.125
178,17 ,36.0,-110.625
179,22 ,34.0,-118.125
180,25 ,49.0,-124.375
181,19 ,40.0,-114.375
182,27 ,32.0,-121.875
183,17 ,38.0,-113.125
184,10 ,32.0,-104.375
185,17 ,38.0,-110.625
186,16 ,33.0,-110.625
187,13 ,48.0,-105.625
188,28 ,36.0,-123.125
189,24 ,33.0,-119.375
190,10 ,32.0,-101.875
191,22 ,44.0,-118.125
192,13 ,37.0,-106.875
193,25 ,47.0,-123.125
194,10 ,37.0,-103.125
195,13 ,32.0,-108.125
196,22 ,39.0,-118.125
197,22 ,43.0,-118.125
198,19 ,48.0,-113.125
199,22 ,41.0,-116.875
200,16 ,39.0,-110.625
201,25 ,44.0,-123.125
202,24 ,34.0,-119.375
203,19 ,42.0,-110.625
204,16 ,46.0,-111.875
205,24 ,39.0,-123.125
206,24 ,48.0,-121.875
207,17 ,42.0,-115.625
208,17 ,33.0,-115.625
209,10 ,42.0,-103.125
210,17 ,44.0,-113.125
211,13 ,49.0,-104.375
212,11 ,45.0,-105.625
213,10 ,49.0,-101.875
214,21 ,36.0,-118.125
215,21 ,48.0,-115.625
216,23 ,43.0,-120.625
217,16 ,41.0,-109.375
218,22 ,39.0,-119.375
219,25 ,46.0,-120.625
220,16 ,45.0,-110.625
221,14 ,49.0,-108.125
222,24 ,42.0,-121.875
223,19 ,45.0,-114.375
224,22 ,42.0,-123.125
225,22 ,41.0,-118.125
226,16 ,44.0,-111.875
227,16 ,35.0,-109.375
228,24 ,49.0,-123.125
229,25 ,48.0,-123.125
230,11 ,46.0,-104.375
231,14 ,45.0,-108.125
232,11 ,35.0,-104.375
233,10 ,44.0,-101.875
234,21 ,36.0,-116.875
235,30 ,37.0,-124.375
236,17 ,38.0,-111.875
237,13 ,46.0,-108.125
238,17 ,34.0,-111.875
239,22 ,48.0,-119.375
240,11 ,35.0,-105.625
241,19 ,47.0,-114.375
242,28 ,42.0,-124.375
243,17 ,37.0,-109.375
244,10 ,41.0,-101.875
245,25 ,47.0,-121.875
246,21 ,46.0,-114.375
247,21 ,38.0,-119.375
248,28 ,35.0,-123.125
249,21 ,44.0,-114.375
250,16 ,40.0,-109.375
251,28 ,46.0,-124.375
252,21 ,46.0,-115.625
253,8 ,33.0,-105.625
254,22 ,33.0,-116.875
255,16 ,46.0,-110.625
256,10 ,45.0,-103.125
257,16 ,48.0,-109.375
258,11 ,40.0,-104.375
259,11 ,47.0,-101.875
260,13 ,47.0,-106.875
261,21 ,35.0,-115.625
262,21 ,38.0,-118.125
263,19 ,41.0,-121.875
264,17 ,41.0,-110.625
265,21 ,44.0,-115.625
266,16 ,32.0,-113.125
267,10 ,36.0,-105.625
268,13 ,36.0,-106.875
269,13 ,33.0,-106.875
270,10 ,39.0,-104.375
271,19 ,39.0,-113.125
272,14 ,39.0,-106.875
273,10 ,34.0,-103.125
274,19 ,41.0,-111.875
275,17 ,34.0,-114.375
276,11 ,37.0,-101.875
277,24 ,32.0,-118.125
278,27 ,45.0,-123.125
279,22 ,35.0,-119.375
280,14 ,41.0,-106.875
281,10 ,38.0,-104.375
282,24 ,41.0,-120.625
283,12 ,41.0,-105.625
284,17 ,49.0,-114.375
285,22 ,40.0,-118.125
286,21 ,45.0,-115.625
287,21 ,37.0,-114.375
288,32 ,38.0,-124.375
289,17 ,42.0,-114.375
290,10 ,39.0,-101.875
291,11 ,34.0,-108.125
292,13 ,35.0,-108.125
293,13 ,45.0,-106.875
294,19 ,46.0,-113.125
295,24 ,32.0,-119.375
296,22 ,45.0,-118.125
297,19 ,47.0,-113.125
298,24 ,33.0,-118.125
299,25 ,33.0,-120.625
300,22 ,32.0,-116.875
301,17 ,32.0,-114.375
302,14 ,44.0,-106.875
303,14 ,49.0,-106.875
304,27 ,47.0,-124.375
305,22 ,42.0,-119.375
306,11 ,42.0,-104.375
307,11 ,43.0,-103.125
308,14 ,48.0,-108.125
309,16 ,49.0,-109.375
310,27 ,35.0,-121.875
311,14 ,38.0,-108.125
312,10 ,37.0,-105.625
313,24 ,40.0,-120.625
314,24 ,36.0,-120.625
315,27 ,36.0,-121.875
316,30 ,35.0,-124.375
317,11 ,46.0,-106.875
318,24 ,41.0,-123.125
319,13 ,32.0,-110.625
320,17 ,32.0,-115.625
321,25 ,32.0,-120.625
322,11 ,48.0,-103.125
323,27 ,43.0,-124.375
324,25 ,46.0,-121.875
325,16 ,40.0,-108.125
326,24 ,40.0,-119.375
327,21 ,47.0,-116.875
328,21 ,43.0,-115.625
329,13 ,34.0,-106.875
330,13 ,32.0,-106.875
331,17 ,49.0,-113.125
332,22 ,37.0,-119.375
333,21 ,49.0,-119.375
334,14 ,48.0,-106.875
335,11 ,34.0,-105.625
336,21 ,35.0,-116.875
337,24 ,39.0,-120.625
338,11 ,49.0,-103.125
339,22 ,43.0,-116.875
340,16 ,32.0,-111.875
341,24 ,46.0,-119.375
