,ELCC,latitude,longitude
0,42 ,44.0,-116.875
1,38 ,44.0,-104.375
2,41 ,38.0,-113.125
3,42 ,46.0,-114.375
4,49 ,33.0,-124.375
5,38 ,43.0,-104.375
6,36 ,33.0,-105.625
7,44 ,35.0,-119.375
8,38 ,46.0,-101.875
9,36 ,33.0,-103.125
10,46 ,41.0,-120.625
11,41 ,34.0,-114.375
12,46 ,40.0,-120.625
13,42 ,32.0,-115.625
14,46 ,45.0,-119.375
15,38 ,45.0,-104.375
16,47 ,48.0,-123.125
17,44 ,40.0,-121.875
18,49 ,37.0,-123.125
19,36 ,43.0,-101.875
20,42 ,43.0,-114.375
21,44 ,46.0,-116.875
22,42 ,34.0,-115.625
23,46 ,44.0,-119.375
24,38 ,47.0,-103.125
25,42 ,42.0,-111.875
26,49 ,41.0,-124.375
27,36 ,32.0,-101.875
28,41 ,36.0,-110.625
29,39 ,41.0,-106.875
30,44 ,43.0,-118.125
31,44 ,36.0,-119.375
32,41 ,49.0,-111.875
33,41 ,49.0,-110.625
34,39 ,40.0,-106.875
35,42 ,38.0,-114.375
36,36 ,34.0,-101.875
37,44 ,39.0,-118.125
38,39 ,37.0,-106.875
39,38 ,48.0,-101.875
40,36 ,36.0,-104.375
41,46 ,42.0,-120.625
42,36 ,39.0,-103.125
43,46 ,33.0,-119.375
44,38 ,38.0,-103.125
45,42 ,32.0,-114.375
46,46 ,42.0,-119.375
47,41 ,40.0,-109.375
48,41 ,48.0,-113.125
49,36 ,33.0,-108.125
50,49 ,38.0,-123.125
51,38 ,40.0,-105.625
52,42 ,43.0,-113.125
53,46 ,32.0,-120.625
54,39 ,48.0,-108.125
55,47 ,47.0,-124.375
56,39 ,48.0,-106.875
57,39 ,39.0,-106.875
58,44 ,45.0,-118.125
59,46 ,32.0,-119.375
60,41 ,36.0,-108.125
61,41 ,43.0,-109.375
62,41 ,48.0,-111.875
63,39 ,35.0,-110.625
64,38 ,46.0,-105.625
65,42 ,33.0,-115.625
66,38 ,34.0,-108.125
67,39 ,35.0,-106.875
68,36 ,38.0,-104.375
69,46 ,40.0,-123.125
70,41 ,41.0,-109.375
71,47 ,49.0,-124.375
72,36 ,41.0,-101.875
73,47 ,34.0,-123.125
74,47 ,32.0,-121.875
75,36 ,37.0,-104.375
76,49 ,37.0,-124.375
77,41 ,44.0,-113.125
78,38 ,45.0,-105.625
79,36 ,35.0,-101.875
80,44 ,45.0,-116.875
81,44 ,46.0,-118.125
82,49 ,35.0,-124.375
83,46 ,33.0,-120.625
84,44 ,39.0,-116.875
85,38 ,45.0,-106.875
86,44 ,43.0,-120.625
87,42 ,42.0,-110.625
88,44 ,46.0,-119.375
